regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,easy_low_gap,41,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.7998581938918,57.27506214348694,59.60338351920329,9.250407494719227,11.534458453085051,0.3,0.3,0.0
step2b_poly_d8,easy_low_gap,41,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,23.416641228658868,32.762965485568955,39.30764632682824,19.015510753870725,22.518520821729243,0.3,0.3,0.0
step2b_poly_d8,easy_low_gap,41,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.017380204316485,57.49706045119125,39.98748688053762,22.19654415100627,10.104206767578447,0.6,0.4,0.2
step2b_poly_d8,easy_low_gap,41,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,21.33298548952456,37.65923942372944,33.76935280638755,23.523809529320026,19.754899270115974,0.5,0.4,0.1
step2b_poly_d8,easy_low_gap,16,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.81563192910708,55.54668362678491,58.12730509611357,9.515257265798294,11.670588247442993,0.3,0.3,0.0
step2b_poly_d8,easy_low_gap,16,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,25.12157906723786,30.93187337171462,38.12781036128654,20.981745600032948,24.466105557413336,0.3,0.4,0.1
step2b_poly_d8,easy_low_gap,16,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.026388652103734,55.98060752664959,39.26843796778954,21.908974298393638,10.240849213767987,0.6,0.4,0.2
step2b_poly_d8,easy_low_gap,16,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,22.786480755709874,36.113450023132806,34.08372333217735,24.800873799610287,21.425144200496337,0.4,0.3,0.1
step2b_poly_d8,easy_low_gap,33,G-1040.json,2stage_val_mse,2stage,validation_mse_loss,199,10,14.807549314716468,55.99337397212997,58.5273877769464,9.45342828131089,11.63020162934676,0.3,0.3,0.0
step2b_poly_d8,easy_low_gap,33,G-1040.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,199,10,22.22236193772293,34.11224601435534,40.24643632415313,17.82807648594441,21.14425835043665,0.3,0.3,0.0
step2b_poly_d8,easy_low_gap,33,G-116.json,2stage_val_mse,2stage,validation_mse_loss,271,10,14.024778433488517,56.378438259805186,39.4709014671135,21.997151082745606,10.204538601891203,0.6,0.4,0.2
step2b_poly_d8,easy_low_gap,33,G-116.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,271,10,20.3001457650522,38.64536630246041,33.645958455889236,22.81877822273854,18.558996434684474,0.6,0.4,0.2
