regime,case_type,subset_seed,graph_id,candidate_label,true_obj,objective_gap_from_opt,normalized_gap_from_opt,rank_true_obj,edge_count,edge_jaccard_with_opt,edge_jaccard_with_2stage,edge_jaccard_with_spoplus,same_as_opt,same_as_2stage,same_as_spoplus
step2b_poly_d8,large_improvement,1,G-1059.json,y_opt,179.3795998096466,0.0,0.0,1,17,1.0,0.5217391304347826,0.5217391304347826,True,False,False
step2b_poly_d8,large_improvement,1,G-1059.json,y_2stage,166.61490082740784,12.76469898223877,0.0711602601175628,2,18,0.5217391304347826,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1059.json,y_spoplus,166.61490082740784,12.76469898223877,0.0711602601175628,2,18,0.5217391304347826,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1080.json,y_opt,254.66979956626892,0.0,0.0,1,21,1.0,0.76,0.8695652173913043,True,False,False
step2b_poly_d8,large_improvement,1,G-1080.json,y_2stage,250.53249980695546,4.137299759313464,0.01624574160878026,3,23,0.76,1.0,0.875,False,True,False
step2b_poly_d8,large_improvement,1,G-1080.json,y_spoplus,251.31179976463318,3.357999801635742,0.013185700885439853,2,22,0.8695652173913043,0.875,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1083.json,y_opt,75.92199993133545,0.0,0.0,1,9,1.0,0.42857142857142855,0.42857142857142855,True,False,False
step2b_poly_d8,large_improvement,1,G-1083.json,y_2stage,68.25630044937134,7.665699481964111,0.10096809210633334,2,11,0.42857142857142855,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1083.json,y_spoplus,68.25630044937134,7.665699481964111,0.10096809210633334,2,11,0.42857142857142855,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1086.json,y_opt,155.36250019073486,0.0,0.0,1,13,1.0,0.5882352941176471,0.5,True,False,False
step2b_poly_d8,large_improvement,1,G-1086.json,y_2stage,141.44950103759766,13.912999153137207,0.08955184897292813,2,14,0.5882352941176471,1.0,0.75,False,True,False
step2b_poly_d8,large_improvement,1,G-1086.json,y_spoplus,136.86610174179077,18.496398448944092,0.11905317194455871,3,14,0.5,0.75,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1087.json,y_opt,313.04240334033966,0.0,0.0,1,19,1.0,0.4642857142857143,0.5769230769230769,True,False,False
step2b_poly_d8,large_improvement,1,G-1087.json,y_2stage,294.8562036752701,18.18619966506958,0.05809500397074816,3,22,0.4642857142857143,1.0,0.8333333333333334,False,True,False
step2b_poly_d8,large_improvement,1,G-1087.json,y_spoplus,296.54330337047577,16.49909996986389,0.05270563921631432,2,22,0.5769230769230769,0.8333333333333334,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1090.json,y_opt,232.3101006746292,0.0,0.0,1,19,1.0,0.8571428571428571,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1090.json,y_2stage,227.20430049300194,5.105800181627274,0.021978382200343486,2,20,0.8571428571428571,1.0,0.8571428571428571,False,True,False
step2b_poly_d8,large_improvement,1,G-1090.json,y_spoplus,232.3101006746292,0.0,0.0,1,19,1.0,0.8571428571428571,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1093.json,y_opt,221.48090022802353,0.0,0.0,1,15,1.0,0.5238095238095238,0.5238095238095238,True,False,False
step2b_poly_d8,large_improvement,1,G-1093.json,y_2stage,196.91950064897537,24.561399579048157,0.11089624231146435,2,17,0.5238095238095238,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1093.json,y_spoplus,196.91950064897537,24.561399579048157,0.11089624231146435,2,17,0.5238095238095238,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1098.json,y_opt,277.6873970627785,0.0,0.0,1,21,1.0,0.45161290322580644,0.45161290322580644,True,False,False
step2b_poly_d8,large_improvement,1,G-1098.json,y_2stage,251.08629792928696,26.601099133491516,0.09579512579563575,3,24,0.45161290322580644,1.0,0.92,False,True,False
step2b_poly_d8,large_improvement,1,G-1098.json,y_spoplus,255.33029812574387,22.357098937034607,0.08051175232839322,2,24,0.45161290322580644,0.92,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1099.json,y_opt,140.81360279768705,0.0,0.0,1,11,1.0,0.35294117647058826,0.35294117647058826,True,False,False
step2b_poly_d8,large_improvement,1,G-1099.json,y_2stage,123.32310222834349,17.490500569343567,0.1242103051256555,3,12,0.35294117647058826,1.0,0.8461538461538461,False,True,False
step2b_poly_d8,large_improvement,1,G-1099.json,y_spoplus,127.67520212382078,13.138400673866272,0.09330349066306311,2,12,0.35294117647058826,0.8461538461538461,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-110.json,y_opt,164.34230041503906,0.0,0.0,1,18,1.0,0.6666666666666666,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-110.json,y_2stage,160.99300050735474,3.349299907684326,0.020380023275966202,2,17,0.6666666666666666,1.0,0.6666666666666666,False,True,False
step2b_poly_d8,large_improvement,1,G-110.json,y_spoplus,164.34230041503906,0.0,0.0,1,18,1.0,0.6666666666666666,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1103.json,y_opt,181.61549758911133,0.0,0.0,1,15,1.0,0.23076923076923078,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1103.json,y_2stage,154.03949970379472,27.57599788531661,0.15183725095809178,2,17,0.23076923076923078,1.0,0.23076923076923078,False,True,False
