regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,large_improvement,1,G-1110.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,258,10,21.505028097680935,47.59901951173407,50.00890320333552,16.996280199325426,19.248858552366165,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1506.json,2stage_val_mse,2stage,validation_mse_loss,217,10,13.439455954034164,20.91947766197581,20.91947766197581,nan,12.803654108859122,0.5,0.5,0.0
step2b_poly_d8,large_improvement,1,G-1506.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,217,10,20.56287556870801,16.14312621652717,16.14312621652717,nan,20.938554263643383,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1186.json,2stage_val_mse,2stage,validation_mse_loss,302,10,17.443444800633046,61.05297829440867,61.05297829440867,nan,15.323536922463404,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-1186.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,302,10,24.31568015970848,48.25862586345578,48.25862586345578,nan,23.151786965776317,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-119.json,2stage_val_mse,2stage,validation_mse_loss,258,10,14.771340375028645,75.01088307307839,75.01088307307839,nan,10.522078027033434,0.6,0.6,0.0
step2b_poly_d8,large_improvement,1,G-119.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,258,10,22.71445826734996,51.418712196802055,51.418712196802055,nan,20.689676869836745,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-445.json,2stage_val_mse,2stage,validation_mse_loss,247,10,16.04794379779228,37.17017975119532,33.9158196059243,17.244528357235048,14.511345938260694,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-445.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,247,10,22.639059957257267,27.88637017324036,28.716185801756687,18.54252863898938,22.279673830572168,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-607.json,2stage_val_mse,2stage,validation_mse_loss,190,10,22.152454900701397,23.526182522397104,23.434320277248375,13.037041264732181,22.165507567079143,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-607.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,190,10,28.240525286716853,21.710779418938667,23.38785585466334,16.239684986127752,28.76493535717236,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-388.json,2stage_val_mse,2stage,validation_mse_loss,224,10,13.80582064332655,26.23392929051321,25.40018796221505,17.7239016189914,12.771541581555969,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-388.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,224,10,21.827073196956487,25.351255114512487,26.185725857458618,15.119400551016682,21.56566466709495,0.3,0.3,0.0
