regime,case_type,subset_seed,graph_id,optimal_obj,obj_2stage,obj_spoplus,abs_obj_2stage_minus_spoplus,gap_2stage,gap_spoplus,normalized_gap_2stage,normalized_gap_spoplus,normalized_gap_reduction,edge_jaccard_2stage_with_opt,edge_jaccard_spoplus_with_opt,edge_jaccard_2stage_spoplus,same_2stage_spoplus,two_stage_different_solution_near_tie,spoplus_different_solution_near_tie,any_different_solution_near_tie,observed_candidate_count,observed_unique_solution_count
step2b_poly_d8,large_improvement,1,G-1.json,194.29099941253662,188.355699300766,188.355699300766,0.0,5.93530011177063,5.93530011177063,0.03054850780368731,0.03054850780368731,0.0,0.7619047619047619,0.7619047619047619,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1000.json,208.56060308218002,208.56060308218002,208.56060308218002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,large_improvement,1,G-1010.json,232.07499885559082,201.74800117313862,217.64589965343475,15.897898480296135,30.326997682452202,14.429099202156067,0.13067757333564642,0.06217429397068502,0.0685032793649614,0.22580645161290322,0.37037037037037035,0.5185185185185185,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-102.json,156.65829879045486,153.71549874544144,153.71549874544144,0.0,2.9428000450134277,2.9428000450134277,0.018784833409501742,0.018784833409501742,0.0,0.7857142857142857,0.7857142857142857,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1022.json,180.00039851665497,178.97849702835083,178.97849702835083,0.0,1.0219014883041382,1.0219014883041382,0.0056772179212920305,0.0056772179212920305,0.0,0.44,0.44,1.0,True,True,True,True,3,2
step2b_poly_d8,large_improvement,1,G-1025.json,153.17770087718964,144.31650006771088,144.31650006771088,0.0,8.86120080947876,8.86120080947876,0.057849156624470995,0.057849156624470995,0.0,0.4782608695652174,0.4782608695652174,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1029.json,136.96140134334564,136.96140134334564,136.96140134334564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,large_improvement,1,G-103.json,205.50110346078873,186.6907021999359,175.8741010427475,10.816601157188416,18.810401260852814,29.62700241804123,0.0915343078162617,0.1441695539291843,-0.052635246112922585,0.25,0.25,0.5238095238095238,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1034.json,261.68400263786316,252.33190274238586,252.33190274238586,0.0,9.352099895477295,9.352099895477295,0.035738141426947125,0.035738141426947125,0.0,0.8,0.8,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1039.json,247.71460115909576,238.4454003572464,242.65510094165802,4.209700584411621,9.269200801849365,5.059500217437744,0.037418871388444165,0.020424715352842016,0.01699415603560215,0.7894736842105263,0.7,0.6190476190476191,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1040.json,218.90810073912144,212.54979968070984,212.54979968070984,0.0,6.358301058411598,6.358301058411598,0.02904552657902737,0.02904552657902737,0.0,0.6470588235294118,0.6470588235294118,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1043.json,210.54539972543716,186.68129926919937,186.68129926919937,0.0,23.864100456237793,23.864100456237793,0.11334420266244029,0.11334420266244029,0.0,0.5909090909090909,0.5909090909090909,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1052.json,213.27160170674324,208.05800130963326,208.05800130963326,0.0,5.213600397109985,5.213600397109985,0.024445825676568243,0.024445825676568243,0.0,0.8,0.8,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1059.json,179.3795998096466,166.61490082740784,166.61490082740784,0.0,12.76469898223877,12.76469898223877,0.0711602601171661,0.0711602601171661,0.0,0.5217391304347826,0.5217391304347826,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1080.json,254.66979956626892,250.53249980695546,251.31179976463318,0.779299957677722,4.137299759313464,3.357999801635742,0.01624574160871647,0.013185700885388079,0.003060040723328392,0.76,0.8695652173913043,0.875,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1083.json,75.92199993133545,68.25630044937134,68.25630044937134,0.0,7.665699481964111,7.665699481964111,0.10096809210500345,0.10096809210500345,0.0,0.42857142857142855,0.42857142857142855,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1086.json,155.36250019073486,141.44950103759766,136.86610174179077,4.583399295806885,13.912999153137207,18.496398448944092,0.08955184897235173,0.11905317194379242,-0.02950132297144069,0.5882352941176471,0.5,0.75,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1087.json,313.04240334033966,294.8562036752701,296.54330337047577,1.6870996952056885,18.18619966506958,16.49909996986389,0.05809500397056258,0.05270563921614596,0.00538936475441662,0.4642857142857143,0.5769230769230769,0.8333333333333334,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1090.json,232.3101006746292,227.20430049300194,232.3101006746292,5.105800181627274,5.105800181627274,0.0,0.021978382200248878,0.0,0.021978382200248878,0.8571428571428571,1.0,0.8571428571428571,False,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1093.json,221.48090022802353,196.91950064897537,196.91950064897537,0.0,24.561399579048157,24.561399579048157,0.11089624231096365,0.11089624231096365,0.0,0.5238095238095238,0.5238095238095238,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1098.json,277.6873970627785,251.08629792928696,255.33029812574387,4.244000196456909,26.601099133491516,22.357098937034607,0.09579512579529077,0.08051175232810329,0.015283373467187486,0.45161290322580644,0.45161290322580644,0.92,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1099.json,140.81360279768705,123.32310222834349,127.67520212382078,4.352099895477295,17.490500569343567,13.138400673866272,0.12421030512477342,0.09330349066240051,0.03090681446237291,0.35294117647058826,0.35294117647058826,0.8461538461538461,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-110.json,164.34230041503906,160.99300050735474,164.34230041503906,3.349299907684326,3.349299907684326,0.0,0.020380023275842193,0.0,0.020380023275842193,0.6666666666666666,1.0,0.6666666666666666,False,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1103.json,181.61549758911133,154.03949970379472,181.61549758911133,27.57599788531661,27.57599788531661,0.0,0.15183725095725575,0.0,0.15183725095725575,0.23076923076923078,1.0,0.23076923076923078,False,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1104.json,182.55639791488647,178.70089662075043,178.70089662075043,0.0,3.8555012941360474,3.8555012941360474,0.021119507933720756,0.021119507933720756,0.0,0.5,0.5,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1107.json,203.82029819488525,194.19169807434082,194.19169807434082,0.0,9.628600120544434,9.628600120544434,0.047240634057412134,0.047240634057412134,0.0,0.5217391304347826,0.5217391304347826,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1110.json,234.20859843492508,204.1103988289833,227.25929909944534,23.148900270462036,30.098199605941772,6.949299335479736,0.12851022467553025,0.02967140993920823,0.09883881473632201,0.6153846153846154,0.6666666666666666,0.5555555555555556,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1116.json,127.04439806938171,102.6533989906311,125.81589865684509,23.16249966621399,24.39099907875061,1.228499412536621,0.19198799356141752,0.009669843229577434,0.1823181503318401,0.4444444444444444,0.3888888888888889,0.2857142857142857,False,False,True,True,3,3
step2b_poly_d8,large_improvement,1,G-1125.json,125.02870154380798,125.02870154380798,125.02870154380798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,large_improvement,1,G-1127.json,164.32180082798004,137.08610129356384,137.08610129356384,0.0,27.2356995344162,27.2356995344162,0.16574611157506783,0.16574611157506783,0.0,0.3,0.3,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1130.json,162.11510181427002,152.61090177297592,155.81630158424377,3.205399811267853,9.504200041294098,6.298800230026245,0.05862624724576322,0.0388538770262361,0.019772370219527123,0.3888888888888889,0.5,0.6875,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1133.json,176.7991001009941,168.81979930400848,167.38519847393036,1.434600830078125,7.979300796985626,9.413901627063751,0.04513202155657142,0.05324632094639023,-0.008114299389818808,0.25,0.2,0.7777777777777778,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1134.json,266.82369792461395,266.82369792461395,266.82369792461395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,large_improvement,1,G-1138.json,165.8506999015808,158.60119938850403,165.8506999015808,7.249500513076782,7.249500513076782,0.0,0.04371100343462568,0.0,0.04371100343462568,0.5789473684210527,1.0,0.5789473684210527,False,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-114.json,206.32249981164932,201.22789996862411,201.22789996862411,0.0,5.0945998430252075,5.0945998430252075,0.02469241041404281,0.02469241041404281,0.0,0.4,0.4,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1140.json,105.45829856395721,102.48039853572845,105.45829856395721,2.9779000282287598,2.9779000282287598,0.0,0.028237702188932217,0.0,0.028237702188932217,0.8461538461538461,1.0,0.8461538461538461,False,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1149.json,203.37629725039005,191.448197260499,191.448197260499,0.0,11.928099989891052,11.928099989891052,0.05865039412703501,0.05865039412703501,0.0,0.5,0.5,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-116.json,337.88300067186356,308.1806013584137,308.1806013584137,0.0,29.70239931344986,29.70239931344986,0.08790735033813542,0.08790735033813542,0.0,0.4,0.4,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1161.json,192.21509850025177,187.63649839162827,183.22909808158875,4.40740031003952,4.578600108623505,8.986000418663025,0.023820189695419203,0.04674971159252875,-0.022929521897109544,0.6521739130434783,0.5833333333333334,0.46153846153846156,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-1169.json,283.17279946804047,249.4706997871399,272.4616988301277,22.990999042987823,33.702099680900574,10.71110063791275,0.11901602040906918,0.03782531605435431,0.08119070435471487,0.3448275862068966,0.7727272727272727,0.3793103448275862,False,False,False,False,3,3
step2b_poly_d8,large_improvement,1,G-117.json,214.569799721241,214.569799721241,197.6790992617607,16.890700459480286,0.0,16.890700459480286,0.0,0.07871890863180733,-0.07871890863180733,1.0,0.4444444444444444,0.4444444444444444,False,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-118.json,147.47579930722713,147.47579930722713,147.47579930722713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,large_improvement,1,G-1180.json,196.5851981639862,193.99419975280762,193.99419975280762,0.0,2.590998411178589,2.590998411178589,0.013180027974456481,0.013180027974456481,0.0,0.45,0.45,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1182.json,181.53480084240437,162.33859872817993,162.33859872817993,0.0,19.196202114224434,19.196202114224434,0.10574392361706708,0.10574392361706708,0.0,0.15384615384615385,0.15384615384615385,1.0,True,False,False,False,3,2
step2b_poly_d8,large_improvement,1,G-1186.json,172.9532995969057,172.9532995969057,172.9532995969057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,large_improvement,1,G-119.json,263.9200006723404,263.9200006723404,263.9200006723404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
