regime,max_cycle,max_chain,graph_id,solution_rank,cut_attempt,solver_status,solver_status_name,solver_obj_true,true_obj,oracle_obj,gap_to_oracle,normalized_gap_to_oracle,num_vertices,num_edges,density,in_degree_mean,out_degree_mean,in_degree_gini,out_degree_gini,reciprocal_edge_count,num_2cycles,num_3cycles,largest_scc_fraction,number_of_sccs,edge_count,num_cycle_candidates,num_2cycle_candidates,num_3cycle_candidates,num_chain_candidates,same_solution_as_oracle,edge_jaccard_with_oracle,edge_hamming_with_oracle,edge_overlap_count_with_oracle,solution_edge_signature
step2c_poly_d8_mult_eps050,3,4,G-1110.json,1,1,2,OPTIMAL,230.2117985635996,230.2117985635996,230.2117985635996,0.0,0.0,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,True,1.0,0.0,20,8|30|51|69|87|89|93|122|130|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,2,2,2,OPTIMAL,224.24179902672768,224.24179902672768,230.2117985635996,5.96999953687191,0.025932639309086812,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,19,31,10,21,269,False,0.7727272727272727,0.01937984496124031,17,8|30|69|79|87|89|93|122|130|134|141|151|164|174|180|201|236|241|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,3,3,2,OPTIMAL,224.02419890463352,224.02419890463352,230.2117985635996,6.1875996589660645,0.02687785638071789,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.9047619047619048,0.007751937984496124,19,8|30|54|69|87|89|93|122|130|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,4,4,2,OPTIMAL,223.44279898703098,223.44279898703098,230.2117985635996,6.7689995765686035,0.029403356469017636,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.9047619047619048,0.007751937984496124,19,8|30|50|69|87|89|93|122|130|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,5,5,2,OPTIMAL,223.05269876122475,223.05269876122475,230.2117985635996,7.15909980237484,0.031097883979069516,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.6666666666666666,0.031007751937984496,16,8|30|69|79|87|89|93|122|130|134|141|151|164|174|183|201|236|241|245|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,6,6,2,OPTIMAL,222.93019904196262,222.93019904196262,230.2117985635996,7.281599521636963,0.03163000144666207,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.8181818181818182,0.015503875968992248,18,8|30|51|69|79|87|89|93|122|130|141|151|164|177|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,7,7,2,OPTIMAL,222.42409886419773,222.42409886419773,230.2117985635996,7.7876996994018555,0.033828412565989986,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.8181818181818182,0.015503875968992248,18,8|30|51|69|79|87|89|93|122|130|134|141|151|164|175|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,8,8,2,OPTIMAL,222.39359912276268,222.39359912276268,230.2117985635996,7.818199440836906,0.03396089813634398,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,19,31,10,21,269,False,0.6956521739130435,0.027131782945736434,16,8|30|69|79|87|89|93|122|130|141|151|164|174|180|201|236|241|246|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,9,9,2,OPTIMAL,221.4031988531351,221.4031988531351,230.2117985635996,8.808599710464478,0.03826302459468733,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.9047619047619048,0.007751937984496124,19,8|30|56|69|87|89|93|122|130|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,10,10,2,OPTIMAL,220.88249887898564,220.88249887898564,230.2117985635996,9.329299684613943,0.04052485468939184,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.9047619047619048,0.007751937984496124,19,8|30|57|69|87|89|93|122|130|134|141|151|164|176|180|201|236|241|244|254
