regime,graph_id,subset_seed,comparison,left_role,right_role,edge_id,src,dst,edge_in_left,edge_in_right,edge_in_2stage_rank1,edge_in_best_2stage_near_oracle,edge_in_spoplus_rank1,edge_in_oracle,edge_in_oracle_vs_left_symdiff,edge_in_oracle_vs_right_symdiff,true_weight,pred_2stage,pred_spoplus,error_2stage,error_spoplus,delta_prediction_spoplus_minus_2stage,signed_true_value_delta_right_minus_left,signed_pred_2stage_delta_right_minus_left,signed_pred_spoplus_delta_right_minus_left
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,8,0,45,True,False,True,False,False,False,True,False,15.999500274658203,13.796228839429906,16.573851540699415,-2.203271435228297,0.5743512660412122,2.777622701269509,-15.999500274658203,-13.796228839429906,-16.573851540699415
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,21,3,6,False,True,False,True,True,True,True,False,9.309700012207031,13.505636130913597,16.158493425650683,4.195936118706566,6.8487934134436514,2.6528572947370854,9.309700012207031,13.505636130913597,16.158493425650683
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,24,4,2,True,False,True,False,False,False,True,False,17.428300857543945,12.067091139788362,16.072484610693287,-5.3612097177555835,-1.355816246850658,4.0053934709049255,-17.428300857543945,-12.067091139788362,-16.072484610693287
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,33,6,3,False,True,False,True,True,True,True,False,1.2585999965667725,3.648483526881573,6.012476081175256,2.3898835303148007,4.753876084608484,2.363992554293683,1.2585999965667725,3.648483526881573,6.012476081175256
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,34,6,4,True,False,True,False,False,False,True,False,18.63719940185547,12.664330344953989,17.650440927557465,-5.97286905690148,-0.9867584742980036,4.986110582603477,-18.63719940185547,-12.664330344953989,-17.650440927557465
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,60,9,11,True,False,True,False,False,False,True,False,3.2748000621795654,5.878111946148912,9.686766356020346,2.6033118839693463,6.411966293840781,3.8086544098714343,-3.2748000621795654,-5.878111946148912,-9.686766356020346
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,61,9,18,False,True,False,True,True,True,True,False,52.295101165771484,16.81597203832921,21.93132499966058,-35.47912912744228,-30.363776166110906,5.115352961331368,52.295101165771484,16.81597203832921,21.93132499966058
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,77,11,39,True,False,True,False,False,False,True,False,12.09280014038086,10.604573125794225,14.060091039250546,-1.4882270145866343,1.9672908988696864,3.4555179134563208,-12.09280014038086,-10.604573125794225,-14.060091039250546
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,108,15,30,False,True,False,True,True,True,True,False,15.07699966430664,11.330580443511167,16.92901170660571,-3.746419220795474,1.8520120422990693,5.598431263094543,15.07699966430664,11.330580443511167,16.92901170660571
step2c_poly_d8_mult_eps050,G-1169.json,0,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,144,20,26,True,False,True,False,False,False,True,False,0.5489000082015991,2.5019785429421444,3.779814952548093,1.9530785347405453,3.2309149443464937,1.2778364096059485,-0.5489000082015991,-2.5019785429421444,-3.779814952548093
