graph_id,comparison,seed_count,median_signed_true_value_delta,median_signed_pred_2stage_delta,median_signed_pred_spoplus_delta,mean_signed_true_value_delta,mean_signed_pred_2stage_delta,mean_signed_pred_spoplus_delta
G-1169.json,two_stage_rank1_vs_best_2stage_near_oracle,50,42.71700060367584,-0.8797811139870593,9.79945429187452,42.71700060367584,-0.8492377567409232,9.782395748619926
G-1169.json,two_stage_rank1_vs_spoplus_rank1,50,29.165799617767334,-2.8101242947276663,10.193460037392459,31.876039814949035,-2.521839346562313,10.168875012060083
G-1285.json,two_stage_rank1_vs_best_2stage_near_oracle,50,42.01539897918701,-0.600034103640799,1.716227619283698,42.01539897918701,-0.5948616817299094,1.7088380639362106
G-1285.json,two_stage_rank1_vs_spoplus_rank1,50,42.01539897918701,-0.600034103640799,1.716227619283698,42.01539897918701,-0.5948616817299094,1.7088380639362106
G-14.json,two_stage_rank1_vs_best_2stage_near_oracle,17,27.213600605726242,-0.06427768762148789,-2.9097510437568803,27.213600605726242,-0.06748582603324407,-2.912074735791512
G-14.json,two_stage_rank1_vs_spoplus_rank1,50,-28.142000645399094,-2.2393413464229823,5.267938489048012,-18.88937643945217,-2.243356656228226,5.268867148756772
G-1449.json,two_stage_rank1_vs_best_2stage_near_oracle,50,20.987399458885193,-3.4596072109832727,0.9477461788536647,20.987399458885193,-3.451736766170542,0.9590171959197604
G-1449.json,two_stage_rank1_vs_spoplus_rank1,50,20.84409999847412,-2.6191774704977724,6.192389679651256,20.84409999847412,-2.6006501730867155,6.175354833803266
G-1560.json,two_stage_rank1_vs_best_2stage_near_oracle,50,70.42369741201401,-2.7064308126184544,3.4223366070787833,70.42369741201401,-2.695570077971978,3.4116629334732687
G-1560.json,two_stage_rank1_vs_spoplus_rank1,50,70.42369741201401,-2.7064308126184544,3.4223366070787833,70.42369741201401,-2.695570077971978,3.4116629334732687
G-163.json,two_stage_rank1_vs_best_2stage_near_oracle,50,2.7913990020751953,-2.2139903985572094,-0.47527442516468277,2.7913990020751953,-2.2108198998188953,-0.4422066671510688
G-163.json,two_stage_rank1_vs_spoplus_rank1,42,-44.56500160694122,-2.362944427849146,0.5066653020128307,-44.56500160694122,-2.360219086530276,0.5634559570529858
G-392.json,two_stage_rank1_vs_best_2stage_near_oracle,50,61.58260062336922,-4.24310205416398,3.4862605831052598,61.58260062336922,-4.229411126623715,3.460994411611996
G-392.json,two_stage_rank1_vs_spoplus_rank1,50,61.58260062336922,-4.24310205416398,3.4862605831052598,61.58260062336922,-4.229411126623715,3.460994411611996
