regime,graph_id,subset_seed,solution_role,found,rank_under_2stage,rank_under_spoplus,rank_under_true_oracle_top50,true_gap_pct,true_obj,predicted_score_under_2stage,predicted_score_under_spoplus,two_stage_margin_vs_rank1,spoplus_margin_vs_rank1,jaccard_to_oracle,solution_edge_signature
step2c_poly_d8_mult_eps050,G-1169.json,6,best_2stage_near_oracle_top20,True,3,1,1,0.0,273.3694999217987,222.99168720959673,296.4812070479243,1.2857883876029916,0.0,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,6,spoplus_rank1,True,3,1,1,0.0,273.3694999217987,222.99168720959673,296.4812070479243,1.2857883876029916,0.0,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,7,two_stage_rank1,True,1,,,15.626103356716605,230.65249931812286,216.398130505292,262.73103192283577,0.0,9.476832691782874,0.3448275862068966,8|24|29|34|48|60|71|77|126|144|159|183|186|209|227|237|262|308|316|317
step2c_poly_d8_mult_eps050,G-1169.json,7,best_2stage_near_oracle_top20,True,2,3,1,0.0,273.3694999217987,216.09229840166324,271.9801065238754,0.30583210362874524,0.2277580907432366,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,7,spoplus_rank1,True,9,1,16,4.957100550623041,259.8182989358902,214.16387409602686,272.20786461461864,2.2342564092651287,0.0,0.7727272727272727,21|29|33|48|61|71|108|126|162|183|186|209|227|237|262|277|287|313|316|319
step2c_poly_d8_mult_eps050,G-1169.json,8,two_stage_rank1,True,1,,,15.626103356716605,230.65249931812286,220.05647879760886,255.4247483364244,0.0,12.988685593608295,0.3448275862068966,8|24|29|34|48|60|71|77|126|144|159|183|186|209|227|237|262|308|316|317
step2c_poly_d8_mult_eps050,G-1169.json,8,best_2stage_near_oracle_top20,True,3,5,1,0.0,273.3694999217987,219.33608105635403,267.39629982711386,0.7203977412548284,1.017134102918817,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,8,spoplus_rank1,True,11,1,16,4.957100550623041,259.8182989358902,217.26572853483265,268.4134339300327,2.790750262776214,0.0,0.7727272727272727,21|29|33|48|61|71|108|126|162|183|186|209|227|237|262|277|287|313|316|319
step2c_poly_d8_mult_eps050,G-1169.json,9,two_stage_rank1,True,1,,,15.626103356716605,230.65249931812286,221.21370934273767,261.0747188290112,0.0,10.097623347920717,0.3448275862068966,8|24|29|34|48|60|71|77|126|144|159|183|186|209|227|237|262|308|316|317
step2c_poly_d8_mult_eps050,G-1169.json,9,best_2stage_near_oracle_top20,True,3,4,1,0.0,273.3694999217987,220.22948812025788,270.8025890521692,0.984221222479789,0.36975312476272393,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
