regime,max_cycle,max_chain,graph_id,requested_top_m,observed_top_m,num_vertices,num_edges,density,in_degree_mean,out_degree_mean,in_degree_gini,out_degree_gini,reciprocal_edge_count,num_2cycles,num_3cycles,largest_scc_fraction,number_of_sccs,num_cycle_candidates,num_2cycle_candidates,num_3cycle_candidates,num_chain_candidates,oracle_objective,oracle_second_best_gap_pct,num_observed_solutions_within_1pct,num_observed_solutions_within_5pct,num_observed_solutions_within_10pct,near_oracle_jaccard_mean,near_oracle_jaccard_min
step2c_poly_d8_mult_eps050,3,4,G-1110.json,50,50,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,31,10,21,269,230.2117985635996,2.593263930908681,1,18,50,0.8397871050044964,0.6666666666666666
step2c_poly_d8_mult_eps050,3,4,G-1169.json,50,50,53,321,0.11647314949201741,6.056603773584905,6.056603773584905,0.6583201081525891,0.37547757597131604,14,7,15,0.4528301886792453,29,22,7,15,253,273.3694999217987,2.225339400780536,1,16,50,0.6920883173843702,0.5
step2c_poly_d8_mult_eps050,3,4,G-1206.json,50,50,53,229,0.08309143686502177,4.320754716981132,4.320754716981132,0.7230781906566697,0.4566202521216116,4,2,5,0.1509433962264151,41,7,2,5,102,179.13139943778515,2.126037047456128,1,6,50,0.7256054131054132,0.5555555555555556
step2c_poly_d8_mult_eps050,3,4,G-1285.json,50,50,53,202,0.07329462989840348,3.811320754716981,3.811320754716981,0.5938725948066506,0.6101251634597422,16,8,9,0.33962264150943394,36,17,8,9,154,187.88529980182648,0.5170707611043581,2,2,4,0.9090909090909092,0.8181818181818182
step2c_poly_d8_mult_eps050,3,4,G-1308.json,50,50,53,209,0.0758345428156749,3.943396226415094,3.943396226415094,0.6183984833438656,0.5405795793084771,6,3,2,0.39622641509433965,33,5,3,2,130,177.4468003436923,2.7768320565619753,1,4,18,0.8846153846153847,0.8461538461538461
step2c_poly_d8_mult_eps050,3,4,G-14.json,50,50,53,279,0.10123367198838897,5.264150943396227,5.264150943396227,0.6705890309055251,0.4171231487117062,18,9,30,0.5471698113207547,25,39,9,30,188,187.74170201271772,0.2862444373557519,2,24,50,0.7451937581657261,0.5217391304347826
step2c_poly_d8_mult_eps050,3,4,G-142.json,50,50,53,269,0.09760522496371553,5.0754716981132075,5.0754716981132075,0.712351827172617,0.3257347268008697,20,10,14,0.4339622641509434,31,24,10,14,205,199.27909767627716,2.154917225419675,1,17,50,0.8036739411967055,0.6
step2c_poly_d8_mult_eps050,3,4,G-1449.json,50,50,53,216,0.0783744557329463,4.0754716981132075,4.0754716981132075,0.6858839972047519,0.40199161425576513,14,7,9,0.3584905660377358,35,16,7,9,202,230.8449011966586,1.5596186248622996,1,26,50,0.4741400451291262,0.2692307692307692
step2c_poly_d8_mult_eps050,3,4,G-1560.json,50,50,53,262,0.09506531204644413,4.943396226415095,4.943396226415095,0.6919199193432235,0.3505689183350136,16,8,20,0.4528301886792453,30,28,8,20,130,199.08089703321457,0.5115506067036782,2,15,44,0.7182497911445279,0.5238095238095238
step2c_poly_d8_mult_eps050,3,4,G-163.json,50,50,53,349,0.12663280116110304,6.584905660377358,6.584905660377358,0.6159917824512082,0.44353138346758936,32,16,46,0.5849056603773585,23,62,16,46,373,298.6890018321574,0.06280784851529717,6,50,50,0.7353447060186195,0.5384615384615384
step2c_poly_d8_mult_eps050,3,4,G-1657.json,50,50,53,320,0.11611030478955008,6.037735849056604,6.037735849056604,0.5670990566037737,0.4865566037735849,4,2,7,0.33962264150943394,36,9,2,7,89,157.9005989432335,0.8664307047589523,3,50,50,0.5739597523219814,0.21052631578947367
step2c_poly_d8_mult_eps050,3,4,G-178.json,50,50,53,229,0.08309143686502177,4.320754716981132,4.320754716981132,0.621899975282195,0.5482409162066408,2,1,6,0.39622641509433965,33,7,1,6,177,258.5848020911217,0.7938980565274114,5,50,50,0.6674094177161887,0.391304347826087
step2c_poly_d8_mult_eps050,3,4,G-191.json,50,50,53,270,0.09796806966618288,5.09433962264151,5.09433962264151,0.6880503144654089,0.43172606568832994,12,6,20,0.39622641509433965,33,26,6,20,231,271.9638031423092,0.03478411448865765,5,50,50,0.669006462136897,0.36
step2c_poly_d8_mult_eps050,3,4,G-392.json,50,50,53,296,0.10740203193033382,5.584905660377358,5.584905660377358,0.6613972463029067,0.4547424783273839,6,3,12,0.41509433962264153,28,15,3,12,250,254.6992008984089,0.7585026792430447,3,28,50,0.7517695459710827,0.5217391304347826
step2c_poly_d8_mult_eps050,3,4,G-552.json,50,50,53,192,0.06966618287373004,3.6226415094339623,3.6226415094339623,0.7547169811320755,0.41666666666666674,6,3,3,0.20754716981132076,42,6,3,3,30,94.23440161347389,0.12065638627716559,5,27,43,0.6601888851888851,0.375
step2c_poly_d8_mult_eps050,3,4,G-946.json,50,50,53,202,0.07329462989840348,3.811320754716981,3.811320754716981,0.7422006351578554,0.3840836913880068,12,6,10,0.3584905660377358,35,16,6,10,158,209.10899640247226,1.5291546240689644,1,5,15,0.8254079254079254,0.6923076923076923
