case_id,case_label,base_graph_id,subset_seed,perturb_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,method_label,original_oracle_obj,variant_oracle_obj,delta_oracle_obj,relative_delta_oracle_obj,oracle_solution_changed_vs_original,original_rank1_normalized_gap,variant_rank1_normalized_gap,delta_rank1_normalized_gap,original_rank2_normalized_gap,variant_rank2_normalized_gap,delta_rank2_normalized_gap,original_rank2_minus_rank1_normalized_gap,variant_rank2_minus_rank1_normalized_gap,delta_rank2_minus_rank1_normalized_gap,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,original,none,262,262,0,2stage_val_mse,199.7119015455246,199.7119015455246,0.0,0.0,False,0.29230506826027675,0.29230506826027675,0.0,0.011964239189111428,0.011964239189111428,0.0,-0.2803408290711653,-0.2803408290711653,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,original,none,262,262,0,spoplus_val_spoplus_loss,199.7119015455246,199.7119015455246,0.0,0.0,False,0.011964239189111428,0.011964239189111428,0.0,0.28999374265979033,0.28999374265979033,0.0,0.2780295034706789,0.2780295034706789,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,add25pct,add_fraction,262,328,66,2stage_val_mse,199.7119015455246,472.3195000588894,272.6075985133648,1.3650042706704864,True,0.29230506826027675,0.1223726778467167,-0.16993239041356006,0.011964239189111428,0.1111067909025117,0.09914255171340028,-0.2803408290711653,-0.011265886944204995,0.2690749421269603,True,True,12,16,14,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,add25pct,add_fraction,262,328,66,spoplus_val_spoplus_loss,199.7119015455246,472.3195000588894,272.6075985133648,1.3650042706704864,True,0.011964239189111428,0.11670278758273443,0.10473854839362301,0.28999374265979033,0.10653276862836485,-0.18346097403142547,0.2780295034706789,-0.010170018954369586,-0.2881995224250485,True,True,12,16,14,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,add25arcs,add_fixed,262,287,25,2stage_val_mse,199.7119015455246,326.5630971118808,126.85119556635618,0.6351709366576748,True,0.29230506826027675,0.10503789477220338,-0.18726717348807337,0.011964239189111428,0.1034094177238144,0.09144517853470298,-0.2803408290711653,-0.0016284770483889766,0.27871235202277633,True,True,10,9,9,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,add25arcs,add_fixed,262,287,25,spoplus_val_spoplus_loss,199.7119015455246,326.5630971118808,126.85119556635618,0.6351709366576748,True,0.011964239189111428,0.10503789477220338,0.09307365558309195,0.28999374265979033,0.11794933387926787,-0.17204440878052246,0.2780295034706789,0.012911439107064493,-0.2651180643636144,True,True,10,9,8,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,remove25arcs,remove_fixed,262,237,-25,2stage_val_mse,199.7119015455246,199.7119015455246,0.0,0.0,False,0.29230506826027675,0.011964239189111428,-0.2803408290711653,0.011964239189111428,0.031290077052715,0.01932583786360357,-0.2803408290711653,0.01932583786360357,0.2996666669347689,True,True,0,0,0,0,1,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,remove25arcs,remove_fixed,262,237,-25,spoplus_val_spoplus_loss,199.7119015455246,199.7119015455246,0.0,0.0,False,0.011964239189111428,0.011964239189111428,0.0,0.28999374265979033,0.031290077052715,-0.25870366560707536,0.2780295034706789,0.01932583786360357,-0.2587036656070753,False,True,0,0,0,0,0,1
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,remove25pct,remove_fraction,262,196,-66,2stage_val_mse,199.7119015455246,121.00330054759979,-78.7086009979248,-0.39411071843398915,True,0.29230506826027675,0.16277490691684174,-0.129530161343435,0.011964239189111428,0.16750783586220636,0.15554359667309492,-0.2803408290711653,0.004732928945364617,0.2850737580165299,True,True,0,0,0,6,8,8
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,42,remove25pct,remove_fraction,262,196,-66,spoplus_val_spoplus_loss,199.7119015455246,121.00330054759979,-78.7086009979248,-0.39411071843398915,True,0.011964239189111428,0.16277490691684174,0.1508106677277303,0.28999374265979033,0.16750783586220636,-0.12248590679758398,0.2780295034706789,0.004732928945364617,-0.2732965745253143,True,True,0,0,0,6,8,8
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,42,original,none,296,296,0,2stage_val_mse,258.470400467515,258.470400467515,0.0,0.0,False,0.31384871056929403,0.31384871056929403,0.0,0.31936500893098146,0.31936500893098146,0.0,0.005516298361687433,0.005516298361687433,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,42,original,none,296,296,0,spoplus_val_spoplus_loss,258.470400467515,258.470400467515,0.0,0.0,False,0.0,0.0,0.0,0.025326688510099775,0.025326688510099775,0.0,0.025326688510099775,0.025326688510099775,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,42,add25pct,add_fraction,296,370,74,2stage_val_mse,258.470400467515,564.2171019166708,305.7467014491558,1.182907988288518,True,0.31384871056929403,0.26427806083068783,-0.0495706497386062,0.31936500893098146,0.2672285209029233,-0.05213648802805815,0.005516298361687433,0.0029504600722354835,-0.0025658382894519494,True,True,11,20,20,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,42,add25pct,add_fraction,296,370,74,spoplus_val_spoplus_loss,258.470400467515,564.2171019166708,305.7467014491558,1.182907988288518,True,0.0,0.26427806083068783,0.26427806083068783,0.025326688510099775,0.2672285209029233,0.24190183239282353,0.025326688510099775,0.0029504600722354835,-0.02237622843786429,True,True,11,20,20,0,0,0
