base_graph_id,case_label,mechanism,density_variant,method_label,mean_rank1_normalized_gap,mean_rank2_normalized_gap,mean_delta_rank2_vs_original,seed_min_delta_rank2,seed_max_delta_rank2,mean_oracle_obj_delta,rank2_changed_rate,oracle_changed_rate,mechanism_preserved,interpretation_note
G-392.json,case_c_spoplus_fixes_2stage,SPO+ region correction,add25arcs,spoplus_val_spoplus_loss,0.03301378129733421,0.11578238540410993,0.09045569689401015,0.09045569689401015,0.09045569689401015,120.76520358026028,1.0,1.0,mixed,G-392.json SPO+ region correction: SPO+ rank1 mean gap 3.30% vs 2stage 3.30%; spoplus_val_spoplus_loss rank2 mean gap 11.58%; preserved=mixed.
G-392.json,case_c_spoplus_fixes_2stage,SPO+ region correction,remove25arcs,2stage_val_mse,0.11429446883443636,0.2621840110988533,-0.057180997832128155,-0.057180997832128155,-0.057180997832128155,-25.585099831223488,1.0,1.0,mixed,G-392.json SPO+ region correction: SPO+ rank1 mean gap 11.43% vs 2stage 11.43%; 2stage_val_mse rank2 mean gap 26.22%; preserved=mixed.
G-392.json,case_c_spoplus_fixes_2stage,SPO+ region correction,remove25arcs,spoplus_val_spoplus_loss,0.11429446883443636,0.1218668649107884,0.09654017640068863,0.09654017640068863,0.09654017640068863,-25.585099831223488,1.0,1.0,mixed,G-392.json SPO+ region correction: SPO+ rank1 mean gap 11.43% vs 2stage 11.43%; spoplus_val_spoplus_loss rank2 mean gap 12.19%; preserved=mixed.
G-392.json,case_c_spoplus_fixes_2stage,SPO+ region correction,remove25pct,2stage_val_mse,0.0,0.12474928874100102,-0.19461572018998044,-0.19461572018998044,-0.19461572018998044,-58.6929003149271,1.0,1.0,no,G-392.json SPO+ region correction: SPO+ rank1 mean gap 12.47% vs 2stage 0.00%; 2stage_val_mse rank2 mean gap 12.47%; preserved=no.
G-392.json,case_c_spoplus_fixes_2stage,SPO+ region correction,remove25pct,spoplus_val_spoplus_loss,0.12474928874100102,0.14763524822873567,0.12230855971863588,0.12230855971863588,0.12230855971863588,-58.6929003149271,1.0,1.0,no,G-392.json SPO+ region correction: SPO+ rank1 mean gap 12.47% vs 2stage 0.00%; spoplus_val_spoplus_loss rank2 mean gap 14.76%; preserved=no.
G-696.json,case_b_different_solution_near_optimal,close alternatives,original,2stage_val_mse,0.000643594875131222,0.010214456709745657,0.0,0.0,0.0,0.0,0.0,0.0,yes,G-696.json close alternatives: 2stage_val_mse rank2 mean gap 1.02% with delta range 0.00% to 0.00%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,original,spoplus_val_spoplus_loss,0.000643594875131222,0.037509657399724734,0.0,0.0,0.0,0.0,0.0,0.0,yes,G-696.json close alternatives: spoplus_val_spoplus_loss rank2 mean gap 3.75% with delta range 0.00% to 0.00%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,add25pct,2stage_val_mse,0.06875521024265346,0.037680718891742286,0.02746626218199663,0.02746626218199663,0.02746626218199663,245.54610270261765,1.0,1.0,yes,G-696.json close alternatives: 2stage_val_mse rank2 mean gap 3.77% with delta range 2.75% to 2.75%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,add25pct,spoplus_val_spoplus_loss,0.04419910310255393,0.011386507895062702,-0.026123149504662033,-0.026123149504662033,-0.026123149504662033,245.54610270261765,1.0,1.0,yes,G-696.json close alternatives: spoplus_val_spoplus_loss rank2 mean gap 1.14% with delta range -2.61% to -2.61%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,add25arcs,2stage_val_mse,0.0,0.06882813708811716,0.05861368037837151,0.05861368037837151,0.05861368037837151,57.18599987030029,1.0,1.0,mixed,G-696.json close alternatives: 2stage_val_mse rank2 mean gap 6.88% with delta range 5.86% to 5.86%; preserved=mixed.
G-696.json,case_b_different_solution_near_optimal,close alternatives,add25arcs,spoplus_val_spoplus_loss,0.0005704239410718157,0.0,-0.037509657399724734,-0.037509657399724734,-0.037509657399724734,57.18599987030029,1.0,1.0,yes,G-696.json close alternatives: spoplus_val_spoplus_loss rank2 mean gap 0.00% with delta range -3.75% to -3.75%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,remove25arcs,2stage_val_mse,0.0,0.0059478711902956555,-0.004266585519450001,-0.004266585519450001,-0.004266585519450001,-40.28939723968506,1.0,1.0,yes,G-696.json close alternatives: 2stage_val_mse rank2 mean gap 0.59% with delta range -0.43% to -0.43%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,remove25arcs,spoplus_val_spoplus_loss,0.0,0.0059478711902956555,-0.03156178620942908,-0.03156178620942908,-0.03156178620942908,-40.28939723968506,1.0,1.0,yes,G-696.json close alternatives: spoplus_val_spoplus_loss rank2 mean gap 0.59% with delta range -3.16% to -3.16%; preserved=yes.
G-696.json,case_b_different_solution_near_optimal,close alternatives,remove25pct,2stage_val_mse,0.03899294926400475,0.1751936293277274,0.16497917261798173,0.16497917261798173,0.16497917261798173,-76.38889932632446,1.0,1.0,no,G-696.json close alternatives: 2stage_val_mse rank2 mean gap 17.52% with delta range 16.50% to 16.50%; preserved=no.
G-696.json,case_b_different_solution_near_optimal,close alternatives,remove25pct,spoplus_val_spoplus_loss,0.0,0.03899294926400475,0.0014832918642800133,0.0014832918642800133,0.0014832918642800133,-76.38889932632446,1.0,1.0,yes,G-696.json close alternatives: spoplus_val_spoplus_loss rank2 mean gap 3.90% with delta range 0.15% to 0.15%; preserved=yes.
