problem_family,problem_label,objective_sense,tau,sigma,substitute_regime,num_instances,identity_mismatch_rate,mean_normalized_regret,q25_normalized_regret,median_normalized_regret,q75_normalized_regret,p90_normalized_regret,max_normalized_regret,mean_normalized_regret_when_mismatch,median_normalized_regret_when_mismatch,mean_true_second_best_normalized_gap,q25_true_second_best_normalized_gap,median_true_second_best_normalized_gap,q75_true_second_best_normalized_gap,p90_true_second_best_normalized_gap,within_1pct_rate,within_5pct_rate,mean_dfl_improvement_ceiling,median_dfl_improvement_ceiling,mean_changed_component_count,mean_oracle_objective
clustered_stable_set,Random stable/independent set,maximize,0.02,0.0,close_substitutes,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.126795960781727e-05,2.0259984142951923e-05,5.0260412633221953e-05,0.00010065642113042297,0.00017265980639668248,1.0,1.0,0.0,0.0,0.0,12.14536397700745
clustered_stable_set,Random stable/independent set,maximize,0.02,0.02,close_substitutes,500,1.0,0.005977177085160907,0.0042942944145779385,0.005664157141436029,0.007545987908885446,0.009185456234795358,0.013597061604040431,0.005977177085160907,0.005664157141436029,6.260371454012426e-05,1.6648013318309096e-05,4.2999274520675776e-05,8.679672533582035e-05,0.00014932830031701667,0.94,1.0,0.005977177085160907,0.005664157141436029,6.536,12.142657378731407
clustered_stable_set,Random stable/independent set,maximize,0.02,0.05,close_substitutes,500,1.0,0.00910787080666805,0.006968872963710711,0.009014765872656781,0.010959469377567562,0.012906404699978141,0.02111343568023604,0.00910787080666805,0.009014765872656781,6.582707492967337e-05,1.9273815485793798e-05,4.4851134984165075e-05,9.299890458472805e-05,0.00014912113566023657,0.634,1.0,0.00910787080666805,0.009014765872656781,7.916,12.143849108301934
clustered_stable_set,Random stable/independent set,maximize,0.02,0.1,close_substitutes,500,1.0,0.010484431130799015,0.008315466787543527,0.010458315937564508,0.01268781153680216,0.014439020082421532,0.02078983450398848,0.010484431130799015,0.010458315937564508,7.231470944174953e-05,2.016785248903403e-05,4.716651844093592e-05,0.00010400220242688606,0.00016753983593022377,0.46,1.0,0.010484431130799015,0.010458315937564508,8.416,12.145486854767404
clustered_stable_set,Random stable/independent set,maximize,0.02,0.2,close_substitutes,500,1.0,0.011084032208328112,0.008809276696553863,0.011000848857351548,0.013282865447328122,0.0155888150467596,0.02056394849842996,0.011084032208328112,0.011000848857351548,7.25080924369742e-05,2.166152708576185e-05,5.193130088958983e-05,0.00010264938807584193,0.0001646682590153222,0.382,1.0,0.011084032208328112,0.011000848857351548,8.662,12.14445590992717
clustered_stable_set,Random stable/independent set,maximize,0.02,0.3,close_substitutes,500,1.0,0.011324241573914253,0.00930041605238005,0.01139400360473079,0.013316917491029782,0.015225769123720825,0.019905106418467065,0.011324241573914253,0.01139400360473079,7.190017900334164e-05,2.1806708082285037e-05,5.3686381010385894e-05,0.00010170034128426583,0.00016504476215314912,0.334,1.0,0.011324241573914253,0.01139400360473079,8.73,12.142851175801907
clustered_stable_set,Random stable/independent set,maximize,0.05,0.0,close_substitutes,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016784657457702995,4.5738728491085626e-05,0.00012763559286500573,0.0002316064734907478,0.00037183749764834985,1.0,1.0,0.0,0.0,0.0,12.360861511377806
clustered_stable_set,Random stable/independent set,maximize,0.05,0.02,close_substitutes,500,0.996,0.00489240206118832,0.0027449390481021005,0.004333314739201795,0.006789651641885493,0.008994396375648353,0.016827843151158504,0.004912050262237269,0.004338854714184721,0.00017534018304215008,5.8228704398323835e-05,0.0001260923079845779,0.00024680764878721697,0.00038088958350903957,0.942,1.0,0.00489240206118832,0.004333314739201795,3.892,12.359269667383224
clustered_stable_set,Random stable/independent set,maximize,0.05,0.05,close_substitutes,500,0.998,0.0141162519520729,0.010346610055554211,0.013833316553845563,0.017595699536728064,0.021122868283977154,0.04042427026101558,0.014144541034141181,0.01384336659014146,0.00016690661536350473,4.7842322200927905e-05,0.00011804594626406447,0.00023684903687169097,0.00038405565778976396,0.22,1.0,0.0141162519520729,0.013833316553845563,6.504,12.361323239196336
clustered_stable_set,Random stable/independent set,maximize,0.05,0.1,close_substitutes,500,1.0,0.020930510019489004,0.015720860225488794,0.020655915572999718,0.02488667699375989,0.030343408831164178,0.04018345932101506,0.020930510019489004,0.020655915572999718,0.0001591944361302953,4.81692487332019e-05,0.00011197247835199258,0.00021097667532340953,0.0003728025839598774,0.044,1.0,0.020930510019489004,0.020655915572999718,7.676,12.3594799990086
