target_graph_id,target_case_group,match_rank,control_graph_id,match_distance,target_num_vertices,target_num_arcs,target_density,target_num_2cycles,target_num_3cycles,target_largest_scc_fraction,control_num_vertices,control_num_arcs,control_density,control_num_2cycles,control_num_3cycles,control_largest_scc_fraction,absdiff_num_vertices,absdiff_num_arcs,absdiff_density,absdiff_num_2cycles,absdiff_num_3cycles,absdiff_largest_scc_fraction,target_median_delta_pp,target_strict_case_c_rate,target_helpful_graph,target_harmful_graph,target_feasible_set_richness_score,target_num_exchange_candidates,target_conflict_graph_density,target_ranking_ambiguity_score,target_mean_2stage_top5_within_1pct_count,target_median_2stage_top5_diversity_from_rank1,control_median_delta_pp,control_strict_case_c_rate,control_helpful_graph,control_harmful_graph,control_feasible_set_richness_score,control_num_exchange_candidates,control_conflict_graph_density,control_ranking_ambiguity_score,control_mean_2stage_top5_within_1pct_count,control_median_2stage_top5_diversity_from_rank1
G-392.json,helpful_success,1,G-1442.json,0.6360481002697164,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,56.0,278.0,0.09025974025974026,4.0,10.0,0.375,0.0,18.0,0.005844155844155846,1.0,2.0,0.01785714285714285,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,0.0,0.0,0.0,0.0,-0.9748848253374196,451.0,0.8260655333826066,-2.37328589955601,1.0,0.20773517740429503
G-392.json,helpful_success,2,G-1287.json,0.7700912425104647,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,57.0,309.0,0.09680451127819549,4.0,14.0,0.3684210526315789,1.0,13.0,0.0007006151742993821,1.0,2.0,0.024436090225563922,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,0.0,0.0,0.0,0.0,2.6104500671219193,2037.0,0.7498883619637878,2.1523793272495046,3.04,0.3921296296296297
G-392.json,helpful_success,3,G-1323.json,0.7719745830327073,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,56.0,303.0,0.09837662337662338,6.0,11.0,0.375,0.0,7.0,0.0022727272727272735,3.0,1.0,0.01785714285714285,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,10.2621887236056,0.32,1.0,0.0,1.7420941063016337,1628.0,0.7821792569795029,2.8365037889263522,4.0,0.3590389016018307
G-392.json,helpful_success,4,G-867.json,0.8872898540338503,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,56.0,276.0,0.08961038961038961,4.0,8.0,0.4642857142857143,0.0,20.0,0.006493506493506496,1.0,4.0,0.07142857142857145,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,-1.8046516721349075,0.0,0.0,0.0,-0.6036424737321465,624.0,0.7511987076593818,2.5122651312333595,4.0,0.3500000000000001
G-392.json,helpful_success,5,G-1107.json,0.9285082351324543,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,57.0,298.0,0.09335839598997493,5.0,7.0,0.3684210526315789,1.0,2.0,0.002745500113921176,2.0,5.0,0.024436090225563922,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,0.0,0.0,0.0,0.0,0.15042883241005958,996.0,0.7181651228027689,0.06948075279355792,3.0,0.1740601503759398
G-392.json,helpful_success,6,G-664.json,0.9347734202243498,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,56.0,278.0,0.09025974025974026,6.0,10.0,0.4107142857142857,0.0,18.0,0.005844155844155846,3.0,2.0,0.01785714285714285,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,0.0,0.0,0.0,0.0,-0.45466250392437285,591.0,0.8609366485990422,1.565952709886424,3.02,0.34037857567269336
G-392.json,helpful_success,7,G-1090.json,0.941992952513631,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,56.0,274.0,0.08896103896103896,5.0,15.0,0.44642857142857145,0.0,22.0,0.007142857142857145,2.0,3.0,0.0535714285714286,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,2.2916649031408234,0.0,0.0,0.0,0.32494398150026743,1011.0,0.7230601991949936,-0.5578113244514732,2.0,0.2386128364389234
G-392.json,helpful_success,8,G-198.json,0.9459557506553117,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,56.0,288.0,0.09350649350649351,6.0,9.0,0.32142857142857145,0.0,8.0,0.0025974025974025983,3.0,3.0,0.0714285714285714,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,0.0,0.0,0.0,0.0,-0.04007029655060845,944.0,0.7423679386020094,0.12925320999704895,2.14,0.304411530498487
G-392.json,helpful_success,9,G-931.json,0.9571617912450336,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,57.0,291.0,0.09116541353383459,4.0,6.0,0.43859649122807015,1.0,5.0,0.00493848257006152,1.0,6.0,0.0457393483709273,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,0.0,0.0,0.0,0.0,-0.6204295392599107,728.0,0.7246323140408423,0.21961516515034418,3.0,0.1654411764705883
G-392.json,helpful_success,10,G-765.json,0.9784594473422145,56.0,296.0,0.09610389610389611,3.0,12.0,0.39285714285714285,57.0,284.0,0.08897243107769423,3.0,7.0,0.43859649122807015,1.0,12.0,0.0071314650262018775,0.0,5.0,0.0457393483709273,24.178560594577878,1.0,1.0,0.0,-0.5235448677937531,761.0,0.7062798257140881,-0.3910484007982269,3.0,0.11688311688311692,2.777238047030525,0.0,0.0,0.0,-0.5784465481191111,874.0,0.8297959900498295,-2.590361240442361,1.0,0.12289301685586507
