graph_id,median_delta_pp,strict_case_c_rate,helpful_graph,harmful_graph,ranking_ambiguity_score,ranking_ambiguity_score_percentile,median_2stage_top1_top2_pred_margin_pct,median_2stage_top1_top2_pred_margin_pct_percentile,median_2stage_top1_top5_pred_margin_pct,median_2stage_top1_top5_pred_margin_pct_percentile,mean_2stage_top5_within_1pct_count,mean_2stage_top5_within_1pct_count_percentile,median_2stage_top5_diversity_from_rank1,median_2stage_top5_diversity_from_rank1_percentile,rank1_modal_signature_rate,rank1_modal_signature_rate_percentile
G-392.json,24.178560594577878,1.0,1,0,-0.3910484007982269,0.43,0.0025458338088882437,0.2575,0.017568417732003325,0.43,3.0,0.71,0.11688311688311692,0.02,1.0,1.0
G-1285.json,22.362259859222338,1.0,1,0,1.934447021329882,0.7575,0.0052287302153768275,0.4775,0.02192248248606358,0.5825,2.0,0.52,0.5135416666666667,0.9575,1.0,1.0
G-1560.json,35.37441234249151,1.0,1,0,-0.6631446322160364,0.375,0.01575464639603713,0.8675,0.019473289777126424,0.4975,1.0,0.2525,0.41977671878346534,0.8675,1.0,1.0
G-1169.json,10.669002806093564,1.0,1,0,4.154804199530995,0.96,0.00289574981663949,0.2825,0.010397272998585297,0.1625,4.34,0.8525,0.4934227330779055,0.9525,1.0,1.0
G-1449.json,9.029482518492609,1.0,1,0,3.33118659968991,0.9225,0.0013025413088585927,0.1525,0.008051341752989384,0.0875,5.0,1.0,0.31644080557124044,0.6475,1.0,1.0
G-142.json,0.0,0.0,0,0,-1.4227248256578924,0.255,0.01814510718485366,0.895,0.019868085716871636,0.5075,1.0,0.2525,0.3647021943573667,0.765,1.0,1.0
G-946.json,0.0,0.0,0,0,-0.5331080870492713,0.4,0.009542410196184774,0.71,0.022123413883851584,0.5925,2.0,0.52,0.28799019607843135,0.5275,1.0,1.0
G-14.json,-14.989744070469142,0.0,0,1,3.1408091387135597,0.905,0.0004339153225403139,0.0475,0.00978439947747301,0.145,4.88,0.8675,0.30174868990658466,0.5875,0.66,0.02
G-163.json,-14.920201726019519,0.0,0,1,2.4435110656057706,0.8425,0.005778097338866415,0.5,0.009059055660813334,0.12,5.0,1.0,0.274886546625677,0.49,1.0,1.0
