regime,graph_id,max_cycle,max_chain,num_vertices,num_arcs,density,mean_in_degree,mean_out_degree,max_in_degree,max_out_degree,in_degree_gini,out_degree_gini,reciprocal_arc_count,reciprocity_rate,num_weak_components,num_strong_components,largest_scc_fraction,scc_entropy,num_sources,num_sinks,num_2cycles,num_3cycles,num_cycles_total,num_chain_len1,num_chain_len2,num_chain_len3,num_chain_len4,num_chains_total,cycle_to_chain_ratio,num_exchange_candidates,exchange_size_mean,exchange_size_std,exchange_size_entropy,vertex_exchange_participation_mean,vertex_exchange_participation_gini,max_vertex_exchange_participation,fraction_vertices_in_any_exchange,fraction_vertices_in_many_exchanges,feasible_set_richness_score,conflict_graph_num_nodes,conflict_graph_num_edges,conflict_graph_density,conflict_degree_mean,conflict_degree_gini,conflict_components,largest_conflict_component_fraction,median_delta_pp,strict_case_c_rate,meaningful_spo_benefit_rate,median_two_stage_rank1_gap_pct,median_spoplus_rank1_gap_pct,topk_promotion_rate,exact_rank2_promotion_rate,correction_rate,helpful_graph,extreme_helpful_graph,harmful_graph,neutral_graph,seed_count,median_2stage_top1_top2_pred_margin,median_2stage_top1_top5_pred_margin,median_2stage_top1_top2_pred_margin_pct,median_2stage_top1_top5_pred_margin_pct,mean_2stage_top5_within_1pct_count,mean_2stage_top5_within_5pct_count,median_2stage_top5_mean_jaccard_to_rank1,median_2stage_top5_diversity_from_rank1,rank1_unique_signature_count,rank1_unique_signature_rate,rank1_modal_signature_rate,ranking_ambiguity_score,ranking_ambiguity_top20_score,median_2stage_top1_top20_pred_margin,median_2stage_top1_top20_pred_margin_pct,mean_2stage_top20_within_1pct_count,mean_2stage_top20_within_5pct_count,median_2stage_top20_mean_jaccard_to_rank1,median_2stage_top20_diversity_from_rank1,median_2stage_top20_mean_pairwise_jaccard,median_2stage_top20_pairwise_diversity,top20_unique_signature_count_median
step2c_poly_d8_mult_eps050,G-1.json,3,4,56,189,0.06136363636363636,3.375,3.375,25,9,0.6985071806500378,0.4566326530612246,8,0.042328042328042326,6,35,0.375,2.8589005201402946,23,8,4,7,11,10,27,76,176,289,0.03806228373702422,300,4.38,0.8615489926096279,1.0505025498560712,23.464285714285715,0.7436942813655143,230,0.5178571428571429,0.4642857142857143,-1.395338375810033,300,34671,0.7730434782608696,231.14,0.11515935508061492,1,1.0,0.0,0.0,0.0,7.353250928835991,7.353250928835991,0.0,0.0,0.0,0,0,0,1,50,3.212929996157328,5.835511352269634,0.015255215156768429,0.02770717032227532,1.0,5.0,0.8654761904761904,0.1345238095238096,1,0.02,1.0,-3.448504659335489,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-4.json,3,4,56,235,0.0762987012987013,4.196428571428571,4.196428571428571,25,15,0.6949088145896658,0.4479483282674772,18,0.07659574468085106,4,28,0.5178571428571429,2.2815734930635814,18,8,9,21,30,5,16,58,216,295,0.1016949152542373,325,4.464615384615384,0.8572641221630133,0.9619279637022855,25.910714285714285,0.7698754553509894,285,0.5714285714285714,0.42857142857142855,-0.614378900010116,325,45681,0.8676353276353276,281.11384615384617,0.07832584831599743,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,50,0.7792368800205907,1.7068692007214565,0.00538247541182201,0.011790742639912758,2.62,5.0,0.7752100840336134,0.22478991596638664,1,0.02,1.0,0.202517114085898,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-6.json,3,4,56,211,0.0685064935064935,3.767857142857143,3.767857142857143,24,10,0.7169092755585647,0.41985443466486116,0,0.0,4,53,0.07142857142857142,3.926330664940869,21,13,0,2,2,16,34,57,62,169,0.011834319526627219,171,3.9649122807017543,0.9726958789915161,1.2837433490194932,12.107142857142858,0.7309839865149601,111,0.5178571428571429,0.44642857142857145,-1.0371945337065949,171,9325,0.6415548675610595,109.06432748538012,0.14267061756267352,1,1.0,0.0,0.0,0.32,6.76096146603863,6.76096146603863,0.32,0.0,0.0,0,0,0,1,50,1.2520617955259468,3.9607964400496343,0.0090224793150867,0.02885011287472218,1.98,5.0,0.7065563725490196,0.2934436274509804,1,0.02,1.0,-0.7008032123059565,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-13.json,3,4,57,260,0.08145363408521303,4.56140350877193,4.56140350877193,25,19,0.6724696356275304,0.5044534412955466,10,0.038461538461538464,5,39,0.3333333333333333,3.061571608112405,17,12,5,11,16,9,15,43,131,198,0.08080808080808081,214,4.359813084112149,0.9305168710482574,1.0573789733520096,16.36842105263158,0.7721554690584982,131,0.5614035087719298,0.42105263157894735,-1.2792097598226457,214,18145,0.7961476021236453,169.57943925233644,0.11096128538795735,1,1.0,0.0,0.0,0.0,0.24219890145566816,0.24219890145566816,0.0,0.0,0.0,0,0,0,1,50,4.344656167447212,7.329496993224197,0.020608275972458557,0.03486409198630271,1.0,5.0,0.8447368421052631,0.15526315789473688,1,0.02,1.0,-4.114553195086426,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-14.json,3,4,58,279,0.08439201451905626,4.810344827586207,4.810344827586207,28,12,0.6989865282412557,0.46737115313311084,18,0.06451612903225806,7,30,0.5,2.376795095553182,24,8,9,30,39,7,23,87,328,445,0.08764044943820225,484,4.50206611570248,0.8169156033928648,0.9270655661235596,37.56896551724138,0.7614138089284868,372,0.5344827586206896,0.4827586206896552,0.17265933215871726,484,97073,0.830492958951457,401.1280991735537,0.09409847730680321,1,1.0,-14.989744070469142,0.0,0.0,0.0,14.989744070469142,0.0,0.0,0.0,0,0,1,0,50,0.06614677894495458,1.5038438635535556,0.0004339153225403139,0.00978439947747301,4.88,5.0,0.6982513100934153,0.30174868990658466,2,0.04,0.66,3.1408091387135597,3.206692344340463,4.462007253677399,0.029069373466252192,5.72,20.0,0.5598664172553128,0.44013358274468717,0.5392803998460026,0.4607196001539974,20.0
step2c_poly_d8_mult_eps050,G-23.json,3,4,58,248,0.0750151240169389,4.275862068965517,4.275862068965517,37,12,0.728031145717464,0.4290878754171301,18,0.07258064516129033,6,36,0.39655172413793105,2.8170573731952038,21,7,9,21,30,26,92,359,1276,1753,0.017113519680547633,1783,4.613011777902412,0.6940893503154674,0.8141287843935059,141.81034482758622,0.7459155224819203,852,0.603448275862069,0.5344827586206896,2.508040051715438,1783,1279620,0.8054748267872216,1435.3561413348289,0.07373091683845456,1,1.0,3.57908243012941,0.0,0.0,7.005082382224671,3.4259999520952613,1.0,0.0,0.0,0,0,0,0,50,0.874144193730686,3.564720267014792,0.004067208102301125,0.016517384673940143,2.0,5.0,0.7889610389610389,0.21103896103896114,1,0.02,1.0,-0.4106486947384582,-2.252891857823366,9.156038572839336,0.042431445130426515,2.0,20.0,0.7243337436580842,0.27566625634191577,0.663953302907477,0.336046697092523,20.0
step2c_poly_d8_mult_eps050,G-30.json,3,4,56,198,0.06428571428571428,3.5357142857142856,3.5357142857142856,26,10,0.7334054834054835,0.4390331890331891,2,0.010101010101010102,5,55,0.03571428571428571,4.000596434286577,22,12,1,0,1,7,1,0,0,8,0.125,9,2.111111111111111,0.3142696805273545,0.34883209584303193,0.3392857142857143,0.8486842105263159,3,0.19642857142857142,0.0,-6.697914107230707,9,9,0.25,2.0,0.24691358024691357,2,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,50,2.7109098058188934,6.569771058330275,0.04925036440655106,0.11933404928606542,1.0,2.0,0.6904761904761905,0.30952380952380953,1,0.02,1.0,-9.06143945867956,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-39.json,3,4,56,190,0.06168831168831169,3.392857142857143,3.392857142857143,23,15,0.7486842105263158,0.505827067669173,4,0.021052631578947368,8,46,0.17857142857142858,3.589420524823355,25,12,2,1,3,13,35,62,119,229,0.013100436681222707,232,4.228448275862069,0.9351660404370379,1.1612827925541513,17.517857142857142,0.746850881025193,188,0.5,0.42857142857142855,-1.4782806394219983,232,21974,0.8200477683236304,189.43103448275863,0.09751473528276344,1,1.0,18.91314311121528,0.0,1.0,36.31177060900528,17.39862749779,0.0,0.0,0.0,1,1,0,0,50,1.1044447329333735,2.305085482839189,0.009737589105764756,0.020236718269998233,1.98,5.0,0.7939560439560439,0.2060439560439561,1,0.02,1.0,-1.2216486479693434,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-43.json,3,4,56,217,0.07045454545454545,3.875,3.875,33,11,0.7403719552337065,0.4551514154048717,6,0.027649769585253458,5,30,0.48214285714285715,2.4362874874830607,24,6,3,8,11,19,35,70,197,321,0.03426791277258567,332,4.331325301204819,0.9371101066632724,1.082483341044365,25.678571428571427,0.7415060600039738,167,0.5357142857142857,0.4642857142857143,-1.137190096570324,332,38276,0.6966112182870454,230.57831325301206,0.10963081083871473,1,1.0,0.0,0.0,0.0,1.1051483329468446,1.1051483329468446,0.04,0.0,0.0,0,0,0,1,50,0.09269037493471899,0.949927645940079,0.0005217058854821836,0.005342265560262989,5.0,5.0,0.6128987240829347,0.38710127591706534,2,0.04,0.96,4.144059427512008,nan,,,,,,,,,
step2c_poly_d8_mult_eps050,G-51.json,3,4,57,166,0.05200501253132832,2.912280701754386,2.912280701754386,24,13,0.735573874445149,0.5394208412597759,0,0.0,7,57,0.017543859649122806,4.043051267834554,24,13,0,0,0,11,13,18,23,65,0.0,65,3.8153846153846156,1.0939316205926874,1.345706527491276,4.350877192982456,0.7989530277306167,57,0.40350877192982454,0.2631578947368421,-1.0952875659716446,65,1722,0.8278846153846153,52.98461538461538,0.09690878227463595,1,1.0,0.0,0.0,0.0,1.5572439395522104,1.5572439395522104,0.0,0.0,0.0,0,0,0,1,50,2.3092937433163883,4.9725798453892835,0.023283927553813887,0.05014908754487013,1.0,4.38,0.6767676767676767,0.3232323232323233,1,0.02,1.0,-3.5006885541058783,nan,,,,,,,,,
