graph_id,median_delta_pp,strict_case_c_rate,helpful_graph,harmful_graph,ranking_ambiguity_score,ranking_ambiguity_score_percentile,ranking_ambiguity_top20_score,ranking_ambiguity_top20_score_percentile,median_2stage_top1_top20_pred_margin_pct,median_2stage_top1_top20_pred_margin_pct_percentile,mean_2stage_top20_within_1pct_count,mean_2stage_top20_within_1pct_count_percentile,median_2stage_top20_pairwise_diversity,median_2stage_top20_pairwise_diversity_percentile,rank1_modal_signature_rate,rank1_modal_signature_rate_percentile
G-392.json,24.178560594577878,1.0,1,0,-0.3910484007982269,0.43,-1.7005906134970303,0.3,0.028570438656006454,0.3625,3.0,0.64375,0.31858261556896506,0.2375,1.0,1.0
G-1285.json,22.362259859222338,1.0,1,0,1.934447021329882,0.7575,-0.8441801915290673,0.4,0.08176567444531696,0.98125,2.0,0.44375,0.4518853063860806,0.70625,1.0,1.0
G-1560.json,35.37441234249151,1.0,1,0,-0.6631446322160364,0.375,-1.021348400806307,0.375,0.04030966333091593,0.625,1.0,0.1625,0.4111481200387418,0.575,1.0,1.0
G-1169.json,10.669002806093564,1.0,1,0,4.154804199530995,0.96,3.268089455567746,0.875,0.017709232561361917,0.0625,4.8,0.8,0.45424374209342977,0.73125,1.0,1.0
G-1449.json,9.029482518492609,1.0,1,0,3.33118659968991,0.9225,1.235320249593164,0.675,0.02294385100225709,0.175,5.78,0.875,0.3381519497003065,0.29375,1.0,1.0
G-142.json,0.0,0.0,0,0,-1.4227248256578924,0.255,1.5985116352954183,0.73125,0.03537771089185272,0.5125,1.0,0.1625,0.4847256738791029,0.85625,1.0,1.0
G-946.json,0.0,0.0,0,0,-0.5331080870492713,0.4,0.05175573513841647,0.5,0.055278558656564794,0.86875,2.0,0.44375,0.4768473104846743,0.84375,1.0,1.0
G-14.json,-14.989744070469142,0.0,0,1,3.1408091387135597,0.905,3.206692344340463,0.86875,0.029069373466252192,0.36875,5.72,0.85,0.4607196001539974,0.7625,0.66,0.02
G-163.json,-14.920201726019519,0.0,0,1,2.4435110656057706,0.8425,3.0100329731234536,0.85,0.01862260708135633,0.09375,5.92,0.8875,0.4535588343441608,0.725,1.0,1.0
