epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio
0,1.6236203565420875,3.3521429192297485,5.083305801153183,4.8194366288185115,5.1336140441894536,4.332715721130371,4.426925163269043,0.032300149077537595,0.022853145760664263,0.9676998509222097
10,2.6070273289195214,2.408029069700567,3.8212808847427366,3.749420707821846,1.3671974182128905,1.5921550941467286,1.6104447059631348,0.012041240998349842,0.0037991396677383204,0.9879587590015535
20,3.506947064779159,1.97292729778435,3.244557251930237,3.291447442024946,0.615555419921875,0.7751435375213623,0.7508277130126954,0.0055492870961316425,0.0,0.9944507129038245
30,4.278164798651071,2.2312247547752464,2.86987361907959,2.9081141048669816,0.616673583984375,0.7373834323883056,0.7283677215576172,0.00530463859648168,0.0,0.9946953614034771
40,4.92438589853507,2.6148693683742503,2.630204105377197,2.6358450680971144,0.616673583984375,0.7570596981048584,0.7270028991699219,0.005339564073227912,0.0,0.99466043592673
50,5.480679355018847,2.8131824778900354,2.473417112827301,2.477341472804546,0.5144021606445313,0.7304564380645752,0.7364114303588867,0.005348659304167705,0.0,0.9946513406957909
60,5.965316449768256,2.8768494201590653,2.364986610412598,2.382059259712696,0.5052362060546876,0.7824911403656006,0.7465009689331055,0.005406430643113696,0.0,0.9945935693568442
70,6.389934839984294,2.966925132736671,2.285388584136963,2.3086373203992845,0.501964111328125,0.7726434230804443,0.7385503540039062,0.00538020723447997,0.0,0.9946197927654777
80,6.764546365575134,3.1029196261664094,2.2253374528884886,2.244112834632397,0.501964111328125,0.7757612133026123,0.7401401596069336,0.005392504377145673,0.0,0.9946074956228119
90,7.105512603626553,3.2265579873390147,2.178586220741272,2.193254628777504,0.501964111328125,0.7880794811248779,0.7416360168457031,0.005388683854834751,0.0,0.9946113161451231
100,7.419812691067452,3.3448853030214303,2.1400023984909056,2.151313169598579,0.501964111328125,0.7892005443572998,0.7336851196289063,0.005328356610812098,0.0,0.9946716433891462
110,7.708108288940532,3.3964996131087477,2.1091866970062254,2.127050029039383,0.5054339599609375,0.7759424495697022,0.7381822090148926,0.005368334462829747,0.0,0.9946316655371281
120,7.9742536922332965,3.47897555621849,2.0835874700546264,2.102005669772625,0.5054339599609375,0.7759424495697022,0.7425757026672364,0.005405080349479767,0.0,0.9945949196504777
130,8.224708757065109,3.5903952263928836,2.0609986352920533,2.0750913894176484,0.5054339599609375,0.7759424495697022,0.7425757026672364,0.005405080349479767,0.0,0.9945949196504777
140,8.455677766560473,3.679219245022732,2.0420915269851685,2.0549254482984542,0.5054339599609375,0.7823581886291504,0.7425757026672364,0.005405080349479767,0.0,0.9945949196504777
150,8.676868141038376,3.7578962455125766,2.026148018836975,2.038332620859146,0.5054339599609375,0.7787359428405761,0.7425757026672364,0.005405080349479767,0.0,0.9945949196504777
160,8.886819931935191,3.8120368691986353,2.012812337875366,2.027334253191948,0.5054339599609375,0.7787359428405761,0.7548435096740722,0.005471461897095244,0.0,0.9945285381028618
170,9.082263832915272,3.8691474640972157,2.001253991127014,2.016918449997902,0.5054339599609375,0.7937864112854004,0.7572207832336426,0.005485548759394766,0.0,0.9945144512405623
