dataset_key,train_size,method,selection_metric,bin_index,bin_count,mean_predicted_reward,mean_synthetic_label_reward,min_predicted_reward,max_predicted_reward,calibration_error
heldout400,50,2stage,validation_mse_loss,0,8145,0.7512577121270243,0.7604128050943179,0.09870747387191682,1.3819046709782359,0.009155092967293554
heldout400,50,2stage,validation_mse_loss,1,8145,1.9886207686422994,2.0072766971558864,1.3819046709782359,2.5426157365120896,0.018655928513586995
heldout400,50,2stage,validation_mse_loss,2,8145,3.041470922696608,3.0665463230959693,2.5427709031009447,3.5534692800174073,0.025075400399361403
heldout400,50,2stage,validation_mse_loss,3,8145,3.9749762296070608,3.996094942941777,3.5534692800174073,4.441836305850557,0.021118713334716155
heldout400,50,2stage,validation_mse_loss,4,8145,4.82591850773502,4.861002971498127,4.441836305850557,5.23149594974029,0.035084463763107365
heldout400,50,2stage,validation_mse_loss,5,8145,5.595220760102613,5.6172931719441,5.23149594974029,5.970257855384631,0.022072411841486783
heldout400,50,2stage,validation_mse_loss,6,8145,6.338138342640628,6.35894877654486,5.970329012344383,6.712108443918746,0.02081043390423254
heldout400,50,2stage,validation_mse_loss,7,8145,7.067182203539273,7.108252697915955,6.712108443918746,7.423744124746471,0.04107049437668131
heldout400,50,2stage,validation_mse_loss,8,8145,7.7941271233312746,7.852690549128036,7.423744124746471,8.176200240736904,0.05856342579676177
heldout400,50,2stage,validation_mse_loss,9,8145,8.525507349409487,8.57523125794272,8.176521913378592,8.883672611701114,0.04972390853323283
heldout400,50,2stage,validation_mse_loss,10,8144,9.656662284396795,9.668526999901227,8.883672611701114,10.567415853881645,0.0118647155044318
heldout400,50,2stage,validation_mse_loss,11,8144,11.865998317829165,11.888010429141564,10.567705905868996,13.996672508332422,0.02201211131239944
heldout400,50,e2e,validation_decision_gap,0,8145,0.4169231302026225,0.7600427498804272,0.05480679232516117,0.767295112969378,0.3431196196778047
heldout400,50,e2e,validation_decision_gap,1,8145,1.1030028956849156,2.007743204174194,0.767295112969378,1.4068890761202058,0.9047403084892784
heldout400,50,e2e,validation_decision_gap,2,8145,1.6862544235576997,3.0649860778127147,1.4070773594833428,1.9730446462085318,1.378731654255015
heldout400,50,e2e,validation_decision_gap,3,8145,2.2031635126724063,3.9979460783865353,1.9730446462085318,2.4547180768306953,1.794782565714129
heldout400,50,e2e,validation_decision_gap,4,8145,2.6737427031562113,4.85823710267715,2.454822002106105,2.9047599013564946,2.184494399520939
heldout400,50,e2e,validation_decision_gap,5,8145,3.0997743081766767,5.618262993974727,2.9047599013564946,3.3012902096508068,2.5184886857980504
heldout400,50,e2e,validation_decision_gap,6,8145,3.5118938775010555,6.360404774248417,3.3015296842916917,3.7239128117415934,2.848510896747362
heldout400,50,e2e,validation_decision_gap,7,8145,3.917215229659194,7.107791494752382,3.7239147581946184,4.110509516264135,3.190576265093188
heldout400,50,e2e,validation_decision_gap,8,8145,4.320380535398465,7.853648977472857,4.110509516264135,4.528603150400122,3.533268442074392
heldout400,50,e2e,validation_decision_gap,9,8145,4.726721839337592,8.56979654908107,4.5286516086288815,4.932611288847384,3.8430747097434788
heldout400,50,e2e,validation_decision_gap,10,8144,5.345948497656817,9.673838800437792,4.932611288847384,5.849860400283765,4.327890302780975
heldout400,50,e2e,validation_decision_gap,11,8144,6.567160137489669,11.887589419871745,5.849860400283765,7.745793766737419,5.320429282382076
heldout400,50,e2e,validation_fy_loss,0,8145,0.8896634147772494,0.7609203065846726,0.11830440080044884,1.6562616552781084,0.12874310819257684
heldout400,50,e2e,validation_fy_loss,1,8145,2.3279875032700943,2.0155052178179726,1.6562616552781084,2.957610086118958,0.31248228545212164
heldout400,50,e2e,validation_fy_loss,2,8145,3.522643214965805,3.072612903526475,2.957610086118958,4.059137068980788,0.45003031143933026
heldout400,50,e2e,validation_fy_loss,3,8145,4.574225616661151,4.027899375116993,4.059841024960175,5.078450021881405,0.5463262415441577
heldout400,50,e2e,validation_fy_loss,4,8145,5.501341448375309,4.852006127308892,5.078489823950378,5.920494948679638,0.6493353210664177
heldout400,50,e2e,validation_fy_loss,5,8145,6.396854776706845,5.633769524851191,5.920494948679638,6.861655202354208,0.7630852518556539
heldout400,50,e2e,validation_fy_loss,6,8145,7.291509952204817,6.349468175906796,6.861655202354208,7.691604604411758,0.9420417762980211
heldout400,50,e2e,validation_fy_loss,7,8145,8.16197078428451,7.112412340645412,7.691604604411758,8.63034622418332,1.0495584436390972
heldout400,50,e2e,validation_fy_loss,8,8145,9.04471153715481,7.8453083995517,8.63034622418332,9.464352416610504,1.1994031376031105
heldout400,50,e2e,validation_fy_loss,9,8145,9.909576341205222,8.583573959940704,9.464352416610504,10.340957608566452,1.3260023812645176
heldout400,50,e2e,validation_fy_loss,10,8144,10.966336616035537,9.629611703115268,10.341402775594926,11.885403703671681,1.3367249129202694
heldout400,50,e2e,validation_fy_loss,11,8144,13.31626287358387,11.877193482076724,11.885627403269854,15.668207369321788,1.4390693915071466
