regime,max_cycle,max_chain,method_label,solution_rank,row_count,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,1,100,67.57334841787815,67.57334841787815,0.3044883144628482,0.3044883144628482,0.0,0.0,0.0,0.0,0.0,0.42307692307692263,0.42307692307692313
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,2,100,43.1098241597414,71.10564814507961,0.17655714014498458,0.2862608087142359,0.0,0.41,0.41,1.5911359045575808,1.338506286685302,0.49274725274725206,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,3,100,62.127433695197105,66.8774998486042,0.27539287816047314,0.2625744392304429,0.0,0.09,0.09,1.9159692949741745,1.8527648302221849,0.4068986568986562,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,4,100,69.94711557209492,68.04959844052792,0.31471523099620957,0.30518384370674556,0.0,0.0,0.0,2.8149313331289902,2.682259786166682,0.37299145299145253,0.38461538461538464
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,5,100,70.83212156236172,69.85229842364788,0.31820448178859345,0.31328274819531177,0.0,0.0,0.0,3.427105882613712,3.450469134288383,0.3734757834757829,0.38461538461538464
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,1,100,1.5701994001865387,1.5701994001865387,0.006723449777501283,0.006723449777501291,0.0,1.0,1.0,0.0,0.0,0.6857142857142847,0.6857142857142857
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,2,100,48.55420084863901,69.56374876201153,0.23199857509383215,0.3144862618992178,0.0,0.0,0.41,1.614934405450027,1.4914194698654342,0.4320771820771819,0.3603988603988604
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,3,100,50.828690398931506,63.704599887132645,0.23630703095985975,0.25011699943374455,0.0,0.0,0.06,3.141589564975884,3.07179940409614,0.46472027972027957,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,4,100,21.367771402299404,24.59239962697029,0.09070355130374926,0.09655467916714365,0.0,0.0,0.35,3.9645450746737367,3.7843333683940443,0.5870559440559432,0.6363636363636364
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,5,100,21.562149703502655,15.86629992723465,0.09092301188658762,0.07969775183657037,0.0,0.0,0.32,4.344725511851941,4.293860124942512,0.5602167832167828,0.5
