regime,max_cycle,max_chain,case_type,subset_seed,graph_id,method_label,method,selection_metric,selected_epoch,theta_1,theta_2,solution_rank,cut_attempt,solver_status,solver_status_name,solver_obj_predicted,predicted_obj,true_obj,oracle_obj,gap_to_oracle,normalized_gap_to_oracle,predicted_margin_from_best,true_obj_diff_from_rank1,num_edges,edge_count,num_cycle_candidates,num_chain_candidates,same_solution_as_oracle,edge_jaccard_with_oracle,edge_hamming_with_oracle,edge_overlap_count_with_oracle,same_solution_as_rank1,edge_jaccard_with_rank1,edge_hamming_with_rank1,edge_overlap_count_with_rank1,solution_edge_signature,model_path
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-392.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,1,1,2,OPTIMAL,258.3582951198139,258.3582951198139,252.57720163464546,254.6992008984089,2.1219992637634277,0.0083313934879658,0.0,0.0,296,18,15,250,False,0.8,0.013513513513513514,16,True,1.0,0.0,18,19|45|66|74|94|120|150|168|171|173|199|209|239|245|261|278|287|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-392.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,2,2,2,OPTIMAL,255.9693694994408,255.9693694994408,242.2374007999897,254.6992008984089,12.46180009841919,0.04892751942060809,2.3889256203730724,10.339800834655762,296,18,15,250,False,0.6363636363636364,0.02702702702702703,14,False,0.8,0.013513513513513514,16,19|45|66|74|94|150|168|171|173|187|199|214|239|245|261|278|287|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-392.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,3,3,2,OPTIMAL,255.6347815499555,255.6347815499555,190.99460101127625,254.6992008984089,63.704599887132645,0.25011699943374455,2.723513569858369,61.58260062336922,296,20,15,250,False,0.46153846153846156,0.0472972972972973,12,False,0.4074074074074074,0.05405405405405406,11,23|45|74|94|118|120|146|160|171|173|190|199|209|239|248|255|261|284|290|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-392.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,4,4,2,OPTIMAL,255.19178904057964,255.1917890405797,230.0120017528534,254.6992008984089,24.687199145555496,0.09692688103605586,3.166506079234182,22.56519988179207,296,18,15,250,False,0.6363636363636364,0.02702702702702703,14,False,0.8,0.013513513513513514,16,19|45|66|74|94|95|120|144|168|171|173|209|239|245|261|278|287|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-392.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,5,5,2,OPTIMAL,254.94287397042916,254.94287397042916,230.1068012714386,254.6992008984089,24.59239962697029,0.09655467916714365,3.415421149384713,22.470400363206863,296,18,15,250,False,0.5,0.04054054054054054,12,False,0.6363636363636364,0.02702702702702703,14,23|45|66|74|94|120|146|164|171|173|199|209|239|248|261|278|287|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-1560.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,1,1,2,OPTIMAL,227.5316419104233,227.53164191042328,198.06249749660492,199.08089703321457,1.0183995366096497,0.005115506067036783,0.0,0.0,262,17,28,130,False,0.5714285714285714,0.03435114503816794,12,True,1.0,0.0,17,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-1560.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,2,2,2,OPTIMAL,226.10062066316698,226.10062066316695,123.65799939632416,199.08089703321457,75.42289763689041,0.378855524364691,1.431021247256325,74.40449810028076,262,18,28,130,False,0.25925925925925924,0.07633587786259542,7,False,0.4583333333333333,0.04961832061068702,11,2|7|19|28|74|94|124|133|138|160|172|197|205|212|220|256|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-1560.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,3,3,2,OPTIMAL,224.65944155435335,224.65944155435332,127.63880008459091,199.08089703321457,71.44209694862366,0.3588596294919519,2.8722003560699534,70.42369741201401,262,20,28,130,False,0.38461538461538464,0.061068702290076333,10,False,0.27586206896551724,0.08015267175572519,8,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-1560.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,4,4,2,OPTIMAL,222.52124567384874,222.52124567384874,195.55279743671417,199.08089703321457,3.5280995965003967,0.017721939417894267,5.010396236574536,2.509700059890747,262,17,28,130,False,0.65,0.026717557251908396,13,False,0.8888888888888888,0.007633587786259542,16,2|15|30|74|94|133|138|158|168|176|204|212|220|228|256|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed0,0,G-1560.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,500,16.701321784058145,8.133159070979449,5,5,2,OPTIMAL,222.01820021033507,222.01820021033504,183.21459710597992,199.08089703321457,15.86629992723465,0.07969775183657037,5.5134417000882365,14.847900390625,262,17,28,130,False,0.5,0.04198473282442748,11,False,0.8888888888888888,0.007633587786259542,16,2|15|30|74|94|133|138|158|168|176|205|212|220|229|256|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=0/model_weights/spoplus_best_by_validation_spoplus_loss.npz
