regime,graph_id,seed_filter,seed_count,discovery_seed,excluded_seed,subset_seed_min,subset_seed_max,spo_better_count,spo_better_rate,spo_better_wilson95_low,spo_better_wilson95_high,meaningful_spo_benefit_count,meaningful_spo_benefit_rate,meaningful_spo_benefit_wilson95_low,meaningful_spo_benefit_wilson95_high,strict_case_c_count,strict_case_c_rate,strict_case_c_wilson95_low,strict_case_c_wilson95_high,strong_case_c_count,strong_case_c_rate,strong_case_c_wilson95_low,strong_case_c_wilson95_high,correction_preserved_count,correction_preserved_rate,correction_preserved_wilson95_low,correction_preserved_wilson95_high,spo_rank1_equals_2stage_rank2_count,spo_rank1_equals_2stage_rank2_rate,spo_rank1_equals_2stage_rank2_wilson95_low,spo_rank1_equals_2stage_rank2_wilson95_high,rank2_promotion_preserved_count,rank2_promotion_preserved_rate,rank2_promotion_preserved_wilson95_low,rank2_promotion_preserved_wilson95_high,spo_rank1_in_2stage_topk_count,spo_rank1_in_2stage_topk_rate,spo_rank1_in_2stage_topk_wilson95_low,spo_rank1_in_2stage_topk_wilson95_high,topk_promotion_preserved_count,topk_promotion_preserved_rate,topk_promotion_preserved_wilson95_low,topk_promotion_preserved_wilson95_high,mean_delta_pp,median_delta_pp,q25_delta_pp,q75_delta_pp,mean_two_stage_rank1_gap_pct,median_two_stage_rank1_gap_pct,q25_two_stage_rank1_gap_pct,q75_two_stage_rank1_gap_pct,mean_spoplus_rank1_gap_pct,median_spoplus_rank1_gap_pct,q25_spoplus_rank1_gap_pct,q75_spoplus_rank1_gap_pct,mean_two_stage_rank2_gap_pct,median_two_stage_rank2_gap_pct,q25_two_stage_rank2_gap_pct,q75_two_stage_rank2_gap_pct,mean_spoplus_rank2_gap_pct,median_spoplus_rank2_gap_pct,q25_spoplus_rank2_gap_pct,q75_spoplus_rank2_gap_pct
step2c_poly_d8_mult_eps050,G-1560.json,all,50,30,,0,49,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,0,0.0,0.0,0.07135003417431873,41,0.82,0.6920368054529739,0.902299172675462,41,0.82,0.6920368054529739,0.902299172675462,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,35.3744123424915,35.37441234249151,35.37441234249151,35.37441234249151,35.88596294919517,35.88596294919519,35.88596294919519,35.88596294919519,0.5115506067036787,0.5115506067036782,0.5115506067036782,0.5115506067036782,6.685347157573343,0.5115506067036782,0.5115506067036782,0.5115506067036782,37.88555243646914,37.8855524364691,37.8855524364691,37.8855524364691
step2c_poly_d8_mult_eps050,G-1560.json,exclude_discovery_seed,49,30,30,0,49,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,0,0.0,0.0,0.07270029673590504,40,0.8163265306122449,0.6864212843271743,0.9002377116154164,40,0.8163265306122449,0.6864212843271743,0.9002377116154164,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,35.3744123424915,35.37441234249151,35.37441234249151,35.37441234249151,35.88596294919517,35.88596294919519,35.88596294919519,35.88596294919519,0.5115506067036787,0.5115506067036782,0.5115506067036782,0.5115506067036782,6.811343005550275,0.5115506067036782,0.5115506067036782,0.5115506067036782,37.88555243646914,37.8855524364691,37.8855524364691,37.8855524364691
step2c_poly_d8_mult_eps050,G-392.json,all,50,1,,0,49,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,50,1.0,0.9286499658256813,1.0,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,24.178560594577892,24.178560594577878,24.178560594577878,24.178560594577878,25.011699943374442,25.011699943374456,25.011699943374456,25.011699943374456,0.833139348796579,0.8331393487965799,0.8331393487965799,0.8331393487965799,28.62608087142356,28.626080871423593,28.626080871423593,28.626080871423593,8.514162582297265,4.892751942060809,4.892751942060809,4.892751942060809
step2c_poly_d8_mult_eps050,G-392.json,exclude_discovery_seed,49,1,1,0,49,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,49,1.0,0.9272997032640949,0.9999999999999999,0,0.0,0.0,0.07270029673590504,0,0.0,0.0,0.07270029673590504,0,0.0,0.0,0.07270029673590504,0,0.0,0.0,0.07270029673590504,24.178560594577892,24.178560594577878,24.178560594577878,24.178560594577878,25.011699943374442,25.011699943374456,25.011699943374456,25.011699943374456,0.8331393487965791,0.8331393487965799,0.8331393487965799,0.8331393487965799,28.62608087142356,28.626080871423593,28.626080871423593,28.626080871423593,8.177478146356913,4.892751942060809,4.892751942060809,4.892751942060809
