regime,graph_id,subset_seed,discovery_seed,is_discovery_seed,top_k,two_stage_rank1_gap_pct,two_stage_rank2_gap_pct,spoplus_rank1_gap_pct,spoplus_rank2_gap_pct,delta_pp,spo_better,meaningful_spo_benefit,strict_case_c,strong_case_c,correction_preserved,spo_rank1_equals_2stage_rank2,rank2_promotion_preserved,spo_rank1_in_2stage_topk,spoplus_matches_2stage_rank,topk_promotion_preserved,two_stage_rank1_signature,two_stage_rank2_signature,spoplus_rank1_signature
step2c_poly_d8_mult_eps050,G-1560.json,12,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,13,30,False,5,35.88596294919519,34.81042033375737,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,False,False,True,3,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,14,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,15,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,16,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,17,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,18,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,19,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,20,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,21,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,22,30,False,5,35.88596294919519,34.81042033375737,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,False,False,True,3,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,23,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,24,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,25,30,False,5,35.88596294919519,34.81042033375737,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,False,False,True,3,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,26,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,27,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,28,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,29,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,30,30,True,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,31,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,32,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,33,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,34,30,False,5,35.88596294919519,34.81042033375737,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,False,False,True,3,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,35,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,36,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,37,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,38,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,39,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,40,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,41,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,42,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,43,30,False,5,35.88596294919519,34.81042033375737,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,False,False,True,3,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,44,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,45,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,46,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,47,30,False,5,35.88596294919519,34.81042033375737,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,False,False,True,3,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,48,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
step2c_poly_d8_mult_eps050,G-1560.json,49,30,False,5,35.88596294919519,0.5115506067036782,0.5115506067036782,37.8855524364691,35.37441234249151,True,True,True,True,False,True,True,True,2,True,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260
