epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio
0,1.6236203565420875,3.3521429192297485,4.814014722332359,4.8194366288185115,4.260327390034994,4.332715721130371,4.329902191162109,0.030904418101696817,0.022597889285753417,0.9690955818980643
10,2.6070486954196603,2.451295876546707,3.752205017929276,3.7462613429129124,1.6120688915252686,1.6191708183288573,1.7361813259124756,0.012327767121985501,0.006065497290778095,0.98767223287792
20,3.50103394267783,2.373113146646549,3.2140561934560536,3.1962790609896183,0.9924954414367676,0.9427830219268799,1.150383062362671,0.00818964893317376,0.002141848393085546,0.9918103510667632
30,4.266840304021616,2.852874535113925,2.8538911020259063,2.814339671432972,0.9710877354939779,0.9154612827301025,1.1172557735443116,0.007968297509936778,0.0019030408416944315,0.9920317024900015
40,4.924736202560669,3.142474506709186,2.6343681660542884,2.5836401823163033,0.8974398072560629,0.886251802444458,1.0291147136688232,0.007369659455350686,0.0013036998977888656,0.9926303405445919
50,5.492907354114849,3.222376037386921,2.485003210157156,2.431166100203991,0.8300030422210694,0.7572557544708252,0.8898779582977295,0.006489877161114831,0.0004952534654941482,0.9935101228388333
60,5.977456857560106,3.3550060569140827,2.3798547687381504,2.3235033696889875,0.8059496339162191,0.761282033920288,0.8637845516204834,0.006309640705295173,0.00028224415162729207,0.9936903592946544
70,6.398520156694547,3.542321755596825,2.3013339614868165,2.2417261853814123,0.796213165918986,0.7607010555267334,0.877244062423706,0.0064260851146009925,0.00028224415162729207,0.9935739148853476
80,6.773936629659635,3.705159928560082,2.241329146375259,2.1791165524721148,0.7966143194834391,0.7528317165374756,0.8777170467376709,0.006391050154290305,0.0001920425513167648,0.9936089498456588
90,7.117524033497609,3.8238657648781995,2.1937468065321446,2.130213962495327,0.7850887711842854,0.7591494464874268,0.8711590671539307,0.006324178929682887,5.463179825069406e-05,0.9936758210702671
100,7.43225157431802,3.9305845695962134,2.155315742989381,2.090834069252014,0.7893245061238606,0.7550964641571045,0.8665878582000732,0.0062515910813611235,0.0001920425513167648,0.9937484089185898
110,7.721681982216084,4.0559561781012405,2.1237486284971236,2.0573911967873575,0.7913743591308594,0.7488802433013916,0.8701295566558838,0.0062685421123331074,0.00028224415162729207,0.9937314578876177
120,7.9897390383493025,4.173062651133168,2.097573399891456,2.0296414530277254,0.7892122586568197,0.7463674640655518,0.8731766986846924,0.006286948328650716,0.00033143153170636555,0.9937130516713001
130,8.240654332530946,4.26454387194769,2.0754426196217537,2.006875034272671,0.7781458663940429,0.7312009525299072,0.8466575145721436,0.006124984831875398,5.463179825069406e-05,0.9938750151680764
140,8.474185048318096,4.358299439063869,2.0566951721409956,1.9875833386182784,0.7766416104634603,0.7321714496612549,0.8409660243988037,0.0060905645263061425,0.0,0.9939094354736459
150,8.692315674810544,4.457205975792423,2.0407795778413615,1.97073661506176,0.7725167846679688,0.7322174549102783,0.820656042098999,0.0059326835993564545,0.0,0.9940673164005966
160,8.89849838793771,4.537550694582765,2.0270743233462176,1.9566172230243684,0.7758883666992188,0.7322174549102783,0.8225546169281006,0.005930002337037214,0.0,0.9940699976629161
170,9.092816744900187,4.607627334812352,2.0152417449156443,1.9447364258766173,0.7767451794942221,0.7323299121856689,0.8113543605804443,0.00584752130322579,0.0,0.9941524786967281
180,9.273810224860943,4.697110760622137,2.004986509333054,1.933872824907303,0.7767451794942221,0.7323299121856689,0.8113543605804443,0.00584752130322579,0.0,0.9941524786967281
190,9.446287182331783,4.765181542676031,1.9961141707996528,1.9247415310144425,0.7683316930135091,0.7323299121856689,0.8113543605804443,0.00584752130322579,0.0,0.9941524786967281
200,9.609188701823468,4.833096798896931,1.9883464775482813,1.9166045707464219,0.76502685546875,0.7321031475067139,0.8127595806121826,0.005886999780366714,0.0,0.9941130002195867
