dataset_key,train_size,method,selection_metric,bin_index,bin_count,mean_predicted_reward,mean_synthetic_label_reward,min_predicted_reward,max_predicted_reward,calibration_error
unseen1000,1200,2stage,validation_mse_loss,0,19436,0.7579473678448827,0.7658050783146437,0.09884758864102049,1.3838662777978838,0.007857710469761026
unseen1000,1200,2stage,validation_mse_loss,1,19436,2.019442292363267,2.036568985557723,1.3838662777978838,2.5700372678429355,0.01712669319445581
unseen1000,1200,2stage,validation_mse_loss,2,19436,3.112016469746927,3.1328874713453545,2.5700372678429355,3.6225272883188704,0.020871001598427696
unseen1000,1200,2stage,validation_mse_loss,3,19436,4.079646113088409,4.102790862401588,3.6227677698800496,4.546989261604928,0.02314474931317889
unseen1000,1200,2stage,validation_mse_loss,4,19436,4.926925794667878,4.944939695370739,4.546989261604928,5.334412576732248,0.018013900702861463
unseen1000,1200,2stage,validation_mse_loss,5,19436,5.681540503265298,5.703996017283926,5.334412576732248,6.029703183279228,0.022455514018628442
unseen1000,1200,2stage,validation_mse_loss,6,19435,6.417985789354508,6.448641877963177,6.029703183279228,6.797674370385868,0.030656088608669307
unseen1000,1200,2stage,validation_mse_loss,7,19435,7.1532187646929755,7.191021122403705,6.797757056187007,7.512416810364751,0.037802357710729595
unseen1000,1200,2stage,validation_mse_loss,8,19435,7.888892092679347,7.937284568627635,7.512416810364751,8.258043547935324,0.04839247594828766
unseen1000,1200,2stage,validation_mse_loss,9,19435,8.628923257042933,8.680164439616242,8.258043547935324,9.045773583889352,0.051241182573308564
unseen1000,1200,2stage,validation_mse_loss,10,19435,9.867250795149847,9.88100960326434,9.045773583889352,10.759684768366949,0.013758808114493704
unseen1000,1200,2stage,validation_mse_loss,11,19435,11.99484322206092,12.014172312567466,10.759705799079905,13.991203652290915,0.0193290905065453
unseen1000,1200,e2e,validation_decision_gap,0,19436,0.6320037350965519,0.7657600690459863,0.08240654148337968,1.1536916114661453,0.13375633394943431
unseen1000,1200,e2e,validation_decision_gap,1,19436,1.6842529831545756,2.0366455034497934,1.1536916114661453,2.142570047869042,0.35239252029521784
unseen1000,1200,e2e,validation_decision_gap,2,19436,2.596116291484407,3.1329423282575304,2.142570047869042,3.025301346479793,0.5368260367731232
unseen1000,1200,e2e,validation_decision_gap,3,19436,3.4038999085749655,4.102849624571081,3.025321709474641,3.7907010617296137,0.6989497159961156
unseen1000,1200,e2e,validation_decision_gap,4,19436,4.111788464657658,4.944973153853568,3.7907010617296137,4.44995351639197,0.8331846891959103
unseen1000,1200,e2e,validation_decision_gap,5,19436,4.741412426005943,5.704750545109759,4.44995351639197,5.030943243283756,0.963338119103816
unseen1000,1200,e2e,validation_decision_gap,6,19435,5.355813731489416,6.448119814462762,5.031006047005564,5.674257802582372,1.0923060829733462
unseen1000,1200,e2e,validation_decision_gap,7,19435,5.968296447561344,7.190662424515905,5.674500865546752,6.262897214134515,1.2223659769545607
unseen1000,1200,e2e,validation_decision_gap,8,19435,6.581938430266534,7.936948653521193,6.262897214134515,6.898393791582893,1.3550102232546593
unseen1000,1200,e2e,validation_decision_gap,9,19435,7.199098432703818,8.68075054743801,6.898659073178747,7.551345232379547,1.4816521147341914
unseen1000,1200,e2e,validation_decision_gap,10,19435,8.237652395324067,9.881022610552733,7.551430861530734,8.98016364583629,1.643370215228666
unseen1000,1200,e2e,validation_decision_gap,11,19435,10.014169266602032,12.013856711926177,8.980265322952082,11.68113257475303,1.9996874453241453
unseen1000,1200,e2e,validation_fy_loss,0,19436,0.9109208551178976,0.7657612369639788,0.11912882906210828,1.667803651248464,0.14515961815391876
unseen1000,1200,e2e,validation_fy_loss,1,19436,2.419435113791252,2.036334801674576,1.667803651248464,3.097349511235867,0.38310031211667583
unseen1000,1200,e2e,validation_fy_loss,2,19436,3.717340851346586,3.133160012068634,3.097349511235867,4.288638112509586,0.5841808392779524
unseen1000,1200,e2e,validation_fy_loss,3,19436,4.860197570486848,4.102884914740586,4.288638112509586,5.360797285605399,0.7573126557462624
unseen1000,1200,e2e,validation_fy_loss,4,19436,5.851004180801215,4.945808700682033,5.360797285605399,6.313827740586472,0.9051954801191826
unseen1000,1200,e2e,validation_fy_loss,5,19436,6.7461547659452314,5.701534461781281,6.313827740586472,7.18106271980795,1.0446203041639501
unseen1000,1200,e2e,validation_fy_loss,6,19435,7.638685505821682,6.448948325502372,7.181262540298778,8.100760642497052,1.1897371803193098
unseen1000,1200,e2e,validation_fy_loss,7,19435,8.521969519727529,7.185526286724572,8.100760642497052,8.936230425377405,1.3364432330029565
unseen1000,1200,e2e,validation_fy_loss,8,19435,9.410863633205764,7.9478446982530695,8.93626089820007,9.875197861218014,1.4630189349526947
unseen1000,1200,e2e,validation_fy_loss,9,19435,10.299145077561047,8.673126257113022,9.87522968149403,10.721594571210797,1.6260188204480244
unseen1000,1200,e2e,validation_fy_loss,10,19435,11.66977373735087,9.884151954199435,10.721594571210797,12.719959489113016,1.7856217831514343
unseen1000,1200,e2e,validation_fy_loss,11,19435,14.178488639818571,12.01420046239823,12.719959489113016,16.532082019100482,2.1642881774203406
