epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio
0,1.6236203565420875,3.3521429192297485,4.6901083287596705,4.8194366288185115,4.565762042999268,4.332715721130371,14.88906474685669,0.0809367713499646,0.07197892973996947,0.919063228649562
10,2.6065469055746555,2.4559468887166904,3.6585053011775015,3.746350107938051,1.5091386795043946,1.6205808448791503,12.709772274017334,0.06909084531766035,0.06087334752901743,0.9309091546819347
20,3.499722985396615,2.3879899438861294,3.137710071504116,3.1946925000846385,0.9581303405761719,0.9593100643157959,12.13752403640747,0.06627622923964265,0.058112471193286136,0.9337237707599666
30,4.270365189385643,2.8600437814365987,2.7804395532608033,2.81267262339592,0.8666081237792969,0.9368905925750732,12.11161266708374,0.06611129349623777,0.058026131629809574,0.9338887065033725
40,4.936724504697802,3.1498316751899877,2.562037794589996,2.579926118552685,0.7292671585083008,0.8877643489837647,12.062012718200684,0.06580375595011426,0.05753093419946605,0.9341962440494983
50,5.512731880964035,3.256552833235165,2.4158883088827134,2.425025630891323,0.7135276794433594,0.7618320369720459,12.013087177276612,0.06560105403070493,0.05729039847983598,0.9343989459689085
60,6.0053638516941525,3.4041006511443594,2.3112587839365006,2.3157737240195275,0.685639877319336,0.773884859085083,12.008950107574464,0.06553447068276569,0.05739109254873566,0.9344655293168485
70,6.4350240242231145,3.6046318275693294,2.2305829662084578,2.2334466961026194,0.6798599243164063,0.7718353366851807,12.002558597564697,0.06552655227882309,0.05753093419946605,0.9344734477207908
80,6.823117719362716,3.755439500076442,2.168550015091896,2.1706826427578925,0.685419921875,0.7614898204803466,12.032583293914795,0.06568610651039987,0.057675495703167864,0.9343138934892132
90,7.177185230745426,3.869040061073381,2.119900931119919,2.1215782234072686,0.6959844970703125,0.748751745223999,12.08046852874756,0.06590464804068932,0.05794133901572314,0.9340953519589227
100,7.501430809614299,4.011726930162966,2.0802068734169006,2.08095252007246,0.6959844970703125,0.756725263595581,12.103778839111328,0.06602636392674259,0.05818577175531932,0.9339736360728688
110,7.802207592782007,4.128854368795485,2.047780989408493,2.047636231184006,0.7045854949951171,0.7565065097808837,12.091090812683106,0.0659387064541319,0.05818577175531932,0.9340612935454802
120,8.079719909399403,4.2278942594988544,2.0207204675674437,2.0205263820290567,0.7045854949951171,0.744053258895874,12.095793899536133,0.06593338089615663,0.05822670456541877,0.9340666191034557
130,8.336672293350517,4.365022012291457,1.9971990716457366,1.9971261239051818,0.7045854949951171,0.744053258895874,12.095793899536133,0.06593338089615663,0.05822670456541877,0.9340666191034557
140,8.578245389046788,4.470875062496045,1.9776512449979782,1.977772095799446,0.7038490676879883,0.7473329830169678,12.097869922637939,0.06594370215879213,0.05818577175531932,0.9340562978408202
150,8.80780636166373,4.558246945563645,1.9611317825317383,1.96125952064991,0.670584831237793,0.7326109981536866,12.101482067108154,0.06595269330979912,0.05801544847383703,0.9340473066898133
160,9.021054415074795,4.652288036806312,1.9470516526699067,1.947268979549408,0.670584831237793,0.7326109981536866,12.103287090301514,0.06599707161639173,0.058112471193286136,0.9340029283832203
170,9.220606116780498,4.753266131965744,1.934717961549759,1.935086881518364,0.670584831237793,0.7326109981536866,12.0981590385437,0.06595210625939317,0.05801544847383703,0.9340478937402191
180,9.41078395666021,4.822619171069311,1.9242116117477417,1.9249161678552626,0.6628053665161133,0.7336275005340576,12.115457294464111,0.06601773298382503,0.05794133901572314,0.9339822670157871
190,9.593201294957092,4.880798241792724,1.9150520300865173,1.9160693514347076,0.6705973434448242,0.7336275005340576,12.125532604217529,0.06608466623857685,0.05789637701386381,0.9339153337610349
200,9.765253631424644,4.93849299131199,1.90709730386734,1.908393092751503,0.6552402877807617,0.7337399578094482,12.129225605010987,0.06611375047682928,0.05794133901572314,0.9338862495227822
210,9.9258914498079,5.023310512521194,1.8997611212730408,1.9011916494369507,0.6552402877807617,0.7337399578094482,12.129225605010987,0.06611375047682928,0.05794133901572314,0.9338862495227822
220,10.07529759307902,5.124962366471767,1.8934533417224884,1.8946495658159257,0.6608872604370117,0.7337399578094482,12.126268703460694,0.06608333832288847,0.05789637701386381,0.9339166616767234
230,10.22032794581422,5.173997418616712,1.8882284212112426,1.8895073759555816,0.6552402877807617,0.7337399578094482,12.129225605010987,0.06611375047682928,0.05794133901572314,0.9338862495227822
240,10.355910093305033,5.229903298500468,1.8835168623924254,1.8849391490221024,0.6552402877807617,0.7337399578094482,12.120569606781006,0.06605691023330915,0.0578356455301455,0.9339430897663028
250,10.485934368779594,5.259333084025214,1.8795446705818177,1.881291840672493,0.6334927749633789,0.7406102085113525,12.130658988952638,0.0661155771123134,0.05794133901572314,0.9338844228872981
260,10.608135771661724,5.329625760316407,1.8755599212646485,1.8774224120378493,0.6334927749633789,0.7406102085113525,12.130199340820312,0.06611224045082914,0.05794133901572314,0.9338877595487824
270,10.72945695900145,5.373722905683811,1.872194802761078,1.874227481484413,0.6334927749633789,0.7406102085113525,12.121911487579347,0.06603438694736144,0.05789637701386381,0.9339656130522508
280,10.840774551499804,5.4397223488284725,1.8690038597583771,1.8711541879177094,0.6334927749633789,0.7406102085113525,12.125601837158204,0.06607110319231725,0.05789637701386381,0.9339288968072946
290,10.949642413119825,5.479291869147003,1.8663768470287323,1.8687054389715194,0.6334927749633789,0.7406102085113525,12.124292728424072,0.06604768144993713,0.05789637701386381,0.9339523185496751
300,11.051617135020823,5.531195467851035,1.8639170491695405,1.8663645786046983,0.6334927749633789,0.7406102085113525,12.129420780181885,0.06609264680693568,0.05794133901572314,0.933907353192676
310,11.153103203714453,5.546081034993329,1.8620216286182403,1.864776970744133,0.6334927749633789,0.7493999576568604,12.163783344268799,0.06629014988506964,0.05818577175531932,0.933709850114541
320,11.247461646141753,5.60498592668862,1.8599269104003906,1.862697769999504,0.6334927749633789,0.7417639446258545,12.151453842163086,0.06617523990453739,0.058112471193286136,0.9338247600950742
330,11.335010764910754,5.62790948897824,1.8584314513206481,1.861360405087471,0.6334927749633789,0.7515614795684814,12.167286441802979,0.06627904801895283,0.05822670456541877,0.933720951980658
340,11.410333409472857,5.6990029800429305,1.8567603957653045,1.8595984131097794,0.6334927749633789,0.7439254665374756,12.148784889221192,0.06615795165322728,0.058112471193286136,0.9338420483463844
350,11.489674131810531,5.704106222368763,1.855705943107605,1.858789209127426,0.6334927749633789,0.7515614795684814,12.17241449356079,0.0663240133759514,0.05826218696355645,0.9336759866236591
360,11.561718193405069,5.725971877171443,1.854722841978073,1.8579009306430816,0.6334927749633789,0.7507650089263916,12.167260189056396,0.06630125252907004,0.05822670456541877,0.9336987474705404
370,11.624499277104134,5.7985888943870885,1.8533683657646178,1.8565402048826218,0.6334927749633789,0.7431289958953857,12.153185188293458,0.06619984417520994,0.05818577175531932,0.9338001558244013
380,11.692584991216432,5.806360757297469,1.8526426947116852,1.8559267807006836,0.6334927749633789,0.7507650089263916,12.155258586883544,0.06622482344174506,0.058112471193286136,0.933775176557866
390,11.75859193234189,5.820782368633396,1.851979455947876,1.8552810436487197,0.6334927749633789,0.7507650089263916,12.167260189056396,0.06630125252907004,0.05822670456541877,0.9336987474705404
400,11.81326028028404,5.8892772021880155,1.85090815782547,1.8542637556791306,0.6334927749633789,0.7431289958953857,12.148057136535645,0.06615487881821139,0.058112471193286136,0.9338451211814004
410,11.870423289224489,5.89043022311999,1.8504553294181825,1.8538610833883284,0.6334927749633789,0.7507650089263916,12.167260189056396,0.06630125252907004,0.05822670456541877,0.9336987474705404
