topology_id,diagnostic_role,sample_size,training_size,validation_size,max_epochs,selected_epoch_2stage,selected_epoch_spoplus,two_stage_cap_hit,spoplus_cap_hit,test_normalized_gap_2stage,test_normalized_gap_spoplus,normalized_improvement_pp,relative_improvement_pct,test_gap_2stage,test_gap_spoplus,raw_gap_improvement,fraction_improved_over_2stage,exact_achieved_objective_matches,exact_gap_matches,test_row_pairs,all_achieved_objectives_exactly_equal,max_abs_achieved_objective_difference,test_hash,train_prefix_hash,validation_hash,job_dir
G-15,cap_hit_zero,50,40,10,1500,548,1500,False,True,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,5491bb650583d1bd5e6fb0345ed9c3e6acd3ea6acb205d3e4f00b8f4793ff126,6ac538e44850be5d9608b51ba0e44ccc5370b2818d1b978ef2392a34c8fe2075,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_01_weak_label_seed42_sample50/results/smoke20/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=050
G-15,cap_hit_zero,50,40,10,3000,548,1711,False,False,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,5491bb650583d1bd5e6fb0345ed9c3e6acd3ea6acb205d3e4f00b8f4793ff126,6ac538e44850be5d9608b51ba0e44ccc5370b2818d1b978ef2392a34c8fe2075,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/g15_cap3000/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=050
G-15,cap_hit_zero,100,80,20,1500,465,1495,False,False,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,a09c6e2f6991d8ea09b4822014605c9f8039465c8f0297f5960ee21a0e931984,6ec1614eaf386b05b6547f458dd1068c94d9953139eeb82d8cdf3b51ecaa2a84,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size100/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=100
G-15,cap_hit_zero,100,80,20,3000,465,1509,False,False,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,a09c6e2f6991d8ea09b4822014605c9f8039465c8f0297f5960ee21a0e931984,6ec1614eaf386b05b6547f458dd1068c94d9953139eeb82d8cdf3b51ecaa2a84,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/g15_cap3000_sample100/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=100
G-15,cap_hit_zero,250,200,50,1500,489,1500,False,True,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,c119cd34bfeec378ff4e150667bb046b3c570922ff569af9c8fea83c0b908325,c6626b1d5eb770a85c7a2d60270a9644579890ba13adcb652a51b997560947a2,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/sample_size250/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=250
G-15,cap_hit_zero,250,200,50,3000,489,2034,False,False,1.506868049021517e-05,1.506868049021517e-05,0.0,0.0,0.00078179931640625,0.00078179931640625,0.0,0.0,1000,1000,1000,True,0.0,5b0c8d1696972c55025a2da40fc3d6ff345c2f6ee3ad7c36c8082915bb1184c8,c119cd34bfeec378ff4e150667bb046b3c570922ff569af9c8fea83c0b908325,c6626b1d5eb770a85c7a2d60270a9644579890ba13adcb652a51b997560947a2,surrogate_experiment_results/Step5_topology_dfl_suitability/experiment_02_sample_size_sensitivity_seed42/results/g15_cap3000_sample250/jobs/step2c_poly_d8_mult_eps050/G-15/data_seed=000042/sample_size=250
