case_id,case_label,base_graph_id,subset_seed,perturb_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,method_label,oracle_obj,oracle_obj_delta_vs_original,oracle_obj_relative_delta_vs_original,oracle_solution_changed_vs_original,rank1_true_obj,rank2_true_obj,rank1_gap_to_oracle,rank2_gap_to_oracle,rank2_minus_rank1_gap_to_oracle,rank1_normalized_gap_to_oracle,rank2_normalized_gap_to_oracle,rank2_minus_rank1_normalized_gap,rank1_near_1pct,rank2_near_1pct,rank1_near_5pct,rank2_near_5pct,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,rank1_same_oracle,rank2_same_oracle,rank1_edge_jaccard_with_oracle,rank2_edge_jaccard_with_oracle,rank2_edge_jaccard_with_rank1,rank1_solution_selected_edge_count,rank2_solution_selected_edge_count,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2,rank1_arc_key_signature,rank2_arc_key_signature,oracle_arc_key_signature
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,original,none,262,262,0,0,0,2stage_val_mse,199.7119015455246,0.0,0.0,False,141.33510053157806,197.3225005865097,58.37680101394653,2.3894009590148926,-55.98740005493164,0.29230506826027675,0.011964239189111428,-0.2803408290711653,False,False,False,True,False,False,False,False,0.38461538461538464,0.5714285714285714,0.27586206896551724,20.0,17.0,0,0,0,0,0,0,0->19|1->34|3->24|5->1|7->38|12->40|18->0|24->37|25->42|26->12|30->18|33->52|34->5|37->3|38->7|40->26|42->25|55->33|56->39|57->30,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,original,none,262,262,0,0,0,spoplus_val_spoplus_loss,199.7119015455246,0.0,0.0,False,197.3225005865097,141.79669976234436,2.3894009590148926,57.91520178318024,55.525800824165344,0.011964239189111428,0.28999374265979033,0.2780295034706789,False,False,True,False,False,False,False,False,0.5714285714285714,0.25925925925925924,0.4583333333333333,17.0,18.0,0,0,0,0,0,0,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,0->38|1->34|3->24|5->1|12->40|18->0|24->37|25->42|26->12|30->43|34->5|37->3|38->19|40->26|42->25|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25pct,add_fraction,262,328,66,66,0,2stage_val_mse,523.1191965639591,323.4072950184345,1.619369163858837,True,483.9625996351242,519.3264959156513,39.156596928834915,3.7927006483078003,-35.363896280527115,0.07485215068755861,0.007250165303075121,-0.06760198538448349,False,True,False,True,True,True,False,False,0.6190476190476191,0.9142857142857143,0.5681818181818182,35.0,34.0,15,13,15,0,0,0,0->27|3->31|4->3|5->47|7->36|11->51|12->26|17->48|18->41|19->24|20->39|22->19|24->22|25->42|26->12|27->0|30->34|31->4|32->17|33->11|34->45|36->38|38->7|40->52|41->44|42->25|44->18|45->50|46->33|47->20|48->32|52->40|55->46|56->5|57->30,0->27|3->31|4->3|5->33|7->38|11->51|12->36|17->48|18->41|19->24|20->7|22->19|24->22|25->42|26->52|27->0|30->34|31->4|32->17|33->11|34->45|36->8|38->20|40->26|41->44|42->25|44->18|45->50|46->12|48->32|52->40|55->46|56->5|57->30,0->27|3->31|4->3|5->33|7->38|11->51|12->36|17->48|18->41|19->24|20->7|22->19|24->22|25->42|27->0|30->34|31->4|32->17|33->11|34->45|36->8|38->20|40->52|41->44|42->25|44->18|45->50|46->12|48->32|52->40|55->46|56->5|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25pct,add_fraction,262,328,66,66,0,spoplus_val_spoplus_loss,523.1191965639591,323.4072950184345,1.619369163858837,True,483.9625996351242,519.3264959156513,39.156596928834915,3.7927006483078003,-35.363896280527115,0.07485215068755861,0.007250165303075121,-0.06760198538448349,False,True,False,True,True,True,False,False,0.6190476190476191,0.9142857142857143,0.5681818181818182,35.0,34.0,15,13,15,0,0,0,0->27|3->31|4->3|5->47|7->36|11->51|12->26|17->48|18->41|19->24|20->39|22->19|24->22|25->42|26->12|27->0|30->34|31->4|32->17|33->11|34->45|36->38|38->7|40->52|41->44|42->25|44->18|45->50|46->33|47->20|48->32|52->40|55->46|56->5|57->30,0->27|3->31|4->3|5->33|7->38|11->51|12->36|17->48|18->41|19->24|20->7|22->19|24->22|25->42|26->52|27->0|30->34|31->4|32->17|33->11|34->45|36->8|38->20|40->26|41->44|42->25|44->18|45->50|46->12|48->32|52->40|55->46|56->5|57->30,0->27|3->31|4->3|5->33|7->38|11->51|12->36|17->48|18->41|19->24|20->7|22->19|24->22|25->42|27->0|30->34|31->4|32->17|33->11|34->45|36->8|38->20|40->52|41->44|42->25|44->18|45->50|46->12|48->32|52->40|55->46|56->5|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25arcs,add_fixed,262,287,25,25,0,2stage_val_mse,393.60749900341034,193.89559745788574,0.970876527424616,True,363.50239858031273,358.80709823966026,30.10510042309761,34.800400763750076,4.695300340652466,0.07648507840741187,0.08841396785318906,0.011928889445777191,False,False,False,False,True,True,False,False,0.6216216216216216,0.7428571428571429,0.6944444444444444,30.0,31.0,11,11,12,0,0,0,0->1|1->18|3->24|4->51|8->30|11->20|12->4|14->15|15->5|18->0|20->43|24->37|25->42|26->40|30->35|33->14|34->38|35->8|36->45|37->3|38->34|40->26|42->25|43->11|45->50|47->36|51->12|55->33|56->39|57->47,0->1|1->18|3->9|4->51|7->37|8->30|9->34|11->20|12->4|14->15|15->5|18->0|20->43|25->42|26->40|30->35|33->14|34->3|35->8|36->45|37->38|38->7|40->26|42->25|43->11|45->50|47->36|51->12|55->33|56->39|57->47,0->1|1->18|3->5|4->51|5->3|7->37|8->30|11->20|12->4|14->34|18->0|20->43|25->42|26->40|30->35|33->14|34->52|35->8|36->45|37->38|38->7|40->26|42->25|43->11|45->50|47->36|51->12|55->33|56->39|57->47
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25arcs,add_fixed,262,287,25,25,0,spoplus_val_spoplus_loss,393.60749900341034,193.89559745788574,0.970876527424616,True,365.8006988465786,393.60749900341034,27.80680015683174,0.0,-27.80680015683174,0.07064601214958094,0.0,-0.07064601214958094,False,True,False,True,True,True,False,True,0.6666666666666666,1.0,0.6666666666666666,30.0,30.0,11,12,11,0,0,0,0->1|1->18|3->7|4->51|7->37|8->30|11->20|12->4|14->15|15->5|18->0|20->43|25->42|26->40|30->35|33->14|34->38|35->8|36->45|37->3|38->34|40->26|42->25|43->11|45->50|47->36|51->12|55->33|56->39|57->47,0->1|1->18|3->5|4->51|5->3|7->37|8->30|11->20|12->4|14->34|18->0|20->43|25->42|26->40|30->35|33->14|34->52|35->8|36->45|37->38|38->7|40->26|42->25|43->11|45->50|47->36|51->12|55->33|56->39|57->47,0->1|1->18|3->5|4->51|5->3|7->37|8->30|11->20|12->4|14->34|18->0|20->43|25->42|26->40|30->35|33->14|34->52|35->8|36->45|37->38|38->7|40->26|42->25|43->11|45->50|47->36|51->12|55->33|56->39|57->47
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25arcs,remove_fixed,262,237,-25,0,25,2stage_val_mse,143.830699801445,-55.88120174407959,-0.2798090715256717,True,143.830699801445,140.12919986248016,0.0,3.7014999389648438,3.7014999389648438,0.0,0.025735117357065945,0.025735117357065945,True,False,True,True,True,True,True,False,1.0,0.8125,0.8125,14.0,15.0,0,0,0,2,2,3,0->38|3->24|18->0|24->37|25->42|30->34|34->45|37->3|38->7|42->25|45->50|55->18|56->39|57->30,0->19|3->24|7->38|18->0|24->37|25->42|30->34|34->45|37->3|38->7|42->25|45->50|55->18|56->39|57->30,0->38|3->24|18->0|24->37|25->42|30->34|34->45|37->3|38->7|42->25|45->50|55->18|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25arcs,remove_fixed,262,237,-25,0,25,spoplus_val_spoplus_loss,143.830699801445,-55.88120174407959,-0.2798090715256717,True,143.830699801445,140.12919986248016,0.0,3.7014999389648438,3.7014999389648438,0.0,0.025735117357065945,0.025735117357065945,True,False,True,True,True,True,True,False,1.0,0.8125,0.8125,14.0,15.0,0,0,0,2,3,3,0->38|3->24|18->0|24->37|25->42|30->34|34->45|37->3|38->7|42->25|45->50|55->18|56->39|57->30,0->19|3->24|7->38|18->0|24->37|25->42|30->34|34->45|37->3|38->7|42->25|45->50|55->18|56->39|57->30,0->38|3->24|18->0|24->37|25->42|30->34|34->45|37->3|38->7|42->25|45->50|55->18|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25pct,remove_fraction,262,196,-66,0,66,2stage_val_mse,162.24790132045746,-37.46400022506714,-0.18759022339250608,True,162.24790132045746,161.02440130710602,0.0,1.2235000133514404,1.2235000133514404,0.0,0.007540929672349674,0.007540929672349674,True,True,True,True,True,True,True,False,1.0,0.9230769230769231,0.9230769230769231,13.0,12.0,0,0,0,2,3,3,3->5|5->3|7->38|25->42|30->34|33->52|34->45|38->7|42->25|45->50|55->33|56->39|57->30,3->5|5->3|7->38|25->42|30->34|34->45|38->7|42->25|45->50|55->33|56->39|57->30,3->5|5->3|7->38|25->42|30->34|33->52|34->45|38->7|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25pct,remove_fraction,262,196,-66,0,66,spoplus_val_spoplus_loss,162.24790132045746,-37.46400022506714,-0.18759022339250608,True,162.24790132045746,161.02440130710602,0.0,1.2235000133514404,1.2235000133514404,0.0,0.007540929672349674,0.007540929672349674,True,True,True,True,True,True,True,False,1.0,0.9230769230769231,0.9230769230769231,13.0,12.0,0,0,0,2,3,4,3->5|5->3|7->38|25->42|30->34|33->52|34->45|38->7|42->25|45->50|55->33|56->39|57->30,3->5|5->3|7->38|25->42|30->34|34->45|38->7|42->25|45->50|55->33|56->39|57->30,3->5|5->3|7->38|25->42|30->34|33->52|34->45|38->7|42->25|45->50|55->33|56->39|57->30
