case_id,case_label,base_graph_id,subset_seed,perturb_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,method_label,original_oracle_obj,variant_oracle_obj,delta_oracle_obj,relative_delta_oracle_obj,oracle_solution_changed_vs_original,original_rank1_normalized_gap,variant_rank1_normalized_gap,delta_rank1_normalized_gap,original_rank2_normalized_gap,variant_rank2_normalized_gap,delta_rank2_normalized_gap,original_rank2_minus_rank1_normalized_gap,variant_rank2_minus_rank1_normalized_gap,delta_rank2_minus_rank1_normalized_gap,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,original,none,262,262,0,2stage_val_mse,199.7119015455246,199.7119015455246,0.0,0.0,False,0.29230506826027675,0.29230506826027675,0.0,0.011964239189111428,0.011964239189111428,0.0,-0.2803408290711653,-0.2803408290711653,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,original,none,262,262,0,spoplus_val_spoplus_loss,199.7119015455246,199.7119015455246,0.0,0.0,False,0.011964239189111428,0.011964239189111428,0.0,0.28999374265979033,0.28999374265979033,0.0,0.2780295034706789,0.2780295034706789,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25pct,add_fraction,262,328,66,2stage_val_mse,199.7119015455246,523.1191965639591,323.4072950184345,1.619369163858837,True,0.29230506826027675,0.07485215068755861,-0.21745291757271812,0.011964239189111428,0.007250165303075121,-0.004714073886036307,-0.2803408290711653,-0.06760198538448349,0.21273884368668183,True,True,15,13,15,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25pct,add_fraction,262,328,66,spoplus_val_spoplus_loss,199.7119015455246,523.1191965639591,323.4072950184345,1.619369163858837,True,0.011964239189111428,0.07485215068755861,0.06288791149844719,0.28999374265979033,0.007250165303075121,-0.28274357735671524,0.2780295034706789,-0.06760198538448349,-0.34563148885516237,True,True,15,13,15,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25arcs,add_fixed,262,287,25,2stage_val_mse,199.7119015455246,393.60749900341034,193.89559745788574,0.970876527424616,True,0.29230506826027675,0.07648507840741187,-0.21581998985286488,0.011964239189111428,0.08841396785318906,0.07644972866407763,-0.2803408290711653,0.011928889445777191,0.2922697185169425,True,True,11,11,12,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,add25arcs,add_fixed,262,287,25,spoplus_val_spoplus_loss,199.7119015455246,393.60749900341034,193.89559745788574,0.970876527424616,True,0.011964239189111428,0.07064601214958094,0.05868177296046951,0.28999374265979033,0.0,-0.28999374265979033,0.2780295034706789,-0.07064601214958094,-0.34867551562025983,True,True,11,12,11,0,0,0
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25arcs,remove_fixed,262,237,-25,2stage_val_mse,199.7119015455246,143.830699801445,-55.88120174407959,-0.2798090715256717,True,0.29230506826027675,0.0,-0.29230506826027675,0.011964239189111428,0.025735117357065945,0.013770878167954517,-0.2803408290711653,0.025735117357065945,0.30607594642823127,True,True,0,0,0,2,2,3
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25arcs,remove_fixed,262,237,-25,spoplus_val_spoplus_loss,199.7119015455246,143.830699801445,-55.88120174407959,-0.2798090715256717,True,0.011964239189111428,0.0,-0.011964239189111428,0.28999374265979033,0.025735117357065945,-0.26425862530272437,0.2780295034706789,0.025735117357065945,-0.25229438611361293,True,True,0,0,0,2,3,3
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25pct,remove_fraction,262,196,-66,2stage_val_mse,199.7119015455246,162.24790132045746,-37.46400022506714,-0.18759022339250608,True,0.29230506826027675,0.0,-0.29230506826027675,0.011964239189111428,0.007540929672349674,-0.0044233095167617534,-0.2803408290711653,0.007540929672349674,0.28788175874351496,True,True,0,0,0,2,3,3
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,0,remove25pct,remove_fraction,262,196,-66,spoplus_val_spoplus_loss,199.7119015455246,162.24790132045746,-37.46400022506714,-0.18759022339250608,True,0.011964239189111428,0.0,-0.011964239189111428,0.28999374265979033,0.007540929672349674,-0.2824528129874407,0.2780295034706789,0.007540929672349674,-0.27048857379832925,True,True,0,0,0,2,3,4
