regime,graph_id,seed_count,subset_seed_min,subset_seed_max,spo_better_count,spo_better_rate,spo_better_wilson95_low,spo_better_wilson95_high,meaningful_spo_benefit_count,meaningful_spo_benefit_rate,meaningful_spo_benefit_wilson95_low,meaningful_spo_benefit_wilson95_high,strict_case_c_count,strict_case_c_rate,strict_case_c_wilson95_low,strict_case_c_wilson95_high,strong_case_c_count,strong_case_c_rate,strong_case_c_wilson95_low,strong_case_c_wilson95_high,correction_count,correction_rate,correction_wilson95_low,correction_wilson95_high,exact_rank2_promotion_count,exact_rank2_promotion_rate,exact_rank2_promotion_wilson95_low,exact_rank2_promotion_wilson95_high,topk_promotion_count,topk_promotion_rate,topk_promotion_wilson95_low,topk_promotion_wilson95_high,mean_delta_pp,median_delta_pp,q25_delta_pp,q75_delta_pp,mean_two_stage_rank1_gap_pct,median_two_stage_rank1_gap_pct,q25_two_stage_rank1_gap_pct,q75_two_stage_rank1_gap_pct,mean_spoplus_rank1_gap_pct,median_spoplus_rank1_gap_pct,q25_spoplus_rank1_gap_pct,q75_spoplus_rank1_gap_pct,mean_two_stage_rank2_gap_pct,median_two_stage_rank2_gap_pct,q25_two_stage_rank2_gap_pct,q75_two_stage_rank2_gap_pct,mean_spoplus_rank2_gap_pct,median_spoplus_rank2_gap_pct,q25_spoplus_rank2_gap_pct,q75_spoplus_rank2_gap_pct
step2c_poly_d8_mult_eps050,G-1.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,7.353250928835999,7.353250928835991,7.353250928835991,7.353250928835991,7.353250928835999,7.353250928835991,7.353250928835991,7.353250928835991,11.041687546681537,11.041687546681535,11.041687546681535,11.041687546681535,0.0,0.0,0.0,0.0
step2c_poly_d8_mult_eps050,G-1000.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937141191167443,0.39371411911674453,0.39371411911674453,0.39371411911674453,0.3937141191167443,0.39371411911674453,0.39371411911674453,0.39371411911674453
step2c_poly_d8_mult_eps050,G-1010.json,50,0,49,36,0.72,0.5833461285401034,0.8252598564231963,36,0.72,0.5833461285401034,0.8252598564231963,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,4.259445944948893,5.915897145762349,0.0,5.915897145762349,15.692429064014908,17.348880264828356,11.432983119066007,17.348880264828356,11.432983119066007,11.432983119066007,11.432983119066007,11.432983119066007,13.142588614297862,11.432983119066007,11.432983119066007,12.243460044471249,12.243460044471249,12.243460044471249,12.243460044471249,12.243460044471249
step2c_poly_d8_mult_eps050,G-102.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,3.625042786696864,3.625042786696861,3.625042786696861,3.625042786696861,3.625042786696864,3.625042786696861,3.625042786696861,3.625042786696861,0.0,0.0,0.0,0.0,4.971997869171379,5.395188174771936,5.395188174771936,5.395188174771936
step2c_poly_d8_mult_eps050,G-1022.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,7.449234019606271,7.449234019606278,7.449234019606278,7.449234019606278,7.449234019606271,7.449234019606278,7.449234019606278,7.449234019606278,8.849202347962263,8.849202347962265,8.849202347962265,8.849202347962265,8.318250207084526,8.849202347962265,8.849202347962265,8.849202347962265
step2c_poly_d8_mult_eps050,G-1025.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,16.27213033102952,16.2721303310295,16.2721303310295,16.2721303310295,16.27213033102952,16.2721303310295,16.2721303310295,16.2721303310295,16.300784979785107,16.300784979785103,16.300784979785103,16.300784979785103,16.300784979785107,16.300784979785103,16.300784979785103,16.300784979785103
step2c_poly_d8_mult_eps050,G-1029.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,1.0602145446890086,1.0602145446890079,1.0602145446890079,1.0602145446890079,1.0602145446890086,1.0602145446890079,1.0602145446890079,1.0602145446890079,1.8026660750605867,1.8026660750605883,1.8026660750605883,1.8026660750605883,1.8026660750605867,1.8026660750605883,1.8026660750605883,1.8026660750605883
step2c_poly_d8_mult_eps050,G-103.json,50,0,49,5,0.1,0.04347512399157111,0.2136049033478839,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,-2.551516586883365,-2.7897494888945964,-2.7897494888945964,-2.7897494888945964,15.756510561874459,15.865156020216386,15.865156020216386,15.865156020216386,18.30802714875782,18.654905509110982,18.654905509110982,18.654905509110982,15.29476736392122,15.186121905579283,15.186121905579283,15.186121905579283,15.533000265932456,15.186121905579283,15.186121905579283,15.186121905579283
step2c_poly_d8_mult_eps050,G-1034.json,50,0,49,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.0,5.30196579729733,5.301965797297335,5.301965797297335,5.301965797297335,5.30196579729733,5.301965797297335,5.301965797297335,5.301965797297335,6.503271210536148,6.503271210536152,6.503271210536152,6.503271210536152,6.503271210536148,6.503271210536152,6.503271210536152,6.503271210536152
step2c_poly_d8_mult_eps050,G-1039.json,50,0,49,50,1.0,0.9286499658256813,1.0,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,0,0.0,0.0,0.07135003417431873,1.0935744631122923,1.0935744631122937,1.0935744631122937,1.0935744631122937,9.035459224481729,9.03545922448174,9.03545922448174,9.03545922448174,7.94188476136945,7.941884761369446,7.941884761369446,7.941884761369446,0.3952744437827157,0.39527444378271587,0.39527444378271587,0.39527444378271587,0.08287558520723874,0.08287558520723881,0.08287558520723881,0.08287558520723881
