regime,max_cycle,max_chain,method_label,solution_rank,row_count,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,1,20000,18.04312542131571,14.251649558544159,0.08803921935797897,0.06948287151060245,0.10685,0.168,0.35535,0.0,0.0,0.5548026904861105,0.52
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,2,20000,19.61218317554984,17.219099640846252,0.09718095433443417,0.082575702607818,0.06555,0.1353,0.3119,1.2740363898677407,1.010419550151866,0.5327138565500031,0.5
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,3,20000,20.52514531732681,16.568500995635986,0.10098037079627983,0.08705743240856693,0.07775,0.10735,0.2844,2.249417658503584,1.937002187751304,0.5324568892956734,0.5
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,4,20000,21.9467231740369,17.64850091934204,0.10973426952958355,0.09256714986231684,0.01655,0.06695,0.23485,2.942201620270667,2.611588156608775,0.5159789642388798,0.5
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,5,20000,21.963808970118592,17.8158997297287,0.10859927732588351,0.09073296072457371,0.0178,0.06355,0.2513,3.5650840769437493,3.292829183777954,0.5155657231935604,0.5
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,1,20000,15.721970906591695,12.546000123023987,0.07688284245402703,0.0633128586610792,0.13365,0.20195,0.41425,0.0,0.0,0.5699796791866281,0.5333333333333333
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,2,20000,17.946866860148496,14.592499613761902,0.08860248572694356,0.07475165236022305,0.07045,0.13885,0.3512,1.617937870899926,1.2091327195061865,0.550565390826203,0.5
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,3,20000,18.843236800597143,15.596300601959229,0.09448609277507977,0.07896224515706013,0.0526,0.1032,0.31655,2.829313406453994,2.434054436457288,0.5378140863742493,0.52
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,4,20000,19.818625936353765,16.5348002910614,0.09893654820284764,0.08662445578182926,0.0304,0.07785,0.28895,3.690045587746698,3.273102965420719,0.5308637191568105,0.5
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,5,20000,20.95375919782766,18.017700041644275,0.10477824591980427,0.09256714986231684,0.03015,0.07855,0.2669,4.443927073986163,4.1011473200892965,0.5220039136808114,0.5
