topology_id,num_vertices,num_pairs,num_ndds,num_arcs,num_exchange_candidates,num_2cycles,num_3cycles,num_cycles_total,num_chains_total,num_chains_len1,num_chains_len2,num_chains_len3,num_chains_len4,candidate_conflict_density,mean_conflict_degree,max_conflict_degree,largest_conflict_component_fraction,fraction_vertices_in_any_candidate,mean_candidates_per_vertex,max_candidates_per_vertex,num_label_seeds,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,mean_pairwise_oracle_jaccard,mean_oracle_objective,median_oracle_objective,mean_top1_top2_margin,median_top1_top2_margin,mean_top1_top5_margin,median_top1_top5_margin,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_gap_to_oracle,median_linear_proxy_gap_to_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_linear_proxy_normalized_gap_to_oracle,mean_linear_proxy_jaccard_with_oracle
G-0,22,20,2,28,4,0,0,0,4,2,2,0,0,1.0,3.0,3,1.0,0.18181818181818182,0.45454545454545453,4,3,1,0.0,1.0,1.0,13.8873,13.7259,3.146266666666666,2.872399999999999,13.8873,13.7259,0.0,0.0,0.0,0.0,0.0,1.0
G-1,22,20,2,35,14,1,0,1,13,4,4,4,1,0.8681318681318682,11.285714285714286,13,1.0,0.4090909090909091,1.9545454545454546,12,3,3,1.0986122886681096,0.3333333333333333,0.4666666666666667,39.70616666666667,42.0146,3.1172333333333335,2.4091999999999985,8.927566666666666,9.857599999999998,0.6666666666666666,2.5200333333333327,1.3963999999999999,0.06496928287595653,0.04820408374613804,0.6666666666666666
