epoch,theta_1,theta_2,train_mse_loss,validation_mse_loss
0,1.6236203565420875,3.3521429192297485,25.19657026495764,25.309594507564178
1,1.6736203565413055,3.402142919228375,24.786584555319106,24.894310577777375
2,1.723609812277928,3.452127497780879,24.380430263016724,24.48295009687622
3,1.7735816094067076,3.502086173319525,23.978171409315255,24.075578056042925
4,1.8235285905978194,3.5520083421478432,23.579870007988013,23.672257379172816
5,1.873443572209371,3.6018833016169345,23.18558588951592,23.27304874395226
6,1.9233193609402754,3.6517002735210924,22.795376534743585,22.878010412650816
7,1.9731487703356563,3.7014484275310697,22.409296919177713,22.48719807383248
8,2.022924637020765,3.7511169044861674,22.027399368981573,22.100664696055937
9,2.072639836545,3.80069483937183,21.64973342957422,21.71846039448551
10,2.1222872987248684,3.8501713838174045,21.27634574758803,21.34063231117581
11,2.1718600223834326,3.899535727958944,20.907279966776354,20.967224509627584
12,2.2213510893937056,3.9487771215241136,20.5425766382973,20.598277884043412
13,2.270753677944387,3.99788489401012,20.182273145634287,20.23383008354247
14,2.320061074957985,4.046848473840724,19.82640364425092,19.873915451427944
15,2.369266687603512,4.095657406404541,19.47499901592101,19.51856497944022
16,2.4183640538583155,4.144301370893579,19.12808683752574,19.16780627677783
17,2.4673468520859645,4.192770195877957,18.785691363972315,18.821663553527774
18,2.5162089096092286,4.241053873569723,18.447833524762967,18.48015761801905
19,2.5649442102688673,4.289142572745261,18.11453093363194,18.143305887500432
20,2.613546900969993,4.33702665031171,17.785797910571702,17.811122411445293
21,2.662011297228057,4.384696661517906,17.461645515489028,17.4836179067048
22,2.710331887735868,4.432143368824321,17.142081592666752,17.160799803664904
23,2.758503337981468,4.479357749459238,16.827110825157853,16.842672302513165
24,2.8065204929540037,4.526331001699787,16.516734798204784,16.529236438687217
25,2.854378378981011,4.573054549926442,16.210952070757333,16.220490156557442
26,2.902072204745671,4.619520048508076,15.909758254156683,15.916428390390974
27,2.949597361536704,4.665719384581682,15.613146097059483,15.617043151651002
28,2.9969494227866096,4.711644679796463,15.321105575693391,15.322323621703621
29,3.044124142956031,4.757288291096153,15.033623988562564,15.032256249032638
30,3.0911174558231664,4.802642810616314,14.750686054756885,14.746824850098994
31,3.1379254722374705,4.847701064774957,14.472274015060915,14.46601071302483
32,3.184544477396443,4.892456112635372,14.198367735106068,14.189792703331088
33,3.230970927703196,4.936901243619548,13.92894480986112,13.918147371010384
34,3.277201447260818,4.981029974649148,13.663980668810812,13.65104905827278
35,3.323232824057389,5.024836046788911,13.403448681228323,13.388470007359585
36,3.3690620058929577,5.068313421464487,13.147320261004475,13.130380467878483
37,3.414686096096924,5.1114562763234455,12.89556497055307,12.876748803171271
38,3.460102349081178,5.154259000804394,12.648150623367544,12.627541595282295
39,3.5053081657710985,5.1967161914751205,12.405043384858063,12.382723748150907
40,3.550301088953164,5.238822647196371,12.166207871150016,12.142258588704037
41,3.5950787985745514,5.28057336416345,11.931607245574003,11.906107965575192
42,3.6396391070267216,5.321963530873361,11.701203312623603,11.67423234522327
43,3.683979954441692,5.362988523060723,11.47495660920021,11.446590905268383
44,3.7280994040264592,5.403643898641307,11.252826493003838,11.223141624902256
45,3.7719956374579624,5.4439253926976985,11.03477122796499,11.003841372267683
46,3.815666950358004,5.483828912537515,10.820748066645528,10.788645988734842
47,3.8591117478647776,5.523350532850567,10.610713329565812,10.577510370032225
48,3.9023285403150285,5.562486490987663,10.404622481441518,10.370388544216434
49,3.9453159390484527,5.601233182380173,10.202430204336455,10.167233746488455
50,3.9880726523436976,5.639587156116209,10.004090467757694,9.967998490884215
51,4.030597481493282,5.677545110686199,9.809556595736302,9.772634638884584
52,4.072889317022882,5.715103889907821,9.618781330951567,9.581093465004702
53,4.1149471350587605,5.752260479037719,9.43171689596849,9.393325719434506
54,4.156769993845598,5.789012001075055,9.248315051668204,9.209281687812439
55,4.19835703041566,5.82535571325987,9.068527152958582,9.028911248221943
56,4.239707457409047,5.861289003767345,8.892304201858376,8.852163925506323
57,4.280820560043762,5.896809388597374,8.719596898052286,8.678988943001924
58,4.3216956932334245,5.9319145086573934,8.550355687017342,8.509335271792194
59,4.362332278849714,5.966602127035126,8.384530805822402,8.343151677586818
60,4.402729803125989,6.000870126456783,8.22207232670302,8.180386765330416
61,4.442887814197987,6.0347165069253155,8.062930198513357,8.02098902164465
62,4.4828059197771015,6.068139383532518,7.9070542861555095,7.864906855206148
63,4.522483784951361,6.101136984438086,7.75439440808449,7.712088635160546
64,4.561921130109005,6.133707649008215,7.604900371984557,7.562482727670193
65,4.601117728979341,6.165849826105891,7.458522008709465,7.416037530689842
66,4.6400734067854525,6.197562072524663,7.315209204575759,7.272701507061187
67,4.6787880385032485,6.228843051557492,7.174911932094565,7.132423216013187
68,4.717261547221335,6.259691531692058,7.037580279223333,6.995151343151134
69,4.755493902596189,6.290106385423854,6.90316447721502,6.860834729013253
70,4.793485119397204,6.320086588178364,6.771614927137969,6.7294223962693325
71,4.831235256136219,6.349631217333611,6.642882225135648,6.600863575631678
72,4.868744413776306,6.378739451334509,6.516917186491269,6.475107730544416
73,4.90601273451467,6.407410568890487,6.393670868558163,6.352104580712964
74,4.943040400634725,6.435643948248087,6.273094592612839,6.231804124531407
75,4.979827633422522,6.463439066530355,6.155139964683723,6.114156660461545
76,5.016374692142915,6.490795499135108,6.039758895404822,5.999112807413503
77,5.052681873071029,6.517712919184356,5.926903618939952,5.886623524174124
78,5.088749508574755,6.544191097017428,5.816526711019678,5.776640127925831
79,5.124577966244253,6.570229899720618,5.708581106129847,5.669114311895264
80,5.1601676480645615,6.595829290686425,5.603020113887487,5.563998162167862
81,5.195518989627666,6.6209893291957815,5.499797434636895,5.4612441737015684
82,5.2306324593805495,6.645710170016923,5.398867174296001,5.360805265569989
83,5.265508557905938,6.66999206301488,5.300183858480516,5.262634795462811
84,5.300147817232648,6.693835352765854,5.203702445931,5.166686573468769
85,5.334550800172629,6.7172404781710595,5.10937834126575,5.072914875164275
86,5.368718099681967,6.7402079720649155,5.017167407080427,4.981274454028738
87,5.402650338243294,6.76273846081276,4.9270259754134065,4.891720553205722
88,5.436348167267219,6.784832663893588,4.838910858594216,4.804208916627345
89,5.4698122665105595,6.806491393463588,4.7527793594908125,4.718695799517822
90,5.503043343509298,6.8277155538965735,4.668589281170142,4.63513797829062
91,5.53604213302437,6.848506141297674,4.586298935985084,4.553492759852438
92,5.568809396498489,6.86886424298696,4.505867154099917,4.4737179903261515
93,5.601345921522402,6.888791036949941,4.42725329146531,4.395772063203865
94,5.633652521309065,6.908287791252177,4.35041723725316,4.319613926940392
95,5.665730034174374,6.9273558634154835,4.275319420760734,4.245203091996729
96,5.697579323023205,6.945996699753513,4.201920817793036,4.172499637342508
97,5.729201274839617,6.9642118346647255,4.130182956531778,4.101464216425893
98,5.760596800180208,6.982002889881036,4.0600679228988925,4.032058062618984
99,5.791766832669695,6.999371573670653,3.9915383654222336,3.964242994146442
100,5.82271232849789,7.0163196799938845,3.9245574996107964,3.8979814185048465
101,5.853434265917349,7.032849087610901,3.8590891118466932,3.833236336380136
102,5.883933644741038,7.048961759140682,3.795097562800923,3.7699713450703483
103,5.914211485839478,7.0646597400705815,3.732547790379971,3.7081506414208936
104,5.944268830636853,7.0799451577161685,3.671405312210286,3.6477390242795837
105,5.974106740605698,7.09482022013119,3.6116362276677143,3.5887018964787614
106,6.003726296759809,7.109287214967706,3.5532072194590714,3.531005266351926
107,6.033128599145108,7.123348508286631,3.4960855547631833,3.4746157487924796
