epoch,theta_1,theta_2,theta_norm,train_spoplus_loss,validation_spoplus_loss,train_normalized_spoplus_loss,validation_normalized_spoplus_loss,train_decision_gap,validation_decision_gap,train_y_adv_oracle_equal_rate,validation_y_adv_oracle_equal_rate,train_y_pred_oracle_equal_rate,validation_y_pred_oracle_equal_rate
0,1.6236203565420875,3.3521429192297485,3.724648334154514,47.57370658287783,45.224692190731936,0.34918228321337197,0.3401736089047256,4.123674018383026,3.238449402589351,0.0,0.0,0.36,0.329
10,2.613373958267372,4.30278511147283,5.0342510030055445,23.61906649434663,21.766675159267706,0.17590096707408398,0.16477963553309474,3.176949996948242,2.4475245987698435,0.0,0.0,0.4,0.371
20,3.5158600277559775,4.895201494539415,6.026961872030815,14.019409888560299,12.628100718292586,0.10551154922782173,0.0963491888993426,2.6037560057640077,1.9426368453763425,0.0,0.001,0.42,0.422
30,4.281311939651059,5.027262516565374,6.603256797600857,8.908877293203288,7.90367102498559,0.06730799551227165,0.06044773098735651,1.5942999625205994,1.4655481926053762,0.02,0.0075,0.46,0.476
40,4.933253762113662,4.857544171764977,6.923346594101475,5.058262801112023,4.274132008932156,0.038074640748624954,0.03256304502211266,0.8463819909095764,0.9859260042980313,0.02,0.0205,0.56,0.5465
50,5.451274221433751,4.524656936542825,7.084413245334665,2.8404701190134323,2.418038588867885,0.021801794794486292,0.01848267110058542,0.39432400941848755,0.5581317013539374,0.24,0.226,0.68,0.641
60,5.813966959560983,4.123779424444461,7.127956828456404,1.418820658987813,1.2135286821193803,0.011225376233202862,0.009327600515581395,0.32459800004959105,0.25851764841377733,0.36,0.333,0.74,0.743
70,6.07494672564298,3.7172836562527145,7.122020464758854,0.48180278619878153,0.42544951600494674,0.00403928012331297,0.0032777702324716597,0.10821202993392945,0.0729348479360342,0.48,0.486,0.84,0.852
80,6.243862085682248,3.380701360521892,7.100348965653367,0.09225132263073092,0.06217748816513981,0.0007501716968105636,0.000486329277417348,0.00911001205444336,0.009612702291458846,0.74,0.746,0.96,0.9375
90,6.336508779058025,3.158271678969067,7.079973411338315,-2.5579538487363606e-15,0.00012530914601702924,-7.137326765015692e-18,9.367682272947491e-07,0.0,3.751307725906372e-06,1.0,0.9825,1.0,0.99
100,6.371414399800693,3.075042347923486,7.074659489721777,0.010292959989304507,0.015044739727835956,7.475299821152275e-05,0.0001213483734991338,0.004989991188049317,0.001977498956024647,0.94,0.853,0.98,0.9645
110,6.3780196359461145,3.0699593289452345,7.078402698200497,0.01135558789688659,0.017408662466627294,8.232349054260167e-05,0.00014041862293306555,0.004989991188049317,0.003046347197145224,0.94,0.841,0.98,0.9585
120,6.373872437677701,3.094998965310443,7.085567616434141,0.007869830558259423,0.010288983489016157,5.750894304416401e-05,8.283712044144041e-05,0.0,0.0019993493035435675,0.94,0.874,1.0,0.964
130,6.365500858586445,3.132235254833741,7.094399119889447,0.0026232974449538916,0.002920562974181577,2.01806938404961e-05,2.3508265229296116e-05,0.0,0.0004467008411884308,0.96,0.935,1.0,0.978
140,6.356705970241403,3.169274354344037,7.102957885642115,1.5631940186722204e-15,0.00010367266185609836,1.6633784741160104e-17,7.828815505687347e-07,0.0,9.875096380710601e-05,1.0,0.9835,1.0,0.9855
150,6.352831083010975,3.18548741238235,7.106742771742677,-5.968558980384841e-15,6.034029988853184e-05,-3.897899626916807e-17,5.046537045496793e-07,0.0,1.195189356803894e-05,1.0,0.9865,1.0,0.991
160,6.3522862100643875,3.1880487318653383,7.107404224562043,6.620858830217458e-05,0.00011814546639769575,6.547927973928512e-07,9.438697185555356e-07,0.0,1.335182785987854e-05,0.98,0.9825,1.0,0.9905
170,6.354019538555839,3.181532662444885,7.1060336601055445,-5.684341886080802e-16,1.5979538516328163e-05,-8.123964758958145e-18,1.435317765704844e-07,0.0,1.870223879814148e-05,1.0,0.989,1.0,0.9895
180,6.354811896771462,3.178537831248439,7.1054019582304875,2.842170943040401e-15,2.6757044823355614e-07,2.2731095806353435e-17,4.863823619503734e-09,0.0,1.8702000379562377e-05,1.0,0.989,1.0,0.99
190,6.355096708176843,3.177461345809066,7.105175210675026,-1.1368683772161603e-15,-5.380061667819902e-06,-8.246853710966909e-18,-4.498006488334878e-08,0.0,1.8702000379562377e-05,1.0,0.989,1.0,0.99
200,6.355198933138609,3.1770749719462357,7.1050938668770085,2.9842794901924207e-15,-4.091815590685499e-06,1.9024119835317536e-17,-2.8522322120966458e-08,0.0,1.870223879814148e-05,1.0,0.99,1.0,0.9895
210,6.3552355755699015,3.1769364766367088,7.105064714524011,-1.4210854715202005e-15,-4.51779991114698e-06,-1.4848979731966276e-17,-3.1603616398777606e-08,0.0,1.0101944208145141e-05,1.0,0.99,1.0,0.9905
220,6.355248694371515,3.176886892249814,7.10505427800939,4.263256414560601e-16,-4.670311728274257e-06,-1.874916648648213e-18,-3.270678796365034e-08,0.0,1.0102182626724244e-05,1.0,0.99,1.0,0.99
230,6.355253386111346,3.176869159148133,7.105050545634865,-4.547473508864641e-15,-4.724855260237248e-06,-3.109647894811919e-17,-3.3101320496366405e-08,0.0,1.0101944208145141e-05,1.0,0.99,1.0,0.9905
240,6.355255062384085,3.176862823435582,7.105049212136791,-9.947598300641404e-16,-4.744342664681156e-06,-1.2830681605171242e-17,-3.3242279740400135e-08,0.0,1.0101944208145141e-05,1.0,0.99,1.0,0.9905
250,6.3552556607439055,3.176860561849062,7.105048736134707,1.2789769243681803e-15,-4.751298859911656e-06,9.632707314239216e-18,-3.329259634463663e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
260,6.355255874155887,3.176859755227961,7.105048566363214,-2.5579538487363606e-15,-4.753779868055474e-06,-1.555498878456158e-17,-3.331054234889094e-08,0.0,1.0102182626724244e-05,1.0,0.99,1.0,0.99
270,6.355255950213342,3.1768594677579336,7.1050485058587265,-1.4210854715202004e-16,-4.754664069386294e-06,4.69837397108204e-19,-3.331693808726829e-08,0.0,1.0101944208145141e-05,1.0,0.99,1.0,0.9905
280,6.355255977300055,3.176859365379836,7.105048484310973,2.842170943040401e-16,-4.754978964271572e-06,-4.527047487425156e-18,-3.331921583260519e-08,0.0,1.0101944208145141e-05,1.0,0.99,1.0,0.9905
290,6.35525598694022,3.176859328943455,7.105048476642124,-2.415845301584341e-15,-4.7550910350828705e-06,-2.6211167758152168e-17,-3.332002647913723e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
300,6.355255990369053,3.176859315983693,7.1050484739144535,-8.526512829121202e-16,-4.755130896551662e-06,-9.007179516045669e-18,-3.332031481247187e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
310,6.355255991587928,3.176859311376777,7.105048472944825,3.126388037344441e-15,-4.7551450669871544e-06,2.8182653268748865e-17,-3.332041731241925e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
320,6.355255992020981,3.176859309739993,7.105048472600327,2.842170943040401e-16,-4.755150100436367e-06,6.361985227198029e-18,-3.332045372094431e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
330,6.3552559921747624,3.1768593091587545,7.105048472477993,2.5579538487363606e-15,-4.75515188953679e-06,1.4610657578308053e-17,-3.332046666211188e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
340,6.355255992229347,3.176859308952448,7.105048472434572,-2.5579538487363606e-15,-4.7551525231899205e-06,-1.964599781256635e-17,-3.3320471245295075e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
350,6.355255992248713,3.176859308879253,7.105048472419168,-3.552713678800501e-15,-4.755152749330805e-06,-2.889745288294714e-17,-3.332047288115947e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
360,6.355255992255581,3.176859308853296,7.105048472413705,8.526512829121202e-16,-4.755152827808473e-06,4.704418241300267e-18,-3.332047344799956e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
370,6.355255992258014,3.176859308844094,7.105048472411766,5.684341886080802e-16,-4.755152856915856e-06,4.8076278215951565e-18,-3.332047365994343e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
380,6.355255992258877,3.1768593088408332,7.10504847241108,3.9790393202565614e-15,-4.755152866506407e-06,2.867836969920225e-17,-3.3320473728690326e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
390,6.355255992259183,3.176859308839678,7.105048472410837,5.684341886080802e-16,-4.755152870041357e-06,1.384368469121741e-17,-3.332047375382049e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
400,6.355255992259291,3.176859308839269,7.105048472410751,-1.1368683772161603e-15,-4.755152871130264e-06,-1.3368947747934524e-17,-3.332047376214967e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
410,6.35525599225933,3.176859308839124,7.105048472410721,-1.2789769243681803e-15,-4.755152872311541e-06,-9.704932383584328e-18,-3.3320473770399744e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
420,6.355255992259344,3.1768593088390724,7.10504847241071,1.1368683772161603e-15,-4.755152871370072e-06,7.411302645325348e-18,-3.3320473764538005e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
430,6.355255992259348,3.176859308839054,7.105048472410705,-3.836930773104541e-15,-4.755152872489177e-06,-2.1609738293373408e-17,-3.332047377105644e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
440,6.355255992259348,3.176859308839048,7.1050484724107035,-1.2789769243681803e-15,-4.755152872824908e-06,-3.936319137275767e-18,-3.332047377325351e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
450,6.355255992259348,3.1768593088390458,7.105048472410702,-1.5631940186722204e-15,-4.755152873075374e-06,-1.2075481280062866e-17,-3.3320473775348554e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
460,6.355255992259348,3.1768593088390458,7.105048472410702,-1.5631940186722204e-15,-4.755152873075374e-06,-1.2075481280062866e-17,-3.3320473775348554e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
470,6.355255992259348,3.1768593088390458,7.105048472410702,-1.5631940186722204e-15,-4.755152873075374e-06,-1.2075481280062866e-17,-3.3320473775348554e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
480,6.355255992259348,3.1768593088390458,7.105048472410702,-1.5631940186722204e-15,-4.755152873075374e-06,-1.2075481280062866e-17,-3.3320473775348554e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
490,6.355255992259348,3.1768593088390458,7.105048472410702,-1.5631940186722204e-15,-4.755152873075374e-06,-1.2075481280062866e-17,-3.3320473775348554e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
500,6.355255992259348,3.1768593088390458,7.105048472410702,-1.5631940186722204e-15,-4.755152873075374e-06,-1.2075481280062866e-17,-3.3320473775348554e-08,0.0,1.010170578956604e-05,1.0,0.99,1.0,0.991
