comparison_max_cycle,method_label,paired_count,fraction_delta_lt_0,fraction_delta_eq_0,fraction_delta_gt_0,mean_delta_rank2_normalized_gap,median_delta_rank2_normalized_gap,q25_delta_rank2_normalized_gap,q75_delta_rank2_normalized_gap,mean_baseline_rank2_normalized_gap,mean_comparison_rank2_normalized_gap,median_baseline_rank2_normalized_gap,median_comparison_rank2_normalized_gap
4,2stage_val_mse,3600,0.4230555555555556,0.1922222222222222,0.38472222222222224,-0.001128317272702607,0.0,-0.028858143168046947,0.022776678875728335,0.07043287576847894,0.06930455849577676,0.05750487212074586,0.05532751155759891
4,spoplus_val_spoplus_loss,3600,0.4230555555555556,0.19944444444444445,0.3775,-0.0011713771065453538,0.0,-0.020331128128509908,0.018587321556813648,0.06320250387557737,0.06203112676903232,0.052814876084387896,0.0502971136695223
5,2stage_val_mse,3600,0.46055555555555555,0.11583333333333333,0.4236111111111111,-0.001647722371678857,0.0,-0.03134086204484569,0.02799243453476412,0.07043287576847894,0.06878515339680023,0.05750487212074586,0.05200972286880896
5,spoplus_val_spoplus_loss,3600,0.485,0.1386111111111111,0.3763888888888889,-0.007127776276063973,0.0,-0.028337530628070335,0.018110660550061743,0.06320250387557737,0.05607472759951346,0.052814876084387896,0.0438870272534135
