regime,max_cycle,max_chain,method_label,solution_rank,row_count,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,mean_rank2_minus_rank1_normalized_gap,median_rank2_minus_rank1_normalized_gap,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_num_cycle_candidates,median_num_cycle_candidates,mean_num_chain_candidates,median_num_chain_candidates
step2b_poly_d8,3,4,2stage_val_mse,1,3600,12.065965031189327,8.678099691867828,0.060909988233192734,0.043772316134636405,0.17722222222222223,0.2386111111111111,0.5313888888888889,nan,nan,0.605443562860015,0.5625,0.0,0.0,nan,nan,nan,nan
step2b_poly_d8,3,4,2stage_val_mse,2,3600,13.774150516903545,11.225199699401855,0.070432875768479,0.05750487212074586,0.08138888888888889,0.16027777777777777,0.4519444444444444,0.009522887535285952,0.006105009789087429,0.5799694663130561,0.5555555555555556,1.2701963685205166,1.01140495483547,nan,nan,nan,nan
step2b_poly_d8,3,4,spoplus_val_spoplus_loss,1,3600,9.719506815328366,7.073301196098328,0.04939248036041256,0.034589617646754965,0.23444444444444446,0.3005555555555556,0.5927777777777777,nan,nan,0.6362370951588683,0.6086956521739131,0.0,0.0,nan,nan,nan,nan
step2b_poly_d8,3,4,spoplus_val_spoplus_loss,2,3600,12.257432146420081,10.563100188970566,0.06320250387557745,0.052814876084387896,0.07194444444444445,0.17583333333333334,0.4797222222222222,0.013810023515164586,0.008538945860233224,0.5831080628240662,0.5555555555555556,1.6097258576546247,1.2030131456065192,nan,nan,nan,nan
step2b_poly_d8,4,4,2stage_val_mse,1,3600,12.746834078894722,9.12155020236969,0.06067438598186467,0.04305710013084059,0.1613888888888889,0.2388888888888889,0.5394444444444444,nan,nan,0.5972813571045681,0.5555555555555556,0.0,0.0,46.62,27.0,196.87,192.0
step2b_poly_d8,4,4,2stage_val_mse,2,3600,14.344513944711847,11.595149032771587,0.0693045584957768,0.05532751155759891,0.07166666666666667,0.1688888888888889,0.475,0.008630172513911818,0.005959238575990983,0.5746494780844913,0.5652173913043478,1.2937777015455658,0.9391585017364292,46.62,27.0,196.87,192.0
step2b_poly_d8,4,4,spoplus_val_spoplus_loss,1,3600,10.764632546614544,7.528799533843994,0.051164774939329735,0.03487571274541321,0.21777777777777776,0.29444444444444445,0.5866666666666667,nan,nan,0.6271166920015961,0.5909090909090909,0.0,0.0,46.62,27.0,196.87,192.0
step2b_poly_d8,4,4,spoplus_val_spoplus_loss,2,3600,12.723785230884742,10.16560043208301,0.062031126769032406,0.0502971136695223,0.057777777777777775,0.1947222222222222,0.49777777777777776,0.010866351829702432,0.006806706238242076,0.5810253533526143,0.5555555555555556,1.7638967901101745,1.2935201001200483,46.62,27.0,196.87,192.0
step2b_poly_d8,5,4,2stage_val_mse,1,3600,13.198698188699781,10.046198666095734,0.06002005537149631,0.043450905934655615,0.15416666666666667,0.21666666666666667,0.5297222222222222,nan,nan,0.5786755240479567,0.55,0.0,0.0,118.3525,51.5,196.87,192.0
step2b_poly_d8,5,4,2stage_val_mse,2,3600,14.884656368011816,11.798403054475784,0.06878515339680027,0.05200972286880896,0.044444444444444446,0.15194444444444444,0.48944444444444446,0.008765098025303788,0.006182792773807476,0.5511203453726146,0.5263157894736842,1.3085786677086586,0.9778198415211108,118.3525,51.5,196.87,192.0
step2b_poly_d8,5,4,spoplus_val_spoplus_loss,1,3600,10.689868115232223,7.934899091720581,0.047960816559506965,0.03504622936814971,0.20972222222222223,0.28805555555555556,0.6113888888888889,nan,nan,0.6116592555485332,0.5625,0.0,0.0,118.3525,51.5,196.87,192.0
step2b_poly_d8,5,4,spoplus_val_spoplus_loss,2,3600,12.068512466762009,9.676101922988892,0.05607472759951348,0.0438870272534135,0.06138888888888889,0.19194444444444445,0.5483333333333333,0.008113911040006453,0.004836222096033578,0.5805437051808511,0.56,1.7365520282806888,1.2766820038113593,118.3525,51.5,196.87,192.0
