regime,method_label,case_type,subset_seed,graph_id,baseline_max_cycle,comparison_max_cycle,baseline_rank2_gap_to_oracle,comparison_rank2_gap_to_oracle,delta_rank2_gap_to_oracle,baseline_rank2_normalized_gap,comparison_rank2_normalized_gap,delta_rank2_normalized_gap,baseline_rank2_same_oracle,comparison_rank2_same_oracle,baseline_num_cycle_candidates,comparison_num_cycle_candidates
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1.json,3,4,9.721400260925293,21.11989974975586,11.398499488830566,0.050035257887751566,0.10870240934220238,0.05866715145445081,False,False,nan,21.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1000.json,3,4,0.7789999842643738,2.533100187778473,1.7541002035140991,0.0037351252957093053,0.012044332365699767,0.008309207069990462,False,False,nan,41.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1010.json,3,4,33.370997712016106,4.788299798965454,-28.58269791305065,0.14379402295133692,0.015930969514486772,-0.12786305343685014,False,False,nan,50.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-102.json,3,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,nan,31.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1022.json,3,4,0.0,8.676299750804901,8.676299750804901,0.0,0.041510675326484656,0.041510675326484656,True,False,nan,34.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1025.json,3,4,11.458300590515137,11.458300590515137,0.0,0.07480397293354753,0.07480397293354753,0.0,False,False,nan,11.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1029.json,3,4,0.6065000295639038,4.011400043964386,3.404900014400482,0.004428255140578282,0.022851576545390287,0.018423321404812003,False,False,nan,9.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-103.json,3,4,31.680199563503265,13.72330117225647,-17.956898391246796,0.15416072726535965,0.06494647681273043,-0.08921425045262922,False,False,nan,141.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1034.json,3,4,13.015700817108154,18.66240030527115,5.646699488162994,0.0497382365213607,0.0652471247484704,0.015508888227109698,False,False,nan,257.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1039.json,3,4,1.9235000610351562,8.95120194554329,7.027701884508133,0.00776498459124747,0.032852823756902835,0.025087839165655365,False,False,nan,27.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1040.json,3,4,17.032600298523903,6.4465001076459885,-10.586100190877914,0.07780708087520387,0.02944843103498945,-0.048358649840214415,False,False,nan,47.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1043.json,3,4,16.199601113796234,18.72040033340454,2.520799219608307,0.07694113067701536,0.08243879922215945,0.005497668545144094,False,False,nan,33.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1052.json,3,4,3.8939006328582764,12.003901213407516,8.11000058054924,0.01825794246246757,0.0504812296725156,0.03222328721004803,False,False,nan,177.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1059.json,3,4,13.894099235534668,14.608900308609009,0.7148010730743408,0.077456406693968,0.08111801497949586,0.003661608285527862,False,False,nan,36.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1080.json,3,4,25.926499588415027,0.0,-25.926499588415027,0.10180437426215808,0.0,-0.10180437426215808,False,True,nan,335.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1083.json,3,4,9.375499725341797,16.228299379348755,6.852799654006958,0.12348857687755321,0.19298474373030228,0.06949616685274906,False,False,nan,24.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1086.json,3,4,29.984099209308624,16.071100056171417,-13.912999153137207,0.19299444313978512,0.09613569379359352,-0.0968587493461916,False,False,nan,23.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1087.json,3,4,16.49909996986389,16.702699437737465,0.2035994678735733,0.05270563921614596,0.052301731853443625,-0.0004039073627023354,False,False,nan,177.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1090.json,3,4,12.937001317739487,4.105900660157204,-8.831100657582283,0.055688501189206624,0.016645493753143465,-0.03904300743606316,False,False,nan,45.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1093.json,3,4,23.214399218559265,2.1692001819610596,-21.045199036598206,0.10481445214713454,0.008611915086921752,-0.09620253706021278,False,False,nan,21.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1098.json,3,4,23.297498881816864,50.57630269229412,27.278803810477257,0.08389829401031823,0.16535277042796243,0.0814544764176442,False,False,nan,274.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1099.json,3,4,11.855900544673204,0.09200000017881393,-11.76390054449439,0.08419570488245294,0.0005759769891439211,-0.08361972789330901,False,False,nan,8.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-110.json,3,4,0.0,18.865501403808594,18.865501403808594,0.0,0.09749280539752661,0.09749280539752661,True,False,nan,42.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1103.json,3,4,39.1296971142292,14.045098811388016,-25.084598302841187,0.21545351378846073,0.07733425284601235,-0.13811926094244836,False,False,nan,27.0
step2b_poly_d8,2stage_val_mse,large_improvement,1,G-1104.json,3,4,8.331801056861877,10.899900823831558,2.568099766969681,0.04563960043022313,0.04575069131832073,0.00011109088809759665,False,False,nan,106.0
