base_graph_id,preserved_count,label_seed_count,preservation_rate,spoplus_better_rate,mean_2stage_rank1_gap,mean_spoplus_rank1_gap,median_rank1_gap_reduction,min_rank1_gap_reduction,max_rank1_gap_reduction,unique_topology_hashes,unique_label_hashes,preserved_label_seeds
G-1560.json,30,50,0.6,1.0,0.29988169229705214,0.024041427141474846,0.2736573262373807,0.10219732875925217,0.4486088679420657,1,50,2 4 5 6 7 11 12 13 14 19 21 22 24 25 26 27 28 29 30 31 32 34 37 39 40 43 44 46 48 49
G-392.json,36,50,0.72,1.0,0.33641936783552806,0.017785073547123026,0.32477245719195713,0.18188449559472963,0.4347950464250538,1,50,1 3 4 5 6 7 9 10 11 12 13 14 15 16 17 19 23 24 27 30 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49
