job_id,topology_id,data_seed,sample_size,training_size,validation_size,method,selected_epoch,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,best_epoch,stop_epoch,stopped_early,hit_max_epoch,best_value,max_epochs
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=050|train=040,G-103,105,50,40,10,2stage,954,validation_mse_loss,13.904754154732322,12.683933141708374,0.30410038721025456,954,974,True,False,13.904754154732322,3000
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=050|train=040,G-103,105,50,40,10,spoplus,669,validation_spoplus_loss,14.039494202371973,2.3090588035583495,0.05957916443399617,669,689,True,False,14.039494202371973,3000
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=100|train=080,G-103,105,100,80,20,2stage,621,validation_mse_loss,13.790386731174753,12.901410451889038,0.3094784832329503,621,641,True,False,13.790386731174753,3000
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=100|train=080,G-103,105,100,80,20,spoplus,233,validation_spoplus_loss,14.37899672185095,2.330239898681641,0.06008899273900568,232,252,True,False,14.379015540436418,3000
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=500|train=400,G-103,105,500,400,100,2stage,731,validation_mse_loss,14.47550466850787,12.486256547927857,0.2991427936068855,731,751,True,False,14.47550466850787,3000
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=500|train=400,G-103,105,500,400,100,spoplus,950,validation_spoplus_loss,12.670432245800628,2.3083686027526857,0.05956200477764496,948,968,True,False,12.670492381141138,3000
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-124,101,50,40,10,2stage,584,validation_mse_loss,17.450541995145763,12.112239330291748,0.12268647482774395,584,604,True,False,17.450541995145763,3000
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-124,101,50,40,10,spoplus,59,validation_spoplus_loss,25.946810689746393,12.603854145050049,0.12765801367489157,59,79,True,False,25.946810689746393,3000
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-124,101,100,80,20,2stage,667,validation_mse_loss,17.35007806996036,12.112239330291748,0.12268647482774395,667,687,True,False,17.35007806996036,3000
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-124,101,100,80,20,spoplus,85,validation_spoplus_loss,25.060823097957996,12.576020442962646,0.12736818891031845,85,105,True,False,25.061455467434133,3000
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-124,101,500,400,100,2stage,972,validation_mse_loss,18.161528358241227,12.112239330291748,0.12268647482774395,972,992,True,False,18.161528358241227,3000
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-124,101,500,400,100,spoplus,176,validation_spoplus_loss,22.640960600943004,12.56404543685913,0.127249366847492,171,191,True,False,22.641092836620164,3000
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-124,102,50,40,10,2stage,540,validation_mse_loss,18.54535476075325,12.160848545074463,0.1231796506540254,540,560,True,False,18.54535476075325,3000
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-124,102,50,40,10,spoplus,70,validation_spoplus_loss,22.25152365882942,12.563118251800537,0.12723119199112148,70,90,True,False,22.251523658829417,3000
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=100|train=080,G-124,102,100,80,20,2stage,673,validation_mse_loss,17.147966386547626,12.112239330291748,0.12268647482774395,673,693,True,False,17.147966386547626,3000
