sample_size,job_count,mean_runtime_seconds,median_runtime_seconds,std_runtime_seconds,mean_test_gap_2stage,mean_test_gap_spoplus,mean_test_gap_improvement,mean_test_normalized_gap_2stage,mean_test_normalized_gap_spoplus,mean_fraction_improved_over_2stage,two_stage_stopped_early_count,two_stage_hit_max_epoch_count,mean_two_stage_stop_epoch,median_two_stage_stop_epoch,spoplus_stopped_early_count,spoplus_hit_max_epoch_count,mean_spoplus_stop_epoch,median_spoplus_stop_epoch
50,90,227.83135555555555,100.134,300.6491220383105,8.42219740366406,4.685615275277032,3.7365821283870275,0.1325771054416927,0.07811596838493536,0.3786777777777778,90,0,710.7,741.5,80,10,580.675,364.0
100,90,432.89105617977526,193.297,598.5018603371979,8.402452174801297,4.575176879755656,3.8272752950456406,0.13210743525103052,0.07638762329717959,0.3904,90,0,726.5333333333333,754.0,76,14,527.921052631579,359.5
500,90,2471.197344827586,1002.362,3065.5487377603295,8.396370681296455,4.432619785939322,3.963750895357132,0.13190706346403638,0.0734277539327577,0.4139777777777778,90,0,737.9222222222222,744.5,74,16,726.8378378378378,549.0
