job_id,topology_id,regime,protocol,data_seed,sample_size,training_size,validation_size,trainer_train_size_arg,max_epochs,early_stop_patience,early_stop_min_delta,status,two_stage_status,spoplus_status,evaluation_status,runtime_seconds,runtime_source,test_gap_2stage,test_gap_spoplus,test_gap_improvement,test_normalized_gap_2stage,test_normalized_gap_spoplus,fraction_improved_over_2stage,two_stage_selected_epoch,spoplus_selected_epoch,two_stage_best_epoch,two_stage_stop_epoch,two_stage_stopped_early,two_stage_hit_max_epoch,two_stage_best_value,spoplus_best_epoch,spoplus_stop_epoch,spoplus_stopped_early,spoplus_hit_max_epoch,spoplus_best_value,test_hash,train_prefix_hash,validation_hash,job_dir
G-103|step2c_poly_d8_mult_eps050|seed=000104|sample_size=100|train=080,G-103,step2c_poly_d8_mult_eps050,screen,104,100,80,20,80,3000,20,0.0001,success,success,success,success,112.133,formal_launcher_log,12.245052534103394,2.3090588035583495,9.935993730545045,0.29346507508777525,0.05957916443399617,0.873,759,463,759,779,True,False,15.459843291897055,463,483,True,False,12.386388720937578,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,29cb24ad9d57a40c316b725a33f69f834c273ec630184381b5719f68abc1bf5e,19956e85703a9741626e19acecc230c45c773bfeb4c732d5c886c4d51af97edb,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000104/sample_size=100
G-103|step2c_poly_d8_mult_eps050|seed=000104|sample_size=500|train=400,G-103,step2c_poly_d8_mult_eps050,screen,104,500,400,100,400,3000,20,0.0001,success,success,success,success,542.749,formal_launcher_log,12.664373943328858,2.3083686027526857,10.356005340576171,0.3036142489042777,0.05956200477764496,0.891,649,510,649,669,True,False,14.251957328627547,509,529,True,False,12.385749281040226,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,8900d0a5026497e04aac3fef2b8a1c76e9273ae3917699e588da4f84afc4fb1c,488a56edeeacef9efbdcef4de3588a72c5efffc6b1d8c4a6181fe9bc04f5953d,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000104/sample_size=500
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=050|train=040,G-103,step2c_poly_d8_mult_eps050,screen,105,50,40,10,40,3000,20,0.0001,success,success,success,success,90.134,formal_launcher_log,12.683933141708374,2.3090588035583495,10.374874338150024,0.30410038721025456,0.05957916443399617,0.891,954,669,954,974,True,False,13.904754154732322,669,689,True,False,14.039494202371973,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,1a96f42506b2b6c672c987f12ef3432e48a88268f7295dd7a98501250204e41d,aae1bdef1c7bdd8bac0dd6c1a4b830928129f4284c8cbff2caaa8921df463a21,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000105/sample_size=050
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=100|train=080,G-103,step2c_poly_d8_mult_eps050,screen,105,100,80,20,80,3000,20,0.0001,success,success,success,success,69.112,formal_launcher_log,12.901410451889038,2.330239898681641,10.571170553207397,0.3094784832329503,0.06008899273900568,0.895,621,233,621,641,True,False,13.790386731174753,232,252,True,False,14.379015540436418,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,154953874ce4182dd2b63e864431d4076b01a806b7b44cec65eb2a3c252e40b0,16edc043964505ce6eb7fc160c71621aa8206b227733f2960d6a81337dd186e8,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000105/sample_size=100
G-103|step2c_poly_d8_mult_eps050|seed=000105|sample_size=500|train=400,G-103,step2c_poly_d8_mult_eps050,screen,105,500,400,100,400,3000,20,0.0001,success,success,success,success,999.36,formal_launcher_log,12.486256547927857,2.3083686027526857,10.17788794517517,0.2991427936068855,0.05956200477764496,0.884,731,950,731,751,True,False,14.47550466850787,948,968,True,False,12.670492381141138,5ec53108898d7c392022fc2c0a8b195c06cc514a0387c0eecd163b6591fd51a2,53f517c2e363230adbfb93b886f49aa3bfdea83c1e2fb6b2bfe44390c7d2df8f,e3bf249c530a4c41fb9c59ea396aead71a7cf73a9788380dc59938fc6391fb65,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-103/data_seed=000105/sample_size=500
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=050|train=040,G-124,step2c_poly_d8_mult_eps050,screen,101,50,40,10,40,3000,20,0.0001,success,success,success,success,57.074,formal_launcher_log,12.112239330291748,12.603854145050049,-0.49161481475830077,0.12268647482774395,0.12765801367489157,0.0,584,59,584,604,True,False,17.450541995145763,59,79,True,False,25.946810689746393,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,3869e205a09ec0acee09deb0e163c05ec46f3d22f2e8a4e4d0a17ee195b1f59b,7178f61647af4a46c841351b2fbd1957bcaed52f30bb7da0544f973b74f6956a,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000101/sample_size=050
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=100|train=080,G-124,step2c_poly_d8_mult_eps050,screen,101,100,80,20,80,3000,20,0.0001,success,success,success,success,94.118,formal_launcher_log,12.112239330291748,12.576020442962646,-0.46378111267089844,0.12268647482774395,0.12736818891031845,0.0,667,85,667,687,True,False,17.35007806996036,85,105,True,False,25.061455467434133,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,1a4894116f705c63d4589045151fe5c088210b3ac09d85513fcd63a5d38ac079,fbbb1d5c458c838a58e428692eb62d7665b838be15b2896b86ddc81b8f414109,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000101/sample_size=100
G-124|step2c_poly_d8_mult_eps050|seed=000101|sample_size=500|train=400,G-124,step2c_poly_d8_mult_eps050,screen,101,500,400,100,400,3000,20,0.0001,success,success,success,success,609.831,formal_launcher_log,12.112239330291748,12.56404543685913,-0.4518061065673828,0.12268647482774395,0.127249366847492,0.0,972,176,972,992,True,False,18.161528358241227,171,191,True,False,22.641092836620164,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,c348b8e27d59f2c8d8de732f52e6bb6429b648aecb063ea19c6d206d186a2e2b,ae6b5ec2fc6e8f57ebd45f786ae74514ac18e0c6d67167315a2a0bb9ab88bd77,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000101/sample_size=500
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=050|train=040,G-124,step2c_poly_d8_mult_eps050,screen,102,50,40,10,40,3000,20,0.0001,success,success,success,success,60.084,formal_launcher_log,12.160848545074463,12.563118251800537,-0.4022697067260742,0.1231796506540254,0.12723119199112148,0.0,540,70,540,560,True,False,18.54535476075325,70,90,True,False,22.251523658829417,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,b497375d83c45b360f1f106571ff3890806ff52d2407ad453d62a74048b7a54e,98e5ee3575459de1e320939f1b4936c5509346dcba4ca3135ba121d149b399ee,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000102/sample_size=050
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=100|train=080,G-124,step2c_poly_d8_mult_eps050,screen,102,100,80,20,80,3000,20,0.0001,success,success,success,success,87.111,formal_launcher_log,12.112239330291748,12.576020442962646,-0.46378111267089844,0.12268647482774395,0.12736818891031845,0.0,673,72,673,693,True,False,17.147966386547626,72,92,True,False,20.92084290037573,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,77faf20153a0a76a5acfc129063da2d552e2ce55e1eeb0470e3facbb8125b26a,0b8393c49105b17d7d719d757989311bef2d535e957dd24f31261abd703e0132,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000102/sample_size=100
