dataset_key,train_size,method,selection_metric,mean_normalized_gap,median_normalized_gap,zero_gap_fraction,nonzero_mean_normalized_gap
heldout400,50,2stage,validation_mse_loss,0.0061104630092959945,5.4685248175492305e-05,0.5,0.012220926018591989
heldout400,50,e2e,validation_decision_gap,0.005918161549252739,0.0,0.505,0.0119558819176823
heldout400,50,e2e,validation_fy_loss,0.005466565251075733,0.0,0.5375,0.011819600542866448
heldout400,200,2stage,validation_mse_loss,0.006095477828797544,0.0,0.5025,0.012252216741301596
heldout400,200,e2e,validation_decision_gap,0.0061104630092959945,5.4685248175492305e-05,0.5,0.012220926018591989
heldout400,200,e2e,validation_fy_loss,0.005629294501772244,0.0,0.515,0.011606792787159266
heldout400,600,2stage,validation_mse_loss,0.0059089739868425275,0.0,0.505,0.011937321185540459
heldout400,600,e2e,validation_decision_gap,0.0059089739868425275,0.0,0.505,0.011937321185540459
heldout400,600,e2e,validation_fy_loss,0.005497336014803804,0.0,0.515,0.01133471343258516
heldout400,1200,2stage,validation_mse_loss,0.006085478327501828,0.0,0.505,0.0122938956111148
heldout400,1200,e2e,validation_decision_gap,0.0061104630092959945,5.4685248175492305e-05,0.5,0.012220926018591989
heldout400,1200,e2e,validation_fy_loss,0.005504430460510119,0.0,0.5175,0.011408146032145324
unseen1000,50,2stage,validation_mse_loss,0.005312328414481815,0.0,0.55,0.01180517425440403
unseen1000,50,e2e,validation_decision_gap,0.005339368257770039,0.0,0.547,0.0117866848957396
unseen1000,50,e2e,validation_fy_loss,0.005495020849297425,0.0,0.549,0.012184081705759256
unseen1000,200,2stage,validation_mse_loss,0.005317637839085688,0.0,0.549,0.011790771261830797
unseen1000,200,e2e,validation_decision_gap,0.005317637839085688,0.0,0.549,0.011790771261830797
unseen1000,200,e2e,validation_fy_loss,0.005282040423326915,0.0,0.549,0.011711841293407793
unseen1000,600,2stage,validation_mse_loss,0.00531187295977357,0.0,0.549,0.01177798882433164
unseen1000,600,e2e,validation_decision_gap,0.005325993974131351,0.0,0.548,0.011783172509140159
unseen1000,600,e2e,validation_fy_loss,0.0054485957172860635,0.0,0.54,0.011844773298447965
unseen1000,1200,2stage,validation_mse_loss,0.005338791193314517,0.0,0.549,0.011837674486284961
unseen1000,1200,e2e,validation_decision_gap,0.005352912207672299,0.0,0.548,0.011842726123168803
unseen1000,1200,e2e,validation_fy_loss,0.005308027758333501,0.0,0.548,0.011743424244100666
realistic2000,50,2stage,validation_mse_loss,0.06602509248607968,0.058015433228871455,0.0745,0.07133991624643943
realistic2000,50,e2e,validation_decision_gap,0.06612985479263828,0.058015433228871455,0.074,0.07141453001364824
realistic2000,50,e2e,validation_fy_loss,0.0671791121671315,0.059269659165161956,0.0695,0.07219678900282805
realistic2000,200,2stage,validation_mse_loss,0.06587949357261348,0.05758538316690943,0.0745,0.07118259705306697
realistic2000,200,e2e,validation_decision_gap,0.06590684399671602,0.057636539794865646,0.0745,0.07121214910504162
realistic2000,200,e2e,validation_fy_loss,0.06631494929398306,0.05822670456541877,0.074,0.07161441608421498
realistic2000,600,2stage,validation_mse_loss,0.0660582006313298,0.058015433228871455,0.0745,0.07137568949900573
realistic2000,600,e2e,validation_decision_gap,0.0660582006313298,0.058015433228871455,0.0745,0.07137568949900573
realistic2000,600,e2e,validation_fy_loss,0.06617745413132925,0.05822670456541877,0.0745,0.07150454255140924
realistic2000,1200,2stage,validation_mse_loss,0.06592393576843887,0.057712442577506684,0.0745,0.07123061671360222
realistic2000,1200,e2e,validation_decision_gap,0.06595939177238526,0.05794133901572314,0.0745,0.07126892682051351
realistic2000,1200,e2e,validation_fy_loss,0.06618116832104348,0.058281050675924886,0.0745,0.07150855572235927
