selection_rank,topology_id,train_seed_count,success_count,failed_count,positive_seed_count,zero_seed_count,negative_seed_count,win_rate,loss_rate,mean_2stage_gap,median_2stage_gap,mean_spoplus_gap,median_spoplus_gap,mean_spoplus_improvement_gap,median_spoplus_improvement_gap,min_spoplus_improvement_gap,max_spoplus_improvement_gap,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,complexity_bin,structural_type,landscape_regime,screening_score,selection_reason,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,candidate_conflict_density,mean_candidates_per_vertex,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_top1_top2_margin,mean_pairwise_oracle_jaccard
43,G-661,5,5,0,0,5,0,0.000000,0.000000,0.444575,0.444575,0.444575,0.444575,0.000000,0.000000,0.000000,0.000000,299.729800,195.177000,557.469000,low_medium,chain_only,proxy_aligned,0.19380544,quota_low_medium:chain_only:proxy_aligned,15,0,0,15,0.5714285714285714,1.7727272727272727,2,0.2787693717685874,0.92,0.08,0.00634477460437131,0.5402500000000039,0.9008754208754208
44,G-311,5,5,0,0,5,0,0.000000,0.000000,0.011078,0.011078,0.011078,0.011078,0.000000,0.000000,0.000000,0.000000,137.804200,141.079000,160.032000,low_medium,cycle_chain,easy_control,0.25002563,quota_low_medium:cycle_chain:easy_control,17,2,1,15,0.9485294117647058,2.772727272727273,1,0.0,1.0,0.0,0.0,0.3155500000000089,1.0
45,G-624,5,5,0,0,5,0,0.000000,0.000000,0.005963,0.005963,0.005963,0.005963,0.000000,0.000000,0.000000,0.000000,237.229800,210.876000,365.084000,low_medium,chain_only,easy_control,0.14445401,quota_low_medium:chain_only:easy_control,10,0,0,10,0.8666666666666667,1.5909090909090908,1,0.0,1.0,0.0,0.0,0.17784999999999584,1.0
46,G-164,5,5,0,0,5,0,0.000000,0.000000,4.584071,4.584071,4.584071,4.584071,0.000000,0.000000,0.000000,0.000000,189.651200,188.824000,290.045000,low_medium,cycle_chain,proxy_hard,0.72817381,quota_low_medium:cycle_chain:proxy_hard,20,1,0,19,0.7631578947368421,2.727272727272727,5,1.5635885774494045,0.31,0.82,0.12769188574506374,0.9718000000000018,0.46625733525733526
47,G-103,5,5,0,5,0,0,1.000000,0.000000,12.628347,12.634731,2.605099,2.605099,10.023248,10.029632,9.838526,10.176974,233.996800,237.580000,252.101000,low_medium,chain_only,proxy_hard,0.66987841,quota_low_medium:chain_only:proxy_hard,13,0,0,13,0.6923076923076923,1.5,7,1.6112149847612451,0.39,0.96,0.2502273128676389,2.165800000000001,0.42994612794612797
48,G-508,5,5,0,5,0,0,1.000000,0.000000,2.339030,2.340776,2.258272,2.260894,0.080758,0.079883,0.073245,0.088475,60.859000,58.868000,70.698000,low_medium,cycle_chain,high_variance,0.48227736,quota_low_medium:cycle_chain:high_variance,20,1,0,19,0.8578947368421053,3.272727272727273,4,0.9125573884797396,0.62,0.38,0.037198313607824995,2.264000000000003,0.6436219336219337
49,G-846,5,5,0,1,0,4,0.200000,0.800000,0.520740,0.520485,0.522397,0.523223,-0.001657,-0.002738,-0.003531,0.002200,235.755200,214.841000,321.880000,low_medium,chain_only,high_variance,0.43495694,quota_low_medium:chain_only:high_variance,10,0,0,10,0.7333333333333333,1.2272727272727273,3,0.9978737678714716,0.52,0.48,0.022025508026194046,0.05579999999999785,0.5953131313131313
50,G-458,5,5,0,0,5,0,0.000000,0.000000,0.518374,0.518374,0.518374,0.518374,0.000000,0.000000,0.000000,0.000000,481.823400,442.947000,631.962000,low_medium,cycle_chain,neutral,0.42249181,quota_low_medium:cycle_chain:neutral,13,1,0,12,0.782051282051282,1.5909090909090908,2,0.6802920001921535,0.58,0.42,0.030519540330904184,0.8049999999999997,0.8031515151515152
51,G-541,5,5,0,2,3,0,0.400000,0.000000,0.901515,0.901296,0.901296,0.901296,0.000219,0.000000,0.000000,0.000547,104.886600,75.435000,195.663000,low_medium,chain_only,neutral,0.35926804,quota_low_medium:chain_only:neutral,9,0,0,9,0.8333333333333334,1.1363636363636365,2,0.6881388137135884,0.55,0.45,0.030979098957539024,2.7398499999999935,0.6666666666666666
52,G-222,5,5,0,0,5,0,0.000000,0.000000,0.009010,0.009010,0.009010,0.009010,0.000000,0.000000,0.000000,0.000000,102.230800,101.994000,123.057000,low_medium,cycle_chain,proxy_aligned,0.27006288,quota_low_medium:cycle_chain:proxy_aligned,17,2,1,15,0.875,2.5454545454545454,2,0.13474216817976675,0.97,0.03,2.0566568431210456e-05,0.35749999999999815,0.9804040404040404
53,G-705,5,5,0,0,0,5,0.000000,1.000000,0.021377,0.021400,0.023289,0.023431,-0.001913,-0.002186,-0.002335,-0.001428,103.560800,95.171000,133.318000,low_medium,chain_only,proxy_aligned,0.19138759,quota_low_medium:chain_only:proxy_aligned,12,0,0,12,0.7424242424242424,1.6363636363636365,2,0.25363894692169137,0.93,0.07,8.076608981223369e-05,0.33684999999999476,0.9561616161616161
54,G-112,5,5,0,0,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,209.811400,217.838000,235.250000,low_medium,cycle_chain,easy_control,0.22170178,quota_low_medium:cycle_chain:easy_control,13,1,1,12,0.9230769230769231,2.1363636363636362,1,0.0,1.0,0.0,0.0,1.0171499999999938,1.0
55,G-530,5,5,0,0,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.853400,83.938000,111.490000,low_medium,chain_only,easy_control,0.14267653,quota_low_medium:chain_only:easy_control,10,0,0,10,0.8888888888888888,1.5,1,0.0,1.0,0.0,0.0,0.2597499999999968,1.0
56,G-789,5,5,0,0,5,0,0.000000,0.000000,3.401209,3.401209,3.401209,3.401209,0.000000,0.000000,0.000000,0.000000,1018.976800,1135.239000,1303.650000,low_medium,cycle_chain,proxy_hard,0.71479529,quota_low_medium:cycle_chain:proxy_hard,17,1,1,16,0.8897058823529411,2.5454545454545454,6,1.7787053699024375,0.2,0.8,0.09094563260601565,1.5266500000000018,0.5205348725348725
57,G-742,5,5,0,5,0,0,1.000000,0.000000,3.909291,3.905634,1.517243,1.452636,2.392048,2.447192,2.157707,2.493300,131.235400,125.173000,160.296000,low_medium,chain_only,proxy_hard,0.66474301,quota_low_medium:chain_only:proxy_hard,18,0,0,18,0.869281045751634,2.409090909090909,4,1.131955757728163,0.55,0.83,0.13313823577467412,1.616200000000001,0.527014911014911
58,G-383,5,5,0,0,0,5,0.000000,1.000000,1.460895,1.462489,1.477933,1.479603,-0.017038,-0.017712,-0.021654,-0.010141,562.603600,607.496000,678.850000,low_medium,cycle_chain,high_variance,0.48139312,quota_low_medium:cycle_chain:high_variance,11,1,0,10,0.7272727272727273,1.6363636363636365,4,1.1684229913257704,0.56,0.44,0.023388718138135388,1.8579499999999953,0.7257239057239057
59,G-243,5,5,0,5,0,0,1.000000,0.000000,4.345949,4.339033,3.899378,3.892724,0.446571,0.444464,0.430186,0.468724,69.990400,70.473000,84.028000,low_medium,chain_only,high_variance,0.43141766,quota_low_medium:chain_only:high_variance,13,0,0,13,0.6923076923076923,1.5,4,1.0194287442412808,0.6,0.4,0.049887792083732854,1.736950000000002,0.481010101010101
60,G-948,5,5,0,5,0,0,1.000000,0.000000,0.843724,0.843724,0.623962,0.614262,0.219762,0.229462,0.191543,0.230551,153.142000,146.416000,205.653000,low_medium,cycle_chain,neutral,0.40789962,quota_low_medium:cycle_chain:neutral,12,1,0,11,0.7575757575757576,1.8636363636363635,2,0.6899437584583995,0.54,0.46,0.019510754715560637,1.7921000000000014,0.6863636363636364
