epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap
0,1.6236203565420875,3.3521429192297485,7.119705165624619,6.5741152013987305,14.409663543701171,11.551857635498047
10,2.5814185050162703,2.3764326207288855,6.127113188505173,5.580972714424133,10.708247528076171,9.125486516952515
20,3.284929387621609,1.6106208443703651,5.909876885414124,5.3363870139122005,9.100748672485352,8.36913427734375
30,3.5499942352774516,1.3266983129807117,5.942798309326172,5.362712376654148,9.227646560668946,8.439059646606445
40,3.457525691161195,1.4773302495550578,5.92137900352478,5.340852029591799,9.69562873840332,8.33115696334839
50,3.2794861807470417,1.6923771489183566,5.91156290769577,5.337246846035123,9.30710060119629,8.458488464355469
60,3.2114663970399295,1.7171816472508803,5.912100684642792,5.341378860726953,9.682298355102539,8.519228708267212
70,3.2247995234210243,1.6322391637928266,5.909568359851837,5.338866937667132,9.100748672485352,8.434091093063355
80,3.241045114647219,1.5955796573572714,5.909320936203003,5.3384292633831505,9.100748672485352,8.396107822418212
90,3.252398373660712,1.6052080814189564,5.909437413215637,5.3377601890861985,9.100748672485352,8.39536162185669
100,3.242564493929111,1.6165736137452957,5.909437472820282,5.338077328130603,9.100748672485352,8.402313240051269
110,3.232265711116642,1.632114549517245,5.909600276947021,5.338493622332812,9.100748672485352,8.43971973991394
120,3.2524401796155784,1.6119532291597618,5.909482345581055,5.337675268918276,9.100748672485352,8.40424889755249
130,3.2494056086962906,1.5960999295398177,5.909379930496216,5.338038703873753,9.100748672485352,8.390815422058106
140,3.2322655316309907,1.6204506212079552,5.909425599575043,5.338535654827952,9.100748672485352,8.422244201660156
150,3.2149673829086485,1.6192672141358204,5.909341313838959,5.339424911409616,9.100748672485352,8.434316579818725
160,3.219617328724627,1.6142519452011002,5.909291594028473,5.339219403848052,9.100748672485352,8.43340258026123
170,3.233351219287083,1.6114288054126553,5.9093311142921445,5.338562013849616,9.100748672485352,8.42568286895752
180,3.2604879496356607,1.6098563644194945,5.909550731182098,5.337351301968098,9.100748672485352,8.40908098602295
190,3.226967570862639,1.587517529263745,5.90932115316391,5.339271597027778,9.100748672485352,8.398076522827148
200,3.229845384055326,1.6131532057250406,5.909326534271241,5.338714183360338,9.100748672485352,8.420923595428468
210,3.254119725380685,1.6248786362135945,5.909631278514862,5.3374986508488655,9.100748672485352,8.42166979598999
220,3.245558042006551,1.6236299554101015,5.909548439979553,5.337888599708676,9.100748672485352,8.421036907196045
230,3.2429679545961085,1.6185280738030017,5.909464800357819,5.338041887521744,9.100748672485352,8.421783107757568
240,3.282697237338509,1.623662559802196,5.909955332279205,5.336362467199564,9.100748672485352,8.407775493621827
250,3.2544312004627924,1.6004841678397106,5.9094371676445006,5.337741349801421,9.100748672485352,8.398822723388673
260,3.2653576123848698,1.637684145864902,5.909907946586609,5.3370104110986,9.100748672485352,8.430757759094238
270,3.2256496245293445,1.6150641074923286,5.909325156211853,5.338904800027609,9.100748672485352,8.431503959655762
280,3.247332625754022,1.6170425682463159,5.9094817304611205,5.337854417338967,9.100748672485352,8.41939864730835
290,3.2999963929286826,1.6308845631979378,5.910348665714264,5.335739141076803,9.100748672485352,8.405060592651367
300,3.2093658556636915,1.6317589030685218,5.909520812034607,5.339682985544204,9.100748672485352,8.424518243789674
310,3.205681609937344,1.6099141515269102,5.909245507717133,5.340012601226568,9.100748672485352,8.433305477142333
320,3.2470758034455036,1.6197245114492138,5.909512188434601,5.337843482315541,9.100748672485352,8.43448942565918
330,3.2523182145392973,1.6528922051404393,5.910105278491974,5.337647318273783,9.100748672485352,8.424643342971802
340,3.231401298236195,1.626520557590805,5.909512288570404,5.338547499373555,9.100748672485352,8.43558378982544
350,3.2336038290023597,1.576335405668969,5.909486083984375,5.339238897919655,9.100748672485352,8.343512872695923
360,3.2801691408219797,1.5971866113308042,5.9097419714927675,5.3367705495655535,9.100748672485352,8.343322774887085
370,3.2243580842905715,1.631016094812547,5.909547991752625,5.3388907870054245,9.100748672485352,8.438839338302612
380,3.2375849732825066,1.622906848959204,5.909488344192505,5.33826565541327,9.100748672485352,8.430815982818604
390,3.290447373757636,1.5804808295130377,5.910000751018524,5.33681277038157,9.444266738891601,8.344006023406983
400,3.231300922484056,1.6070128087367896,5.9092971181869505,5.338713576346636,9.100748672485352,8.392663536071778
410,3.2077742248356405,1.631705300031124,5.909518136978149,5.339770089805127,9.30710060119629,8.425392747879028
420,3.2825352787218236,1.6019534768527404,5.909788880348206,5.3365977402329445,9.100748672485352,8.345481573104859
430,3.253156857836198,1.626697559533955,5.90964579820633,5.337533631369472,9.100748672485352,8.418450309753418
440,3.220178627403437,1.6213571349367262,5.909389028549194,5.3391384956240655,9.100748672485352,8.43006978225708
450,3.249348451778129,1.6135898606066459,5.9094660139083866,5.337795821353793,9.100748672485352,8.418970397949218
460,3.198145035355781,1.622123104637333,5.909391484260559,5.340339450374246,9.100748672485352,8.425978189468383
470,3.2694150009710556,1.5867949268576638,5.9096118617057805,5.337404743432999,9.100748672485352,8.340154790878296
480,3.288858457910227,1.612945507128236,5.909956929683685,5.336221388116479,9.100748672485352,8.364990226745606
490,3.2296336596784916,1.6048879753436884,5.909281234741211,5.338824183657765,9.100748672485352,8.397522983551026
500,3.235611161039595,1.5956107085299491,5.909291357994079,5.338684468358755,9.100748672485352,8.395684020996093
