case_label,method_label,near_threshold,row_count,mean_rank1_normalized_gap,mean_rank2_normalized_gap,mean_rank2_minus_rank1_normalized_gap,median_rank2_minus_rank1_normalized_gap,rank2_near_threshold_count,rank2_near_threshold_rate,rank2_same_oracle_rate,mean_rank2_predicted_margin_from_best
case_a_bad_prediction_irrelevant,2stage_val_mse,0.05,3,0.0,0.045693890877686875,0.045693890877686875,0.0209736493449517,2,0.6666666666666666,0.0,2.3932516863647018
case_a_bad_prediction_irrelevant,spoplus_val_spoplus_loss,0.05,3,0.0,0.03443170026010141,0.03443170026010141,0.007357797551349641,2,0.6666666666666666,0.0,2.717100506080309
case_b_different_solution_near_optimal,2stage_val_mse,0.05,3,0.0009973834838091526,0.01685542984394038,0.01585804636013123,0.009570861834614435,3,1.0,0.3333333333333333,2.3631815074043536
case_b_different_solution_near_optimal,spoplus_val_spoplus_loss,0.05,3,0.0009973834838091526,0.02595383007393341,0.02495644659012426,0.03686606252459351,3,1.0,0.3333333333333333,2.13586106564901
case_c_spoplus_fixes_2stage,2stage_val_mse,0.05,3,0.30745990431538706,0.2131639514123612,-0.09429595290302585,-0.00806332799959969,1,0.3333333333333333,0.0,1.3626838415992684
case_c_spoplus_fixes_2stage,spoplus_val_spoplus_loss,0.05,3,0.030807582390108047,0.13344599345306016,0.10263841106295211,0.025326688510099775,1,0.3333333333333333,0.0,1.6087595526449736
