case_label,case_id,case_type,subset_seed,graph_id,method_label,rank1_gap_to_oracle,rank2_gap_to_oracle,rank2_minus_rank1_gap_to_oracle,rank1_normalized_gap,rank2_normalized_gap,rank2_minus_rank1_normalized_gap,rank1_same_oracle,rank2_same_oracle,rank1_jaccard_oracle,rank2_jaccard_oracle,rank2_predicted_margin_from_best
case_a_bad_prediction_irrelevant,case_a_bad_prediction_irrelevant_001,easy_low_gap,41,G-234.json,2stage_val_mse,0.0,0.9670000076293945,0.9670000076293945,0.0,0.007357797551349641,0.007357797551349641,True,False,1.0,0.9285714285714286,3.0259449755225774
case_a_bad_prediction_irrelevant,case_a_bad_prediction_irrelevant_001,easy_low_gap,41,G-234.json,spoplus_val_spoplus_loss,0.0,0.9670000076293945,0.9670000076293945,0.0,0.007357797551349641,0.007357797551349641,True,False,1.0,0.9285714285714286,4.7257507460399495
case_a_bad_prediction_irrelevant,case_a_bad_prediction_irrelevant_002,easy_low_gap,41,G-994.json,2stage_val_mse,0.0,1.6821999549865723,1.6821999549865723,0.0,0.0209736493449517,0.0209736493449517,True,False,1.0,0.9,4.135457932813779
case_a_bad_prediction_irrelevant,case_a_bad_prediction_irrelevant_002,easy_low_gap,41,G-994.json,spoplus_val_spoplus_loss,0.0,7.431500434875488,7.431500434875488,0.0,0.09265586042010013,0.09265586042010013,True,False,1.0,0.6666666666666666,3.1021705664682884
case_a_bad_prediction_irrelevant,case_a_bad_prediction_irrelevant_003,large_improvement,25,G-1516.json,2stage_val_mse,0.0,6.276899933815002,6.276899933815002,0.0,0.10875022573675927,0.10875022573675927,True,False,1.0,0.7272727272727273,0.01835215075774954
case_a_bad_prediction_irrelevant,case_a_bad_prediction_irrelevant_003,large_improvement,25,G-1516.json,spoplus_val_spoplus_loss,0.0,0.18939995765686035,0.18939995765686035,0.0,0.00328144280885445,0.00328144280885445,True,False,1.0,0.8,0.3233802057326898
case_b_different_solution_near_optimal,case_b_different_solution_near_optimal_001,large_improvement,1,G-696.json,2stage_val_mse,0.1408989429473877,2.236198902130127,2.0952999591827393,0.000643594875131222,0.010214456709745657,0.009570861834614435,False,False,0.6818181818181818,0.7142857142857143,5.75114678413496
case_b_different_solution_near_optimal,case_b_different_solution_near_optimal_001,large_improvement,1,G-696.json,spoplus_val_spoplus_loss,0.1408989429473877,8.211797952651978,8.07089900970459,0.000643594875131222,0.037509657399724734,0.03686606252459351,False,False,0.6818181818181818,0.6086956521739131,3.60491546311232
case_b_different_solution_near_optimal,case_b_different_solution_near_optimal_002,large_improvement,1,G-1372.json,2stage_val_mse,0.2772001326084137,0.0,-0.2772001326084137,0.0011736016522112867,0.0,-0.0011736016522112867,False,True,0.6086956521739131,1.0,1.096348103547598
case_b_different_solution_near_optimal,case_b_different_solution_near_optimal_002,large_improvement,1,G-1372.json,spoplus_val_spoplus_loss,0.2772001326084137,0.0,-0.2772001326084137,0.0011736016522112867,0.0,-0.0011736016522112867,False,True,0.6086956521739131,1.0,1.751900724219638
case_b_different_solution_near_optimal,case_b_different_solution_near_optimal_003,large_improvement,1,G-607.json,2stage_val_mse,0.12900030612945557,4.430300354957581,4.301300048828125,0.0011749539240849488,0.04035183282207549,0.03917687889799054,False,False,0.7142857142857143,0.6,0.24204963453050254
case_b_different_solution_near_optimal,case_b_different_solution_near_optimal_003,large_improvement,1,G-607.json,spoplus_val_spoplus_loss,0.12900030612945557,4.430300354957581,4.301300048828125,0.0011749539240849488,0.04035183282207549,0.03917687889799054,False,False,0.7142857142857143,0.6,1.0507670096150719
case_c_spoplus_fixes_2stage,case_c_spoplus_fixes_2stage_001,large_improvement,1,G-392.json,2stage_val_mse,81.12060190737247,82.54640175402164,1.42579984664917,0.31384871056929403,0.31936500893098146,0.005516298361687433,False,False,0.4074074074074074,0.4074074074074074,0.4983402023347878
case_c_spoplus_fixes_2stage,case_c_spoplus_fixes_2stage_001,large_improvement,1,G-392.json,spoplus_val_spoplus_loss,0.0,6.546199321746826,6.546199321746826,0.0,0.025326688510099775,0.025326688510099775,True,False,1.0,0.8,2.008760968801056
case_c_spoplus_fixes_2stage,case_c_spoplus_fixes_2stage_002,weak_borderline_improvement,30,G-1560.json,2stage_val_mse,58.37680101394653,2.3894009590148926,-55.98740005493164,0.29230506826027675,0.011964239189111428,-0.2803408290711653,False,False,0.38461538461538464,0.5714285714285714,2.4933632189154196
case_c_spoplus_fixes_2stage,case_c_spoplus_fixes_2stage_002,weak_borderline_improvement,30,G-1560.json,spoplus_val_spoplus_loss,2.3894009590148926,57.91520178318024,55.525800824165344,0.011964239189111428,0.28999374265979033,0.2780295034706789,False,False,0.5714285714285714,0.25925925925925924,1.5434082441170176
case_c_spoplus_fixes_2stage,case_c_spoplus_fixes_2stage_003,large_improvement,1,G-39.json,2stage_val_mse,50.128197968006134,48.849997609853745,-1.2782003581523895,0.3162259341165904,0.3081626061169907,-0.00806332799959969,False,False,0.375,0.29411764705882354,1.096348103547598
case_c_spoplus_fixes_2stage,case_c_spoplus_fixes_2stage_003,large_improvement,1,G-39.json,spoplus_val_spoplus_loss,12.754298686981201,13.476998805999756,0.7227001190185547,0.08045850798121272,0.08501754918929036,0.004559041208077638,False,False,0.75,0.75,1.2741094450168475
