epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap
0,1.6236203565420875,3.3521429192297485,6.248670603260398,5.728410990163684,9.437740519841512,8.616784415245057
10,2.5992842741363624,2.3843360299425154,5.184756001966695,4.722447919815779,6.66016269048055,6.20852349948883
20,3.4279039784588496,1.7287566915856676,4.8814574250330525,4.44127871876955,5.848937972386678,5.405114281654358
30,4.002815836521307,1.7228584543892722,4.809763061913351,4.372543850600719,5.919541219075521,5.361522922515869
40,4.336582216068626,2.035450221049206,4.769491308393578,4.329500452697277,5.885746428171793,5.406924826622009
50,4.510212978949331,2.214445998912226,4.767744434550405,4.324962589606643,5.8927693176269536,5.413330536842346
60,4.588112124167153,2.190443869460134,4.767220354986687,4.324464809298515,5.8923968442281085,5.407381350517273
70,4.603643824874561,2.1235822866417666,4.767029971654217,4.325137426435948,5.900364246368408,5.4049249334335325
80,4.578991985556157,2.1175943063061604,4.766767336204648,4.325061732918024,5.900364246368408,5.406453482627868
90,4.548670276340183,2.1359143988779445,4.766466528835396,4.324627868101,5.885158265431722,5.4143816213607785
100,4.530085492467715,2.131155723376397,4.766389488987625,4.324686618730426,5.88507584253947,5.416164504051208
110,4.519425299858184,2.119082907107109,4.76639300165077,4.324880249634385,5.885664005279541,5.415900004386902
120,4.511788067712536,2.1257794539831787,4.766367655110856,4.32479943472147,5.882307605743408,5.4155149068832396
130,4.513683028523826,2.126449657390979,4.766367394650976,4.324784319043159,5.882307605743408,5.4155149068832396
140,4.51418533412744,2.123431253854114,4.766372420713306,4.324825664520263,5.882307605743408,5.4155149068832396
150,4.516767279111726,2.1248213199542345,4.766371419889231,4.324798250436783,5.88289576848348,5.4155149068832396
160,4.517483089392479,2.1257887134879794,4.766370636026065,4.324782538592816,5.88289576848348,5.4155149068832396
170,4.518996194574641,2.131795411165754,4.766371005500356,4.324699888646602,5.88289576848348,5.4123765020370485
180,4.516269584603277,2.1286944338387763,4.766367202028632,4.324746533542871,5.882307605743408,5.4123765020370485
190,4.510238987686644,2.115703629487441,4.766395086906851,4.324960523486137,5.882307605743408,5.42124265575409
200,4.506784418374626,2.1246293436819736,4.766369373053312,4.324834525182843,5.882307605743408,5.4123765020370485
210,4.5074196775707245,2.12203830846308,4.7663729576518135,4.324868746936321,5.88289576848348,5.4123765020370485
220,4.5132307475660225,2.1241461432723714,4.766370045741399,4.324817994266748,5.88289576848348,5.4123765020370485
230,4.51698703165384,2.125045620202785,4.766371226658424,4.324794542580843,5.88289576848348,5.4123765020370485
240,4.51460046214073,2.1253770834757795,4.766368558394412,4.3247964522540565,5.882307605743408,5.4123765020370485
250,4.515520917428981,2.1243900517149505,4.766371360657116,4.324808239787817,5.882307605743408,5.4123765020370485
260,4.513580633168559,2.126330490257169,4.76636752517273,4.324786074966192,5.88289576848348,5.4123765020370485
270,4.510558092495202,2.125849822121315,4.766367328353226,4.324803130805493,5.882307605743408,5.4123765020370485
280,4.509760898528591,2.1245641389247516,4.766368547305465,4.324823324576021,5.882307605743408,5.4123765020370485
290,4.516510530307567,2.1282577638818956,4.766367515188953,4.324751321673393,5.88289576848348,5.4123765020370485
300,4.519169712201488,2.1214379496860762,4.766383746253948,4.3248422891199585,5.88289576848348,5.42124265575409
310,4.514444270746418,2.1254435695461025,4.766368732241292,4.324796233355999,5.882307605743408,5.421507155418396
320,4.511430935363897,2.127850642257161,4.766367221648494,4.324773296445608,5.887025343577067,5.4123765020370485
330,4.515271744248993,2.1219280987093074,4.766377690546214,4.324845106378198,5.88289576848348,5.412112002372742
340,4.519347010074988,2.119568877385488,4.766390712584059,4.3248725726008415,5.884597434997558,5.42124265575409
350,4.519512434491124,2.1389976358139884,4.766391871099671,4.324619883686304,5.897085857391358,5.416502058982849
360,4.519220505161857,2.1175728788385024,4.766398889943957,4.324905625507236,5.882519861857096,5.432755763053894
370,4.512839160940729,2.1222404545691163,4.766373236229023,4.324846974253655,5.882519861857096,5.433020262718201
380,4.513389823118534,2.1278760140086943,4.766366358734667,4.3247665227502585,5.880818195343018,5.419075156211853
390,4.518133226816583,2.129988598263359,4.7663690815866,4.324724215731025,5.880230032602946,5.419075156211853
400,4.519430004878599,2.1296522145057244,4.766369732531408,4.324725082814694,5.880818195343018,5.419075156211853
410,4.52172057126291,2.1237470730281305,4.766381233632565,4.324802087441086,5.880818195343018,5.418810656547547
420,4.515297562594005,2.1307853089544104,4.7663686561584475,4.3247235083282,5.880230032602946,5.41715275478363
430,4.511066242417067,2.1185159606794546,4.766384035187463,4.324911425307393,5.880818195343018,5.416888255119324
440,4.515203914855276,2.1197659782642067,4.766383570122222,4.32487870310247,5.880818195343018,5.426018908500671
450,4.518010304364092,2.130696247413844,4.766369337116679,4.324715705543756,5.880818195343018,5.41715275478363
460,4.510680684349201,2.1176081157684017,4.766387068231901,4.32492667722702,5.880230032602946,5.426018908500671
470,4.5067102266342065,2.124484388832988,4.766369646762808,4.324836632937193,5.880230032602946,5.41715275478363
480,4.51685176730616,2.123039134059652,4.766376257029672,4.324824142813682,5.880818195343018,5.41715275478363
490,4.5216143514006975,2.1341715284649574,4.7663783338541785,4.32466538631916,5.884359607696533,5.41715275478363
500,4.515873401920381,2.12102444087878,4.766380581172804,4.324857063114643,5.880818195343018,5.416888255119324
