epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap
0,1.6236203565420875,3.3521429192297485,5.044989433114727,4.672949120923877,6.468385750452677,5.998432260513305
10,2.607028579930305,2.4205453420494183,3.9191406485562523,3.596502265140414,2.632501242955526,2.640545669555664
20,3.4990339142409628,2.136129965353075,3.402019333392382,3.1098655414283276,1.5003870169321696,1.440675079345703
30,4.253616612009385,2.5347708284469666,3.0529392397776247,2.78782155290246,1.4618970521291097,1.4089161376953125
40,4.891027833973285,2.8929924942406324,2.846144002576669,2.59618903824687,1.456493247350057,1.3889052200317382
50,5.439009400529167,2.998632813480965,2.710058435574174,2.4681858497262,1.388552532196045,1.3520330276489259
60,5.905523714451227,3.0649130440324366,2.6170037196328244,2.381123670041561,1.312359946568807,1.3096935997009278
70,6.304005320251506,3.198638871087206,2.549881792565187,2.318837244540453,1.3022611840565999,1.3182569599151612
80,6.650594754706215,3.356058861818828,2.4999351939062278,2.2727306034862993,1.305008872350057,1.3152155208587646
90,6.963877778072301,3.4657330513479034,2.4614848892887435,2.2371886286139486,1.3002218596140545,1.3081696147918702
100,7.247898893581563,3.54571878790155,2.4313078698764246,2.2092197374999523,1.282266346613566,1.2985460395812989
110,7.5054038825186105,3.640228514567937,2.407100655635198,2.186930344313383,1.2801449871063233,1.290762466430664
120,7.739876269231607,3.735600978925038,2.3875625449419022,2.168936643719673,1.2741704845428468,1.2932535781860353
130,7.956132558468389,3.811176848599094,2.371678269902865,2.1542702957689763,1.2691815789540608,1.2919223899841308
140,8.154393779181781,3.8794927435196285,2.3586859369774658,2.1423253464102747,1.2720132160186768,1.2855110168457031
150,8.337070680543887,3.947295401050284,2.34786229878664,2.1325558720827105,1.27482528368632,1.2837693271636963
160,8.505841449982482,4.013140302324427,2.338844694197178,2.1244429741501807,1.2783089542388917,1.2766473255157471
170,8.66228527557157,4.070462486911915,2.3314100729922456,2.1176478200554847,1.2770336119333903,1.2753537502288819
180,8.805884365095748,4.126481593104738,2.3252085266510645,2.1119870632886886,1.275659761428833,1.273440549850464
190,8.939641196026484,4.1685250040033415,2.32007339010636,2.1072177391648292,1.277740666071574,1.2770175189971924
200,9.062910865774615,4.219351413434248,2.315708031654358,2.1032452512979507,1.2780810006459553,1.2779119663238525
210,9.177445782566068,4.264947246814837,2.312025229682525,2.099900929391384,1.2778840859731038,1.280151361465454
220,9.285260429611329,4.29195316384661,2.3089768758912883,2.0970444763302805,1.2742430845896402,1.2723300647735596
230,9.383566963410289,4.331239236180626,2.3063982304433983,2.094728616476059,1.2712212340037028,1.2809246768951417
240,9.47362860849003,4.38081466004214,2.3042207694550356,2.0928511145710944,1.2710243193308512,1.2809246768951417
250,9.558840892742118,4.402479246838048,2.3024411308268706,2.091171987593174,1.2707455666859944,1.2861374187469483
260,9.635650244269442,4.434603931457692,2.300909329603116,2.0898223943114282,1.271284481684367,1.2822986240386962
270,9.707477829108788,4.458119617353128,2.299620798677206,2.0886558715701105,1.2678175640106202,1.2792790145874025
280,9.771648503020275,4.486872284352948,2.2985382192830244,2.0877356137633325,1.2678175640106202,1.2775383682250976
290,9.83283202999896,4.508765685059003,2.297603837698698,2.0869279875159266,1.2679682381947834,1.2767465209960938
300,9.888848638769847,4.530978027111564,2.296808319290479,2.086251209139824,1.266725575129191,1.2685321006774903
310,9.941056859088025,4.54669975720142,2.2961455857753754,2.085659378230572,1.2674825763702393,1.2819620971679688
320,9.988100501682265,4.57285061941028,2.295561903764804,2.085204157829285,1.2674825763702393,1.2744141540527343
330,10.032915023992564,4.5786013926545746,2.295088231315215,2.0847495190501215,1.2683038234710693,1.2847595481872558
340,10.073949711543818,4.587222865937364,2.29468542094032,2.08438766425848,1.2846558030446371,1.2854328727722169
350,10.109270177824639,4.616955603095595,2.2942998123168947,2.0841549489498137,1.2827578067779541,1.2854328727722169
360,10.143222403363252,4.616066790994377,2.294032572557529,2.08387860584259,1.2846558030446371,1.2854328727722169
370,10.17289116028334,4.633475718493653,2.2937728709479175,2.0836940860152247,1.2846558030446371,1.2854328727722169
380,10.201185451918915,4.668678541069046,2.2935346831878025,2.0836257031559944,1.2819023927052815,1.2778849296569825
390,10.233004153119147,4.6541529116116935,2.2933266657590865,2.083354472398758,1.2833874734242756,1.2847567710876464
400,10.258378920141181,4.6665925941949595,2.29314569969972,2.083235205054283,1.2833874734242756,1.2860182151794433
410,10.279928446348476,4.691515274693968,2.2929987111190955,2.083194437801838,1.2814894771575929,1.2860182151794433
420,10.299953679833354,4.693244804105049,2.292887787471215,2.083088857412338,1.2814894771575929,1.2860182151794433
430,10.319759783485484,4.6765764583821925,2.292837624301513,2.082964463829994,1.2875341447194417,1.2912632102966308
440,10.335678879005753,4.694356209945249,2.292722570846478,2.082927497506142,1.2873372300465902,1.2912632102966308
450,10.34798588987388,4.72455096986321,2.2926831031342347,2.0829860320091247,1.2867075634002685,1.2888321113586425
460,10.362114015791192,4.7075398629665495,2.2925998869041604,2.082852990865707,1.284908717473348,1.2882889137268065
470,10.37181170827736,4.718054399393456,2.2925597109893956,2.082849398434162,1.284908717473348,1.289216365814209
480,10.38052250363104,4.723253277557382,2.292527222086986,2.082834511756897,1.2851056321461996,1.290477809906006
490,10.389569854919737,4.7243848147779515,2.2924890857438247,2.0828055198192597,1.2873372300465902,1.289216365814209
500,10.398215567022069,4.72248390930463,2.2924611610670884,2.082770599544048,1.2873372300465902,1.2882889137268065
