example,problem_family,objective_sense,solution,true_cost,predicted_cost_2stage,predicted_cost_dfl,rank_by_true_cost,rank_by_2stage_prediction,rank_by_dfl_prediction,normalized_gap_to_oracle
toy_serial_path,serial path control,minimize,Serial route A: low-cost chain,10.0,10.0,10.0,1,2,1,0.0
toy_serial_path,serial path control,minimize,Serial route B: high-cost chain,15.0,9.8,15.0,2,1,2,0.5
