epoch,theta_1,theta_2,train_mse_loss,validation_mse_loss
0,1.6236203565420875,3.3521429192297485,25.283585613016168,25.309594507564178
1,1.6736203565413013,3.4021429192283708,24.871896113227784,24.89431057777741
2,1.7236098048008794,3.4521274817651797,24.4640581790247,24.48295018428213
3,1.7735815818531637,3.502086114140516,24.060136155297258,24.075578375404657
4,1.8235285251581026,3.552008201210676,23.66019236673396,23.6722581311585
5,1.8734434457887235,3.601883028586605,23.26428694104332,23.273050184123903
6,1.9233191450973417,3.6516998060531702,22.872477641689958,22.878012850046332
7,1.9731484312345784,3.70144769102717,22.48481971133668,22.487201869360376
8,2.022924135397062,3.7511158118750796,22.10136572705219,22.100670260710263
9,2.072639127685307,3.800693290917014,21.722165468197996,21.718468187390155
10,2.1222863324605057,3.850169266951385,21.347265797752225,21.3406428374682
11,2.171858743097686,3.899532917144938,20.97671055766511,20.9672383181931
12,2.2213494360425985,3.9487734781450383,20.610540478674547,20.598295565112558
13,2.2707515840906467,3.9978802662849473,20.24879310484346,20.23385226616381
14,2.320058468817818,4.046842696767977,19.891502732916937,19.87394280083021
15,2.3692634921057354,4.095650301732566,19.538700366439297,19.518598194297546
16,2.418360186715327,4.14429274711707,19.190413684421795,19.167846086392412
17,2.467342225875971,4.192759848260086,18.846667024213076,18.821710714944246
18,2.516203431869117,4.241041584189105,18.507481378098355,18.480212913085005
19,2.5649377835970495,4.289128110566866,18.17287440304153,18.14337011988723
20,2.6135394231385427,4.337009771280767,17.842860442887346,17.81119640364316
21,2.662002661303418,4.384677108675761,17.51745056225992,17.4837024970057
22,2.710321982207419,4.432120872445147,17.19665259132852,17.160895843146317
23,2.7584920468972087,4.479332027206473,16.880471180562235,16.84278065203516
24,2.8065076960626443,4.526301758801145,16.568907864561158,16.529357965914663
25,2.8543639518797397,4.573021479366318,16.26196113403211,16.220625733018547
26,2.9020560190329086,4.619482831236191,15.959626514971065,15.916578888582352
27,2.949579284969161,4.665677689736808,15.661896654121001,15.617209442198902
28,2.9969293194399955,4.711598164944104,15.368761409791219,15.322506570590086
29,3.044101873388785,4.757236602479094,15.080207947151711,15.032456714894437
30,3.0910928772426223,4.802585583416975,14.796220837151568,14.747043681606458
31,3.1378984386678996,4.84763792338856,14.516782158252708,14.466248746346908
32,3.1845148398484464,4.892386670952967,14.24187160021832,14.190050759692076
33,3.2309385343439683,4.93682510532,13.971466569247015,13.918426254343114
34,3.277166143584832,4.980946733499262,13.705542293798828,13.651349552972253
35,3.323194453057096,5.024745286950917,13.44407193051547,13.388792876140371
36,3.369020408229131,5.06821471781018,13.187026669694708,13.130726449738589
37,3.41464111026831,5.1113491947543315,12.934375839835516,12.877118611464477
38,3.4600538115931583,5.154143098577251,12.68608701082687,12.62793591590052
39,3.505255911303094,5.196591017532461,12.442126095407147,12.383143237817515
40,3.5502449505245512,5.238687742501324,12.202457448573375,12.142703873378654
41,3.5950186077088864,5.280428262038647,11.96704396466887,11.906579638970033
42,3.639574693914099,5.321807757343469,11.735847171924327,11.67473096743071
43,3.683911148099086,5.3628215971982955,11.50882732427061,11.447117001499084
44,3.7280260324559285,5.403465332915682,11.285943490281374,11.223695684332885
45,3.7719175278026125,5.443734693326714,11.067153639140013,11.004423846996971
46,3.8155839290556277,5.483625579841825,10.852414723558457,10.789257292846528
47,3.859023640799106,5.523134061610407,10.641682759604855,10.578150878763168
48,3.902235172964546,5.562256370801911,10.434912903423415,10.371058593228081
49,3.945217136632742,5.60098889802759,10.232059524852769,10.167933631239608
50,3.98796823996729,5.639328187918765,10.033076277969279,9.968728466103013
51,4.030487284287001,5.677270934874387,9.837916168598802,9.773394918137466
52,4.07277316028268,5.714813978987909,9.646531618855095,9.581884220359969
53,4.114824844382045,5.751954302160855,9.458874528774983,9.394147081218216
54,4.156641395265061,5.788689024408184,9.274896335130341,9.210133744454089
55,4.1982219505306295,5.825015400358399,9.094548067504634,9.029794046187508
56,4.2395657235143664,5.860930815949511,8.917780401727768,8.85307746931618
57,4.280672000256227,5.89643278532025,8.74454371076721,8.679933195331035
58,4.321540136615791,5.93151894789447,8.574788113176211,8.510310153650112
59,4.362169555532306,5.966187065655413,8.408463519201442,8.344157068574889
60,4.4025597444259175,6.000435020605336,8.245519674652847,8.181422503973662
61,4.442710252736015,6.0342608124051145,8.085906202637824,8.02205490579574
62,4.482620689592158,6.06766255618759,7.92957264326064,7.866002642518926
63,4.522290721612734,6.100638480537757,7.776468491385783,7.713214043630581
64,4.56172007082622,6.133186925632379,7.626543232561371,7.563637436239734
65,4.600908512709746,6.165306341531134,7.479746377195652,7.417221179914703
66,4.639855874339513,6.196995286611105,7.336027493076163,7.273913699836991
67,4.67856203264756,6.228252426136153,7.19533623631731,7.133663518358426
68,4.71702691277936,6.259076530952581,7.0576223808183025,6.996419285044537
69,4.755250486546723,6.28946647630236,6.922835846309177,6.862129805282901
70,4.793232770970556,6.319421240745224,6.790926725058556,6.730744067531019
71,4.830973826908115,6.348939905180898,6.661845307312603,6.602211269273978
72,4.868473757759498,6.378021651962866,6.535542105530428,6.476480841757935
73,4.905732708248247,6.4066657640951545,6.411967877477132,6.353502473561246
74,4.942750863271107,6.434871624503784,6.291073648231596,6.233226133060965
75,4.97952844681212,6.46263871537473,6.172810731162316,6.1156020898485
76,5.016065720916441,6.489966617550432,6.057130747920615,6.000580935144295
77,5.052362984719434,6.516855009977135,5.943985647497138,5.888113601257762
78,5.088420573526769,6.543303669195595,5.833327724383917,5.778151380135157
79,5.124238857941508,6.569312468867941,5.7251096358810125,5.670645941034696
80,5.159818243034258,6.594881379333787,5.619284418583684,5.5655493473650965
81,5.195159167552769,6.620010467188939,5.515805504082996,5.462814072720698
82,5.230262103167476,6.644699894880379,5.414626733910086,5.3623930161435345
83,5.2651275537497035,6.668949920311473,5.315702373751692,5.26423951664013
84,5.299756054679447,6.692760896451674,5.218987126962186,5.168307366978336
85,5.3341481721798125,6.716133270945292,5.124436147395079,5.074550826787357
86,5.368304502675382,6.739067585714212,5.032005051575021,4.982924634981946
87,5.402225672171964,6.761564476549729,4.941649930229354,4.893384021529973
88,5.435912335655319,6.783624672689008,4.8533273591966255,4.805884718580804
89,5.46936517650666,6.805248996371931,4.766994409727966,4.720382970970383
90,5.502584905932855,6.826438362374444,4.68260865819572,4.636835546117499
91,5.535572262409411,6.847193777514761,4.600128195222655,4.555199743324537
92,5.568328011134487,6.86751634012911,4.5195116342437975,4.475433402494815
93,5.600852943492296,6.887407239513967,4.440718119512121,4.397494912277762
94,5.633147876524402,6.906867755332017,4.363707333558347,4.321343217652208
95,5.665213652407557,6.925899256979338,4.288439504114503,4.246937826957486
96,5.697051137936809,6.944503202911607,4.214875410510167,4.1742388183813155
97,5.728661224012768,6.9626811399273345,4.142976389549881,4.1032068459130215
98,5.760044825131997,6.980434702406438,4.072704340879776,4.033803144770173
99,5.791202878879609,6.997765611502686,4.00402173185111,3.9659895363064623
100,5.822136345423253,7.014675674288793,3.9368916018881994,3.899728432408363
101,5.852846207007757,7.031166782853178,3.871277566368004,3.83498283938799
